Rating,Name,Genres,Year/Country,URL
8.7,Матрица,"боевик, фантастика, триллер","1999, Австралия / США",https://www.kinoafisha.info/movies/3788758/
8.0,Король говорит!,"драма, исторический","2010, Великобритания / Австралия",https://www.kinoafisha.info/movies/8099607/
8.0,Безумный Макс: Дорога ярости,"приключения, боевик","2015, Австралия / США",https://www.kinoafisha.info/movies/8148179/
7.9,Одиннадцать друзей Оушена,"криминал, триллер","2001, США / Австралия",https://www.kinoafisha.info/movies/3747423/
7.8,Лев,драма,"2016, Великобритания / Австралия / США",https://www.kinoafisha.info/movies/8325490/
7.8,Апгрейд,"фантастика, боевик, триллер","2018, Австралия",https://www.kinoafisha.info/movies/8355159/
7.6,"Два, три, демон, приди!","ужасы, триллер","2023, Австралия",https://www.kinoafisha.info/movies/8370794/
7.5,Контроль,"мюзикл, драма, биография","2007, США / Великобритания / Австралия / Япония",https://www.kinoafisha.info/movies/4011637/
7.5,Люди Икс: Начало. Росомаха,"фантастика, боевик","2009, США / Новая Зеландия / Австралия",https://www.kinoafisha.info/movies/4808778/
7.5,Лего Фильм: Бэтмен,анимация,"2017, США / Австралия / Дания",https://www.kinoafisha.info/movies/8163753/
7.4,Быть лучше: История Робби Уильямса,"биография, музыка","2024, США / Австралия",https://www.kinoafisha.info/movies/8365902/
7.4,Легенды ночных стражей,"фэнтези, анимация, приключения","2010, США / Австралия",https://www.kinoafisha.info/movies/7667809/
7.3,Город тайн,"криминал, драма, мистика","2020, Австралия / США",https://www.kinoafisha.info/movies/8364423/
7.2,"Пароль ""Рыба-меч""","триллер, криминал, боевик","2001, США / Австралия",https://www.kinoafisha.info/movies/4664673/
7.0,Профессионал,"боевик, триллер","2011, США / Австралия",https://www.kinoafisha.info/movies/8089837/
7.0,Три тысячи лет желаний,"драма, фэнтези, мелодрама","2022, Австралия / США",https://www.kinoafisha.info/movies/8366950/
7.0,Джунгли,"боевик, приключения, триллер","2017, Австралия",https://www.kinoafisha.info/movies/8329331/
6.9,Австралия,"драма, вестерн, военный, приключения","2008, США / Австралия",https://www.kinoafisha.info/movies/4998881/
6.9,Пила 6,"триллер, мистика, криминал, ужасы","2009, США / Канада / Великобритания / Австралия",https://www.kinoafisha.info/movies/7740273/
6.9,Бюро магических услуг,фэнтези,"2023, Австралия",https://www.kinoafisha.info/movies/8365951/
6.9,Территория зла,"боевик, триллер","2024, Австралия / США",https://www.kinoafisha.info/movies/8373426/
6.8,Обитель зла 3,"триллер, ужасы, фантастика, боевик","2007, США / Германия / Великобритания / Франция / Австралия",https://www.kinoafisha.info/movies/1176909/
6.8,ЛЕГО Фильм-2,"анимация, комедия, семейный","2018, США / Австралия / Дания",https://www.kinoafisha.info/movies/8175985/
6.8,Воины света,"ужасы, триллер, драма, боевик","2010, Австралия / США",https://www.kinoafisha.info/movies/5122935/
6.7,Дом восковых фигур,"ужасы, триллер","2005, Австралия / США",https://www.kinoafisha.info/movies/336039/
6.7,Спящие псы,"криминал, детектив, триллер","2024, Австралия",https://www.kinoafisha.info/movies/8373548/
6.6,Обитель зла: Последняя глава,"триллер, боевик, ужасы, фантастика","2016, Германия / Австралия / Канада / Франция",https://www.kinoafisha.info/movies/8178213/
6.5,Полночь с дьяволом,ужасы,"2023, Австралия / ОАЭ / США",https://www.kinoafisha.info/movies/8375072/
6.4,Двенадцать друзей Оушена,"боевик, комедия, триллер, криминал","2004, США / Австралия",https://www.kinoafisha.info/movies/139315/
6.4,Не бойся темноты,"триллер, ужасы","2011, США / Австралия",https://www.kinoafisha.info/movies/7907246/
6.3,Черная вдова. Укус смерти,"ужасы, триллер","2024, Австралия / США",https://www.kinoafisha.info/movies/8374392/
6.3,Женщина-кошка,"боевик, приключения, криминал, фантастика","2004, США / Австралия",https://www.kinoafisha.info/movies/5679/
6.2,Железное небо,"фантастика, комедия, боевик","2012, Финляндия / Германия / Австралия",https://www.kinoafisha.info/movies/7694066/
6.1,Игра теней,боевик,"2022, США / Китай / Австралия",https://www.kinoafisha.info/movies/8365308/
5.9,Город тайн: Исчезнувшая,триллер,"2024, Австралия",https://www.kinoafisha.info/movies/8372683/
5.8,Жажда золота,триллер,"2021, Австралия",https://www.kinoafisha.info/movies/8365104/
5.8,Хроники панголинов,"приключения, семейный","2023, Австралия",https://www.kinoafisha.info/movies/8368747/
5.2,Реинкарнация. Новая глава,"ужасы, триллер","2023, Австралия",https://www.kinoafisha.info/movies/8365901/
4.7,Открытое море: Монстр глубины,триллер,"2022, Австралия",https://www.kinoafisha.info/movies/8367052/
4.7,Дети кукурузы,ужасы,"2023, Австралия / США",https://www.kinoafisha.info/movies/8369236/
4.1,Мама: Возвращение из тьмы,триллер,"2020, Австралия",https://www.kinoafisha.info/movies/8365109/
