Rating,Name,Genres,Year/Country,URL
8.2,Достучаться до небес,"боевик, драма, приключения, комедия","1997, Германия / Нидерланды / Бельгия",https://www.kinoafisha.info/movies/7275899/
8.0,Господин Никто,"фантастика, фэнтези, драма, мелодрама","2009, Бельгия / Канада / Франция",https://www.kinoafisha.info/movies/7756882/
7.7,Трио из Бельвилля,"комедия, анимация","2003, Франция / Бельгия / Канада / Великобритания / Латвия",https://www.kinoafisha.info/movies/5426/
7.7,Залечь на дно в Брюгге,"драма, комедия","2008, Великобритания / Бельгия",https://www.kinoafisha.info/movies/4118130/
7.5,Приключения Тинтина: Тайна единорога,"семейный, анимация, приключения, мистика","2011, США / Новая Зеландия / Бельгия",https://www.kinoafisha.info/movies/5467128/
7.5,Нелюбовь,драма,"2017, Россия / Франция / Бельгия / Германия",https://www.kinoafisha.info/movies/8327195/
7.5,"Влюбись в меня, если осмелишься","драма, мелодрама","2003, Франция / Бельгия",https://www.kinoafisha.info/movies/94185/
7.3,Выпускной,драма,"2016, Румыния / Франция / Бельгия",https://www.kinoafisha.info/movies/8327182/
7.3,Он и Она,"мелодрама, комедия","2017, Франция / Бельгия",https://www.kinoafisha.info/movies/8329518/
7.0,Остров изгоев,"драма, триллер","2023, Франция / Исландия / Бельгия",https://www.kinoafisha.info/movies/8372615/
6.9,Стань легендой! Бигфут младший,анимация,"2017, Франция / Бельгия",https://www.kinoafisha.info/movies/8329139/
6.9,Кролецып и Хомяк Тьмы,"семейный, анимация, приключения","2022, Бельгия / Франция",https://www.kinoafisha.info/movies/8365856/
6.9,Шевели ластами,"анимация, приключения","2009, Бельгия",https://www.kinoafisha.info/movies/8111391/
6.8,Нимфоманка: Часть 1,"драма, эротика","2013, Дания / Германия / Франция / Бельгия / Великобритания",https://www.kinoafisha.info/movies/8143747/
6.5,Трио в перьях,"анимация, комедия, семейный","2017, США / Германия / Бельгия",https://www.kinoafisha.info/movies/8328601/
6.4,Смурфики,"семейный, анимация, сказка","2011, США / Бельгия",https://www.kinoafisha.info/movies/8122563/
6.2,Титан,"драма, триллер","2021, Франция / Бельгия",https://www.kinoafisha.info/movies/8364832/
6.2,Эра выживания,"приключения, драма, фантастика","2022, Литва / Франция / Бельгия",https://www.kinoafisha.info/movies/8367223/
6.1,Комната желаний,фантастика,"2019, Франция / Люксембург / Бельгия",https://www.kinoafisha.info/movies/8356078/
6.1,Трио в перьях 2,анимация,"2023, Бельгия / Германия / Норвегия",https://www.kinoafisha.info/movies/8370222/
5.9,Королевский корги,анимация,"2019, Бельгия",https://www.kinoafisha.info/movies/8354489/
5.5,Мухнем на Луну 3D,"семейный, анимация, приключения","2008, Бельгия",https://www.kinoafisha.info/movies/5493159/
5.4,Замок с привидениями,"триллер, анимация, ужасы","2001, Бельгия / США",https://www.kinoafisha.info/movies/822490/
5.1,Бойся темноты,"ужасы, мистика","2022, Бельгия / Франция",https://www.kinoafisha.info/movies/8367025/
4.8,Катастрофа,"драма, фантастика, триллер","2023, Бельгия / Франция",https://www.kinoafisha.info/movies/8371521/
