Rating,Name,Genres,Year/Country,URL
8.8,Дюна: Часть вторая,"фантастика, боевик, приключения, драма","2024, США / Канада",https://www.kinoafisha.info/movies/8365616/
8.8,Человек-Паук: Паутина Вселенных,"боевик, приключения, анимация","2022, Канада / США",https://www.kinoafisha.info/movies/8365124/
8.0,Дэдпул,"фэнтези, фантастика, боевик","2016, США / Канада",https://www.kinoafisha.info/movies/8133896/
8.0,Господин Никто,"фантастика, фэнтези, драма, мелодрама","2009, Бельгия / Канада / Франция",https://www.kinoafisha.info/movies/7756882/
7.8,Убойные каникулы,комедия,"2009, Канада",https://www.kinoafisha.info/movies/8097103/
7.8,Алита: Боевой ангел,"фантастика, боевик, приключения, мелодрама","2018, США / Канада / Аргентина",https://www.kinoafisha.info/movies/8329213/
7.7,Трио из Бельвилля,"комедия, анимация","2003, Франция / Бельгия / Канада / Великобритания / Латвия",https://www.kinoafisha.info/movies/5426/
7.7,Ветреная река,триллер,"2017, США / Великобритания / Канада",https://www.kinoafisha.info/movies/8329283/
7.7,Порок на экспорт,"драма, триллер, мистика","2007, Великобритания / Канада / США",https://www.kinoafisha.info/movies/1469610/
7.6,Американский психопат,"ужасы, триллер, драма","2000, США / Канада",https://www.kinoafisha.info/movies/3808860/
7.6,Кто убил BlackBerry?,"биография, комедия, драма","2023, Канада",https://www.kinoafisha.info/movies/8370023/
7.4,Балерина,"анимация, семейный","2017, Франция / Канада",https://www.kinoafisha.info/movies/8326120/
7.4,Приключения Паддингтона,"семейный, комедия, приключения","2014, Великобритания / Франция / США / Канада",https://www.kinoafisha.info/movies/8138610/
7.4,Грайндхаус,"ужасы, боевик, фантастика, комедия","2007, США / Канада",https://www.kinoafisha.info/movies/1211587/
7.3,Я краснею,"приключения, анимация, комедия","2022, Канада",https://www.kinoafisha.info/movies/8364967/
7.3,Фрида,"драма, биография","2002, США / Канада / Мексика",https://www.kinoafisha.info/movies/5255/
7.3,Скотт Пилигрим против всех,"фантастика, комедия, боевик, мелодрама, приключения","2010, США / Канада",https://www.kinoafisha.info/movies/7949331/
7.2,Сайлент Хилл,"ужасы, триллер","2006, Канада / Франция",https://www.kinoafisha.info/movies/669802/
7.1,My Little Pony: Новое поколение,"приключения, анимация, комедия","2021, Ирландия / Канада",https://www.kinoafisha.info/movies/8365153/
7.1,Это всего лишь конец света,драма,"2016, Франция / Канада",https://www.kinoafisha.info/movies/8176333/
7.0,Кентервильское привидение,"анимация, комедия","2022, Канада / Великобритания",https://www.kinoafisha.info/movies/8370615/
7.0,Воображариум доктора Парнаса,"приключения, мистика, фэнтези","2009, Франция / Канада",https://www.kinoafisha.info/movies/7644430/
7.0,Волк и Лев,семейный,"2021, Франция / Канада",https://www.kinoafisha.info/movies/8366266/
6.9,2012,"драма, фантастика, боевик, триллер, приключения","2009, США / Канада",https://www.kinoafisha.info/movies/7283968/
6.9,Пила 6,"триллер, мистика, криминал, ужасы","2009, США / Канада / Великобритания / Австралия",https://www.kinoafisha.info/movies/7740273/
6.9,Щенячий патруль в кино,"анимация, приключения","2021, США / Канада",https://www.kinoafisha.info/movies/8360675/
6.9,Хлоя,"триллер, драма","2009, США / Канада / Франция",https://www.kinoafisha.info/movies/7918784/
6.8,Астрал: Глава 3,ужасы,"2015, США / Канада",https://www.kinoafisha.info/movies/8166006/
6.8,Дело №39,"ужасы, триллер","2009, США / Канада",https://www.kinoafisha.info/movies/1180027/
6.8,Опасный метод,драма,"2011, Германия / Канада / Великобритания",https://www.kinoafisha.info/movies/8087066/
6.8,Искатели могил,ужасы,"2011, Канада",https://www.kinoafisha.info/movies/8127529/
6.8,My Little Pony в кино,"анимация, детский","2017, США / Канада",https://www.kinoafisha.info/movies/8329157/
6.7,Перси Джексон и похититель молний,"фэнтези, сказка","2009, Канада / США",https://www.kinoafisha.info/movies/5998336/
6.7,Параллельные миры,"драма, мелодрама","2012, Канада / Франция",https://www.kinoafisha.info/movies/8119473/
6.7,Все страхи Бо,"ужасы, драма, комедия","2023, Канада / США",https://www.kinoafisha.info/movies/8365621/
6.7,Тайны подводного мира 3D,"документальный, короткометражный","2006, Канада / США",https://www.kinoafisha.info/movies/822450/
6.7,Семейка Аддамс: Горящий тур,"анимация, ужасы, комедия, семейный","2021, США / Великобритания / Канада",https://www.kinoafisha.info/movies/8360854/
6.6,Пила 8,"ужасы, триллер","2017, США / Канада",https://www.kinoafisha.info/movies/8329158/
6.6,Химера,"триллер, фантастика, ужасы","2009, США / Канада / Франция",https://www.kinoafisha.info/movies/7668298/
6.6,Обитель зла: Последняя глава,"триллер, боевик, ужасы, фантастика","2016, Германия / Австралия / Канада / Франция",https://www.kinoafisha.info/movies/8178213/
6.6,Обитель Зла 2: Апокалипсис,"боевик, ужасы, фантастика, триллер","2004, Германия / Франция / Великобритания / Канада",https://www.kinoafisha.info/movies/79789/
6.6,Песня имен,драма,"2019, Германия / Канада / Великобритания",https://www.kinoafisha.info/movies/8117850/
6.6,Война будущего,боевик,"2021, Канада",https://www.kinoafisha.info/movies/8360674/
6.5,Мулан,"фэнтези, драма, боевик","2020, США / Китай / Канада",https://www.kinoafisha.info/movies/8328122/
6.5,Охотники за привидениями: Леденящий ужас,"приключения, комедия, фэнтези","2023, Канада / США",https://www.kinoafisha.info/movies/8370676/
6.3,"Те, кто желает мне смерти",триллер,"2021, Канада / США",https://www.kinoafisha.info/movies/8363251/
6.2,Выбор Фредерика Фитцелла,триллер,"2020, Канада",https://www.kinoafisha.info/movies/8355401/
6.2,Лысый нянька: Спецзадание,"боевик, комедия","2005, США / Канада",https://www.kinoafisha.info/movies/221527/
6.2,Капитан Подштанник: Первый эпический фильм,"боевик, анимация, комедия","2017, США / Канада / Франция / Индия",https://www.kinoafisha.info/movies/8363583/
6.2,G.I. Joe: Бросок кобры 2,боевик,"2012, США / Канада",https://www.kinoafisha.info/movies/8118217/
6.2,Будь моими глазами,"криминал, драма, мистика","2021, Канада",https://www.kinoafisha.info/movies/8366965/
6.1,Секретные материалы: Хочу верить,"ужасы, фантастика, мистика","2008, США / Канада",https://www.kinoafisha.info/movies/4443740/
6.1,Мумия: Гробница Императора Драконов,"боевик, комедия, драма, приключения, ужасы, фэнтези, триллер","2008, Германия / Канада / США",https://www.kinoafisha.info/movies/2108342/
6.1,Зубная фея,"сказка, комедия","2009, США / Канада",https://www.kinoafisha.info/movies/7610031/
6.1,13-й район: Кирпичные особняки,"боевик, драма, криминал","2014, Франция / Канада",https://www.kinoafisha.info/movies/8162933/
6.0,Седьмой сын,"фэнтези, семейный, приключения","2015, Великобритания / США / Канада / Китай",https://www.kinoafisha.info/movies/8123407/
6.0,Реальная белка 2,"анимация, комедия, приключения","2017, США / Канада / Южная Корея",https://www.kinoafisha.info/movies/8329077/
5.9,Чужой против хищника,"боевик, ужасы, приключения, фантастика, триллер, военный","2004, США / Канада / Германия / Греция / Великобритания",https://www.kinoafisha.info/movies/5677/
5.8,Королева ночи,триллер,"2014, Канада",https://www.kinoafisha.info/movies/8150469/
5.8,65,"приключения, драма, фантастика","2023, Канада / США",https://www.kinoafisha.info/movies/8368743/
5.7,Падение Луны,"боевик, приключения, фантастика","2022, США / Канада / Китай",https://www.kinoafisha.info/movies/8364698/
5.5,Правда,"боевик, триллер","2012, Канада",https://www.kinoafisha.info/movies/8147333/
5.4,Заклятие. Зло внутри,"драма, ужасы, триллер","2023, Канада / США",https://www.kinoafisha.info/movies/8371074/
5.3,Во имя короля: история осады подземелья,"фэнтези, боевик, приключения","2007, Германия / Канада / США",https://www.kinoafisha.info/movies/1335402/
5.3,Назад к динозаврам,"фантастика, семейный","2022, Канада / США",https://www.kinoafisha.info/movies/8370958/
5.2,Академия монстров,анимация,"2020, Великобритания / Мексика / Канада",https://www.kinoafisha.info/movies/8360867/
5.2,Гризли,"триллер, ужасы, боевик","2015, США / Канада",https://www.kinoafisha.info/movies/8176046/
5.2,Космополис,драма,"2012, Канада / Франция / Италия / Португалия",https://www.kinoafisha.info/movies/8119629/
4.3,Паранормальные явления. Скинамаринк,ужасы,"2022, Канада",https://www.kinoafisha.info/movies/8370894/
