Rating,Name,Genres,Year/Country,URL
8.1,Шаг к мечте: Раз и навсегда,"комедия, драма","2023, Китай",https://www.kinoafisha.info/movies/8372521/
7.9,Мой Хатико,мелодрама,"2023, Китай",https://www.kinoafisha.info/movies/8371568/
7.8,Жизнь Пи,"приключения, драма","2012, США / Китай",https://www.kinoafisha.info/movies/8107762/
7.7,Разборки в стиле Кунг-Фу,"комедия, боевик","2004, Гонконг / Китай",https://www.kinoafisha.info/movies/300998/
7.6,Цветы войны,"исторический, драма","2012, Китай",https://www.kinoafisha.info/movies/8125426/
7.6,Король неба,"боевик, драма","2023, Китай",https://www.kinoafisha.info/movies/8371049/
7.5,Кунг-фу жеребец,"боевик, комедия, драма","2023, Китай",https://www.kinoafisha.info/movies/8365720/
7.4,Кунг-фу Панда 3,"анимация, приключения, боевик, семейный, комедия","2016, США / Китай",https://www.kinoafisha.info/movies/8161227/
7.2,Исчезнувшая в звездах,"криминал, драма, детектив","2022, Китай",https://www.kinoafisha.info/movies/8372134/
7.2,Блуждающая Земля 2,"боевик, приключения, драма","2023, Китай",https://www.kinoafisha.info/movies/8369537/
7.0,Рок дог 3: Битва за бит,"приключения, анимация, комедия","2022, США / Китай",https://www.kinoafisha.info/movies/8367514/
6.9,Мои черничные ночи,мелодрама,"2007, Гонконг / Китай / Франция",https://www.kinoafisha.info/movies/2112618/
6.9,Доспехи Бога 3: миссия Зодиак,"боевик, приключения","2012, Гонконг / Китай",https://www.kinoafisha.info/movies/8129732/
6.9,Пес-самурай и город кошек,"боевик, анимация, комедия","2022, Великобритания / Китай / США",https://www.kinoafisha.info/movies/8367137/
6.8,Восемь сотен,"военный, драма","2020, Китай",https://www.kinoafisha.info/movies/8362849/
6.7,Превосходство,"триллер, боевик, драма, фантастика","2014, Великобритания / США / Китай",https://www.kinoafisha.info/movies/8151819/
6.6,Побег из космоса,"анимация, комедия, семейный","2022, Китай",https://www.kinoafisha.info/movies/8367085/
6.6,Планета зверей,"приключения, боевик, комедия, фантастика","2018, Китай",https://www.kinoafisha.info/movies/8354658/
6.6,Мег 2: Бездна,"фантастика, ужасы, боевик","2023, США / Китай",https://www.kinoafisha.info/movies/8366602/
6.5,Отпетые напарники,"боевик, приключения, комедия","2016, США / Китай / Гонконг",https://www.kinoafisha.info/movies/8320495/
6.5,Мулан,"фэнтези, драма, боевик","2020, США / Китай / Канада",https://www.kinoafisha.info/movies/8328122/
6.4,Папа-мама Гусь,"анимация, комедия, семейный","2018, США / Китай",https://www.kinoafisha.info/movies/8354176/
6.3,Ассасин. Битва миров,"боевик, приключения, криминал","2021, Китай",https://www.kinoafisha.info/movies/8364353/
6.2,Рок Дог,"анимация, приключения","2016, Китай / США",https://www.kinoafisha.info/movies/8178233/
6.2,На гребне волны,боевик,"2015, США / Германия / Китай",https://www.kinoafisha.info/movies/8168514/
6.2,Врата дракона,"приключения, боевик","2011, Китай",https://www.kinoafisha.info/movies/8151343/
6.1,Память,"драма, мистика","2021, Колумбия / Таиланд / Франция / Германия / Мексика / Катар / Китай / Швейцария",https://www.kinoafisha.info/movies/8364844/
6.1,Игра теней,боевик,"2022, США / Китай / Австралия",https://www.kinoafisha.info/movies/8365308/
6.0,Код 355,боевик,"2022, США / Китай",https://www.kinoafisha.info/movies/8354747/
6.0,Седьмой сын,"фэнтези, семейный, приключения","2015, Великобритания / США / Канада / Китай",https://www.kinoafisha.info/movies/8123407/
6.0,Охотник на монстров,фэнтези,"2020, США / Германия / Япония / Китай",https://www.kinoafisha.info/movies/8355408/
5.8,Холодный расчет,"боевик, драма, триллер","2021, Великобритания / Китай",https://www.kinoafisha.info/movies/8364897/
5.7,Падение Луны,"боевик, приключения, фантастика","2022, США / Канада / Китай",https://www.kinoafisha.info/movies/8364698/
5.5,Тайна печати дракона,"приключения, фэнтези","2019, Россия / Китай",https://www.kinoafisha.info/movies/8171095/
5.5,Доспехи Бога: В поисках сокровищ,"боевик, комедия, приключения","2017, Индия / Китай",https://www.kinoafisha.info/movies/8329144/
5.1,Рыцарь теней,"фэнтези, боевик, комедия","2019, Китай",https://www.kinoafisha.info/movies/8355828/
