Rating,Name,Genres,Year/Country,URL
8.0,Казино Рояль,"приключения, боевик, триллер","2006, США / Германия / Великобритания / Чехия",https://www.kinoafisha.info/movies/887009/
7.8,Идентификация Борна,триллер,"2002, США / Германия / Чехия",https://www.kinoafisha.info/movies/81992/
7.7,Сибирский цирюльник,"исторический, драма, мелодрама","1998, Россия / Франция / Италия / Чехия",https://www.kinoafisha.info/movies/5927378/
7.7,Иллюзионист,"драма, мелодрама, приключения","2006, США / Чехия",https://www.kinoafisha.info/movies/923496/
7.7,Жизнь в розовом цвете,"биография, драма, мюзикл","2007, Франция / Великобритания / Чехия",https://www.kinoafisha.info/movies/1303447/
7.0,Ван Хельсинг,"приключения, ужасы, боевик, сказка","2004, США / Чехия",https://www.kinoafisha.info/movies/5590/
6.6,Братья Гримм,"триллер, ужасы, комедия, приключения, фантастика","2005, США / Великобритания / Чехия",https://www.kinoafisha.info/movies/306748/
6.5,Средневековье,"боевик, драма, исторический","2022, Чехия",https://www.kinoafisha.info/movies/8367569/
6.4,Соломон Кейн,"боевик, фэнтези, приключения","2009, Франция / Чехия / Великобритания",https://www.kinoafisha.info/movies/7671794/
6.3,Водяной,"фэнтези, триллер, драма, мелодрама, детектив","2018, Чехия",https://www.kinoafisha.info/movies/8367362/
6.2,Doom,"ужасы, фантастика, боевик","2005, Германия / США / Великобритания / Чехия",https://www.kinoafisha.info/movies/419454/
6.2,Нюрнберг,"исторический, драма, военный, триллер, приключения","2022, Россия / Германия / Чехия / Великобритания",https://www.kinoafisha.info/movies/8365991/
5.6,Заговор дьявола,"ужасы, триллер, мистика","2022, Чехия / США / Финляндия",https://www.kinoafisha.info/movies/8368457/
5.5,Вий 3D,"приключения, триллер, фэнтези","2014, Германия / Россия / Чехия / Великобритания / Украина",https://www.kinoafisha.info/movies/8162530/
