Rating,Name,Genres,Year/Country,URL
7.7,Худший человек на свете,"драма, комедия, мелодрама","2021, Норвегия / Франция / Швеция / Дания",https://www.kinoafisha.info/movies/8365442/
7.6,Догвилль,"триллер, драма","2003, Дания / Швеция / Норвегия / Финляндия / Великобритания / Франция / Германия / Нидерланды",https://www.kinoafisha.info/movies/5373/
7.6,Меч короля,"биография, драма, исторический","2023, Дания / Норвегия / Швеция",https://www.kinoafisha.info/movies/8371504/
7.5,Лего Фильм: Бэтмен,анимация,"2017, США / Австралия / Дания",https://www.kinoafisha.info/movies/8163753/
7.2,Меланхолия,"фантастика, драма","2010, Германия / Швеция / Дания / Франция / Италия",https://www.kinoafisha.info/movies/8042095/
6.9,Антихрист,"ужасы, драма","2009, Дания / Германия / Франция / Швеция / Италия / Польша",https://www.kinoafisha.info/movies/7662225/
6.9,"Дом, который построил Джек","триллер, драма, ужасы","2018, Дания / Франция / Германия / Швейцария",https://www.kinoafisha.info/movies/8329385/
6.8,ЛЕГО Фильм-2,"анимация, комедия, семейный","2018, США / Австралия / Дания",https://www.kinoafisha.info/movies/8175985/
6.8,Нимфоманка: Часть 1,"драма, эротика","2013, Дания / Германия / Франция / Бельгия / Великобритания",https://www.kinoafisha.info/movies/8143747/
6.8,Пришельцы в доме,анимация,"2018, Германия / Люксембург / Дания",https://www.kinoafisha.info/movies/8354363/
6.6,"Любовь - все, что тебе нужно","комедия, мелодрама","2012, Германия / Дания / Швеция / Франция / Италия",https://www.kinoafisha.info/movies/8140519/
6.4,Кон-Тики,"боевик, биография, драма, приключения, исторический","2012, Великобритания / Норвегия / Дания",https://www.kinoafisha.info/movies/8148995/
6.1,ЛЕГО Ниндзяго Фильм,"анимация, комедия, приключения","2017, США / Дания",https://www.kinoafisha.info/movies/8329190/
6.1,Не говори никому,"триллер, ужасы","2022, Дания / Нидерланды",https://www.kinoafisha.info/movies/8365485/
