Rating,Name,Genres,Year/Country,URL
7.7,Мои мамы,драма,"2005, Финляндия / Швеция",https://www.kinoafisha.info/movies/1080172/
7.6,Догвилль,"триллер, драма","2003, Дания / Швеция / Норвегия / Финляндия / Великобритания / Франция / Германия / Нидерланды",https://www.kinoafisha.info/movies/5373/
7.5,9 рота,"драма, военный","2005, Россия / Финляндия / Украина",https://www.kinoafisha.info/movies/351688/
6.7,Angry Birds в кино,"семейный, анимация, приключения","2016, США / Финляндия",https://www.kinoafisha.info/movies/8159050/
6.6,Клон,"фантастика, триллер","2022, США / Финляндия",https://www.kinoafisha.info/movies/8365152/
6.4,Скрежет,ужасы,"2022, Финляндия / Швеция",https://www.kinoafisha.info/movies/8366532/
6.2,Железное небо,"фантастика, комедия, боевик","2012, Финляндия / Германия / Австралия",https://www.kinoafisha.info/movies/7694066/
6.1,Тоска по дому,драма,"2005, Финляндия",https://www.kinoafisha.info/movies/3746418/
5.8,Не стучи,ужасы,"2022, Финляндия",https://www.kinoafisha.info/movies/8369054/
5.6,Заговор дьявола,"ужасы, триллер, мистика","2022, Чехия / США / Финляндия",https://www.kinoafisha.info/movies/8368457/
5.3,Близнец,ужасы,"2022, Финляндия",https://www.kinoafisha.info/movies/8365807/
3.7,Джиперс Криперс: Возрожденный,"ужасы, мистика, триллер","2021, США / Финляндия",https://www.kinoafisha.info/movies/8364410/
