Rating,Name,Genres,Year/Country,URL
8.7,1+1,"комедия, драма, биография","2011, Франция",https://www.kinoafisha.info/movies/8133315/
8.7,Терминатор 2: судный день,"боевик, триллер, фантастика, приключения","1991, США / Франция",https://www.kinoafisha.info/movies/4089627/
8.6,Леон,"драма, триллер, криминал","1994, Франция",https://www.kinoafisha.info/movies/3443444/
8.3,Капернаум,драма,"2018, Ливан / Франция",https://www.kinoafisha.info/movies/8354582/
8.2,Отец,драма,"2020, Великобритания / Франция",https://www.kinoafisha.info/movies/8356999/
8.1,Пятый элемент,"приключения, триллер, боевик, фантастика, мелодрама","1997, Франция",https://www.kinoafisha.info/movies/3443661/
8.0,Заложница,"триллер, боевик","2008, Франция",https://www.kinoafisha.info/movies/4004541/
8.0,Господин Никто,"фантастика, фэнтези, драма, мелодрама","2009, Бельгия / Канада / Франция",https://www.kinoafisha.info/movies/7756882/
7.9,Артист,мелодрама,"2011, Франция",https://www.kinoafisha.info/movies/8119157/
7.9,Амели,"комедия, мелодрама","2001, Франция / Германия",https://www.kinoafisha.info/movies/1795995/
7.8,Приключения Паддингтона 2,"фэнтези, семейный, приключения","2017, Великобритания / Франция",https://www.kinoafisha.info/movies/8328269/
7.8,Марс Экспресс,"боевик, анимация, детектив","2023, Франция",https://www.kinoafisha.info/movies/8373374/
7.8,Исходный код,"драма, фантастика","2011, США / Франция",https://www.kinoafisha.info/movies/8099333/
7.8,Мама,"семейный, сказка, мюзикл","1976, СССР / Франция / Румыния",https://www.kinoafisha.info/movies/7619855/
7.8,Гордость и предубеждение,"мелодрама, драма","2005, Франция / Великобритания",https://www.kinoafisha.info/movies/422322/
7.8,Океаны,"драма, документальный","2009, Франция / Швейцария / Испания / Монако",https://www.kinoafisha.info/movies/7597806/
7.7,Дюнкерк,"драма, военный, исторический","2017, США / Великобритания / Франция",https://www.kinoafisha.info/movies/8322822/
7.7,Трио из Бельвилля,"комедия, анимация","2003, Франция / Бельгия / Канада / Великобритания / Латвия",https://www.kinoafisha.info/movies/5426/
7.7,Сибирский цирюльник,"исторический, драма, мелодрама","1998, Россия / Франция / Италия / Чехия",https://www.kinoafisha.info/movies/5927378/
7.7,Худший человек на свете,"драма, комедия, мелодрама","2021, Норвегия / Франция / Швеция / Дания",https://www.kinoafisha.info/movies/8365442/
7.7,Жизнь в розовом цвете,"биография, драма, мюзикл","2007, Франция / Великобритания / Чехия",https://www.kinoafisha.info/movies/1303447/
7.7,Малхолланд Драйв,"драма, триллер, мистика","2001, Франция / США",https://www.kinoafisha.info/movies/3889508/
7.7,Парфюмер: история одного убийцы,"триллер, драма","2006, Германия / Франция / Испания / США",https://www.kinoafisha.info/movies/829730/
7.7,Скафандр и бабочка,"биография, драма","2007, Франция / США",https://www.kinoafisha.info/movies/3680920/
7.6,Догвилль,"триллер, драма","2003, Дания / Швеция / Норвегия / Финляндия / Великобритания / Франция / Германия / Нидерланды",https://www.kinoafisha.info/movies/5373/
7.6,Анатомия падения,"криминал, драма, триллер","2023, Франция",https://www.kinoafisha.info/movies/8371214/
7.6,Расправь крылья,"приключения, семейный","2019, Франция",https://www.kinoafisha.info/movies/8356082/
7.6,Другие,"ужасы, фантастика, мистика, триллер, драма","2001, Испания / Франция / США",https://www.kinoafisha.info/movies/3625676/
7.6,2+1,"комедия, семейный, драма, мелодрама","2016, Франция / Великобритания",https://www.kinoafisha.info/movies/8327108/
7.6,Ангел А,"мелодрама, комедия","2005, Франция",https://www.kinoafisha.info/movies/611652/
7.6,Жизнь Адель,"драма, мелодрама","2013, Франция",https://www.kinoafisha.info/movies/8154631/
7.6,Иллюзионист,анимация,"2009, Великобритания / Франция",https://www.kinoafisha.info/movies/7235864/
7.6,Жанна Дюбарри,"биография, драма, исторический","2023, Франция",https://www.kinoafisha.info/movies/8368088/
