Rating,Name,Genres,Year/Country,URL
8.7,Властелин Колец: Две крепости,"приключения, фэнтези, драма","2002, США / Новая Зеландия / Германия",https://www.kinoafisha.info/movies/5227/
8.7,Властелин Колец: Возвращение Короля,фэнтези,"2003, США / Новая Зеландия / Германия",https://www.kinoafisha.info/movies/5475/
8.6,Бойцовский клуб,"триллер, боевик, драма","1999, США / Германия",https://www.kinoafisha.info/movies/3963633/
8.5,М убийца,"нуар, криминал, драма, триллер","1931, Германия",https://www.kinoafisha.info/movies/8146960/
8.3,Осенняя соната,"мюзикл, драма","1978, Швеция / Франция / Германия",https://www.kinoafisha.info/movies/1068690/
8.3,В самом сердце Национального,"документальный, спорт","2024, Германия",https://www.kinoafisha.info/movies/8376827/
8.2,Достучаться до небес,"боевик, драма, приключения, комедия","1997, Германия / Нидерланды / Бельгия",https://www.kinoafisha.info/movies/7275899/
8.2,Завещание доктора Мабузе,"мистика, криминал, ужасы","1933, Германия",https://www.kinoafisha.info/movies/7836996/
8.1,Блэйд 2,"боевик, фэнтези, триллер, приключения","2002, Германия / США",https://www.kinoafisha.info/movies/8103410/
8.1,"Носферату, симфония ужаса","ужасы, фэнтези, триллер","1922, Германия",https://www.kinoafisha.info/movies/3638322/
8.1,Метрополис,"боевик, фантастика, драма, триллер","1927, Германия",https://www.kinoafisha.info/movies/3637514/
8.0,Адвокат дьявола,"триллер, драма","1997, США / Германия",https://www.kinoafisha.info/movies/3341280/
8.0,Бесславные ублюдки,"драма, военный, приключения, боевик","2009, Германия / США",https://www.kinoafisha.info/movies/7605543/
8.0,Гарри Поттер и Тайная Комната,"мистика, приключения, сказка, семейный","2002, США / Великобритания / Германия",https://www.kinoafisha.info/movies/5237/
8.0,Казино Рояль,"приключения, боевик, триллер","2006, США / Германия / Великобритания / Чехия",https://www.kinoafisha.info/movies/887009/
8.0,Rammstein: Paris!,мюзикл,"2016, Германия",https://www.kinoafisha.info/movies/8329084/
7.9,Голубой ангел,"мюзикл, драма","1930, Германия",https://www.kinoafisha.info/movies/7750791/
7.9,Фауст. Народная легенда,"фантастика, ужасы","1926, Германия",https://www.kinoafisha.info/movies/3484185/
7.9,Амели,"комедия, мелодрама","2001, Франция / Германия",https://www.kinoafisha.info/movies/1795995/
7.9,Константин: повелитель тьмы,"триллер, боевик, сказка, драма","2005, США / Германия",https://www.kinoafisha.info/movies/185063/
7.8,"Весна, лето, осень, зима... и снова весна",драма,"2003, Южная Корея / Германия",https://www.kinoafisha.info/movies/5503/
7.8,Чтец,"мелодрама, исторический, военный, драма, триллер","2008, США / Германия",https://www.kinoafisha.info/movies/6143568/
7.8,Идентификация Борна,триллер,"2002, США / Германия / Чехия",https://www.kinoafisha.info/movies/81992/
7.8,"Отель ""Гранд Будапешт""","комедия, драма","2014, США / Германия",https://www.kinoafisha.info/movies/8159309/
7.7,«V» значит Вендетта,"фантастика, драма, триллер, боевик","2005, США / Великобритания / Германия",https://www.kinoafisha.info/movies/422349/
7.7,Банды Нью-Йорка,"драма, исторический","2002, США / Германия / Италия / Великобритания / Нидерланды",https://www.kinoafisha.info/movies/5292/
7.7,Парфюмер: история одного убийцы,"триллер, драма","2006, Германия / Франция / Испания / США",https://www.kinoafisha.info/movies/829730/
7.7,Белая лента,"драма, военный","2009, Австрия / Франция / Германия / Италия",https://www.kinoafisha.info/movies/7753846/
7.6,Догвилль,"триллер, драма","2003, Дания / Швеция / Норвегия / Финляндия / Великобритания / Франция / Германия / Нидерланды",https://www.kinoafisha.info/movies/5373/
7.6,Когда мы уходим,драма,"2010, Германия",https://www.kinoafisha.info/movies/8107468/
7.6,Мертвец,"криминал, вестерн, драма, приключения","1995, США / Германия / Япония",https://www.kinoafisha.info/movies/330052/
7.6,Патриот,"драма, военный, боевик","2000, Германия / США",https://www.kinoafisha.info/movies/5377153/
7.6,Кто я,триллер,"2014, Германия",https://www.kinoafisha.info/movies/8175519/
7.6,Идеальные дни,драма,"2023, Германия / Япония",https://www.kinoafisha.info/movies/8371210/
7.5,Нелюбовь,драма,"2017, Россия / Франция / Бельгия / Германия",https://www.kinoafisha.info/movies/8327195/
7.5,Другой мир,"сказка, боевик, ужасы","2003, США / Германия / Венгрия / Великобритания",https://www.kinoafisha.info/movies/5419/
7.4,Кабинет доктора Калигари,"драма, ужасы, триллер","1920, Германия",https://www.kinoafisha.info/movies/4369758/
7.4,Форсаж,"триллер, боевик, криминал","2001, США / Германия",https://www.kinoafisha.info/movies/4459836/
7.4,Душевная кухня,комедия,"2009, Германия",https://www.kinoafisha.info/movies/7821765/
7.4,Большое путешествие вглубь океанов 3D: Возвращение,документальный,"2009, Германия / Великобритания / Австрия",https://www.kinoafisha.info/movies/7945897/
7.4,Рок-волна,комедия,"2009, Великобритания / Германия / Франция",https://www.kinoafisha.info/movies/7236018/
7.3,Поруганная честь Катарины Блюм,"криминал, драма","1975, Германия",https://www.kinoafisha.info/movies/8379373/
7.3,Монгол. Часть первая,"исторический, драма, биография","2007, Казахстан / Россия / Германия",https://www.kinoafisha.info/movies/1125312/
7.3,Авиатор,драма,"2004, США / Германия",https://www.kinoafisha.info/movies/139895/
7.3,"Операция ""Валькирия""",триллер,"2008, США / Германия",https://www.kinoafisha.info/movies/3643144/
7.3,Обитель зла,"ужасы, боевик, триллер, фантастика","2002, Германия / Франция / Великобритания",https://www.kinoafisha.info/movies/5388561/
7.3,Миссия: Невыполнима 3,"триллер, боевик, мистика, приключения","2006, Германия / США",https://www.kinoafisha.info/movies/556276/
7.3,Пандорум,"ужасы, фантастика","2009, США / Германия",https://www.kinoafisha.info/movies/7268931/
7.3,Женское такси,документальный,"2009, Германия",https://www.kinoafisha.info/movies/8107571/
7.2,Не/смотря ни на что,комедия,"2017, Германия",https://www.kinoafisha.info/movies/8327898/
7.2,Рай,драма,"2016, Россия / Германия",https://www.kinoafisha.info/movies/8325315/
