Rating,Name,Genres,Year/Country,URL
8.8,Начало,"боевик, фантастика, триллер","2010, США / Великобритания",https://www.kinoafisha.info/movies/7794008/
8.6,Гладиатор,"приключения, драма, боевик","2000, Великобритания / США",https://www.kinoafisha.info/movies/3577687/
8.5,Интерстеллар,фантастика,"2014, США / Великобритания",https://www.kinoafisha.info/movies/5435814/
8.4,Чужой,"ужасы, фантастика, триллер","1979, США / Великобритания",https://www.kinoafisha.info/movies/4722633/
8.4,Темный рыцарь: Возрождение легенды,"драма, триллер, боевик","2012, США / Великобритания",https://www.kinoafisha.info/movies/8094803/
8.4,Чужие,"триллер, ужасы, боевик, фантастика","1986, США / Великобритания",https://www.kinoafisha.info/movies/5411374/
8.4,Престиж,"сказка, триллер, фантастика, драма","2006, США / Великобритания",https://www.kinoafisha.info/movies/1068657/
8.3,Гарри Поттер и Дары смерти. Часть вторая,"семейный, фэнтези, драма, мистика, приключения","2011, США / Великобритания",https://www.kinoafisha.info/movies/7667825/
8.2,Одна жизнь,"биография, драма, исторический","2023, Великобритания",https://www.kinoafisha.info/movies/8372178/
8.2,Богемская рапсодия,"драма, биография, мюзикл","2018, США / Великобритания",https://www.kinoafisha.info/movies/8329800/
8.2,Переводчик,"боевик, триллер, криминал","2023, Великобритания / Испания",https://www.kinoafisha.info/movies/8365644/
8.2,Отец,драма,"2020, Великобритания / Франция",https://www.kinoafisha.info/movies/8356999/
8.2,"До свидания, мистер Чипс","драма, мелодрама","1939, Великобритания",https://www.kinoafisha.info/movies/8362403/
8.2,Терминатор,"триллер, фантастика, боевик","1984, Великобритания / США",https://www.kinoafisha.info/movies/4035680/
8.1,Гарри Поттер и узник Азкабана,"приключения, семейный, фэнтези","2004, США / Великобритания",https://www.kinoafisha.info/movies/5598/
8.1,Гарри Поттер и кубок огня,"семейный, приключения, триллер, фэнтези, сказка","2005, США / Великобритания",https://www.kinoafisha.info/movies/419476/
8.1,Гарри Поттер и философский камень,"приключения, семейный, сказка","2001, Великобритания / США",https://www.kinoafisha.info/movies/5387519/
8.1,Миллионер из трущоб,"мелодрама, драма, комедия","2008, Великобритания",https://www.kinoafisha.info/movies/5780683/
8.0,Король говорит!,"драма, исторический","2010, Великобритания / Австралия",https://www.kinoafisha.info/movies/8099607/
8.0,Гарри Поттер и Дары смерти. Часть первая,"семейный, фэнтези, драма, мистика, приключения","2010, США / Великобритания",https://www.kinoafisha.info/movies/7667823/
8.0,Черный нарцисс,драма,"1947, Великобритания",https://www.kinoafisha.info/movies/8330372/
8.0,Большие надежды,драма,"1946, Великобритания",https://www.kinoafisha.info/movies/4700814/
8.0,"Три билборда на границе Эббинга, Миссури","драма, триллер, криминал","2017, США / Великобритания",https://www.kinoafisha.info/movies/8330387/
8.0,Шерлок Холмс,"драма, боевик, криминал, приключения, мистика","2009, США / Великобритания",https://www.kinoafisha.info/movies/7583200/
8.0,Банши Инишерина,драма,"2022, Ирландия / Великобритания",https://www.kinoafisha.info/movies/8367429/
8.0,Сияние,триллер,"1980, Великобритания / США",https://www.kinoafisha.info/movies/1004261/
8.0,Гарри Поттер и Тайная Комната,"мистика, приключения, сказка, семейный","2002, США / Великобритания / Германия",https://www.kinoafisha.info/movies/5237/
8.0,Казино Рояль,"приключения, боевик, триллер","2006, США / Германия / Великобритания / Чехия",https://www.kinoafisha.info/movies/887009/
7.9,Человек-муравей,"фантастика, боевик","2015, США / Великобритания",https://www.kinoafisha.info/movies/8158512/
7.9,1917,"военный, драма","2019, Великобритания / США",https://www.kinoafisha.info/movies/8355993/
7.9,Пигмалион,"драма, мелодрама, комедия","1938, Великобритания",https://www.kinoafisha.info/movies/8329586/
7.9,Не время умирать,"боевик, криминал, триллер, приключения","2021, США / Великобритания",https://www.kinoafisha.info/movies/8330803/
7.9,Троя,"исторический, приключения","2004, США / Мальта / Великобритания",https://www.kinoafisha.info/movies/5591/
7.9,Приключения Паддингтона 2,"фэнтези, семейный, приключения","2017, Великобритания / Франция",https://www.kinoafisha.info/movies/8328269/
7.8,Гарри Поттер и Орден Феникса,"сказка, семейный, драма, приключения","2007, Великобритания / США",https://www.kinoafisha.info/movies/1091223/
7.8,Globe: Доктор Фауст,спектакль,"2011, Великобритания",https://www.kinoafisha.info/movies/8160224/
7.8,Пипец 2,"криминал, триллер, боевик, комедия","2013, США / Великобритания",https://www.kinoafisha.info/movies/8144054/
7.8,Звездная пыль,"приключения, мелодрама, сказка","2007, Великобритания / США",https://www.kinoafisha.info/movies/1179969/
7.8,Лев,драма,"2016, Великобритания / Австралия / США",https://www.kinoafisha.info/movies/8325490/
7.8,Гордость и предубеждение,"мелодрама, драма","2005, Франция / Великобритания",https://www.kinoafisha.info/movies/422322/
7.8,"Ван Гог. С любовью, Винсент","анимация, драма, криминал, биография","2017, Великобритания / Польша",https://www.kinoafisha.info/movies/8330014/
7.8,Гнев человеческий,"криминал, боевик, триллер","2021, Великобритания",https://www.kinoafisha.info/movies/8356609/
7.8,"007: Координаты ""Скайфолл""","приключения, боевик, триллер","2012, США / Великобритания",https://www.kinoafisha.info/movies/8114303/
7.8,2001 год: Космическая одиссея,"фантастика, приключения","1968, США / Великобритания",https://www.kinoafisha.info/movies/1025164/
7.7,Луна 2112,"триллер, фантастика","2009, Великобритания",https://www.kinoafisha.info/movies/7584776/
7.7,Дюнкерк,"драма, военный, исторический","2017, США / Великобритания / Франция",https://www.kinoafisha.info/movies/8322822/
7.7,Трио из Бельвилля,"комедия, анимация","2003, Франция / Бельгия / Канада / Великобритания / Латвия",https://www.kinoafisha.info/movies/5426/
7.7,12 лет рабства,"драма, исторический, биография","2013, США / Великобритания",https://www.kinoafisha.info/movies/8127608/
7.7,Kingsman: Секретная служба,триллер,"2014, Великобритания",https://www.kinoafisha.info/movies/8156005/
7.7,Искупление,драма,"2007, Великобритания",https://www.kinoafisha.info/movies/1179993/
7.7,«V» значит Вендетта,"фантастика, драма, триллер, боевик","2005, США / Великобритания / Германия",https://www.kinoafisha.info/movies/422349/
7.7,Ветреная река,триллер,"2017, США / Великобритания / Канада",https://www.kinoafisha.info/movies/8329283/
7.7,Банды Нью-Йорка,"драма, исторический","2002, США / Германия / Италия / Великобритания / Нидерланды",https://www.kinoafisha.info/movies/5292/
7.7,Гарри Поттер и Принц-Полукровка,"фэнтези, семейный, приключения","2008, Великобритания / США",https://www.kinoafisha.info/movies/4108467/
7.7,Залечь на дно в Брюгге,"драма, комедия","2008, Великобритания / Бельгия",https://www.kinoafisha.info/movies/4118130/
7.7,Порок на экспорт,"драма, триллер, мистика","2007, Великобритания / Канада / США",https://www.kinoafisha.info/movies/1469610/
7.7,Шоколад,"драма, комедия, мелодрама","2000, Великобритания / США",https://www.kinoafisha.info/movies/3341251/
7.6,Догвилль,"триллер, драма","2003, Дания / Швеция / Норвегия / Финляндия / Великобритания / Франция / Германия / Нидерланды",https://www.kinoafisha.info/movies/5373/
7.6,Хранители,"фантастика, фэнтези, боевик, драма, триллер","2009, Великобритания / США",https://www.kinoafisha.info/movies/4807951/
7.6,Бойфренд из будущего,"фантастика, комедия, драма","2013, Великобритания",https://www.kinoafisha.info/movies/8144311/
7.6,Реальная любовь,"драма, комедия, мелодрама","2002, Великобритания / США",https://www.kinoafisha.info/movies/5464/
7.6,127 часов,драма,"2010, США / Великобритания",https://www.kinoafisha.info/movies/8096889/
7.6,Жизнь в розовом цвете,"биография, драма, мюзикл","2007, Франция / Великобритания / Чехия",https://www.kinoafisha.info/movies/1303447/
7.6,Волшебная страна,"биография, семейный, драма","2004, Великобритания / США",https://www.kinoafisha.info/movies/139898/
7.6,2+1,"комедия, семейный, драма, мелодрама","2016, Франция / Великобритания",https://www.kinoafisha.info/movies/8327108/
7.6,Кошачьи миры Луиса Уэйна,"биография, драма, исторический","2021, Великобритания",https://www.kinoafisha.info/movies/8363252/
7.6,Один день,"комедия, мелодрама","2011, Великобритания",https://www.kinoafisha.info/movies/8085369/
7.6,Фантастические твари и где они обитают,"семейный, фэнтези, приключения","2016, Великобритания / США",https://www.kinoafisha.info/movies/8168523/
7.6,Гравитация,"фантастика, триллер","2013, США / Великобритания",https://www.kinoafisha.info/movies/8105955/
