Rating,Name,Genres,Year/Country,URL
8.0,Банши Инишерина,драма,"2022, Ирландия / Великобритания",https://www.kinoafisha.info/movies/8367429/
8.0,Бедные-несчастные,"мелодрама, фантастика, драма","2023, Ирландия / США",https://www.kinoafisha.info/movies/8370743/
7.7,Игры разумов,"драма, детектив, биография","2018, Ирландия",https://www.kinoafisha.info/movies/8329936/
7.5,Фаворитка,"биография, исторический","2018, Ирландия / Великобритания / США",https://www.kinoafisha.info/movies/8355009/
7.5,Джейн Остин,"биография, драма, мелодрама","2007, США / Великобритания / Ирландия",https://www.kinoafisha.info/movies/2070027/
7.3,Однажды в Ирландии,"комедия, триллер","2011, Ирландия",https://www.kinoafisha.info/movies/8092412/
7.1,My Little Pony: Новое поколение,"приключения, анимация, комедия","2021, Ирландия / Канада",https://www.kinoafisha.info/movies/8365153/
6.3,Король Артур,"драма, боевик, военный, приключения","2004, США / Великобритания / Ирландия",https://www.kinoafisha.info/movies/5640/
6.2,Клаустрофобы: Инсомния,"ужасы, триллер","2023, Ирландия",https://www.kinoafisha.info/movies/8371023/
6.1,Заклятье: Спуск к дьяволу,ужасы,"2021, Ирландия",https://www.kinoafisha.info/movies/8365535/
6.0,Укрытие,"фэнтези, триллер","2011, Ирландия / Швеция / Франция",https://www.kinoafisha.info/movies/8362505/
5.8,Легенда о Зелёном рыцаре,"фэнтези, драма, мелодрама","2021, США / Ирландия",https://www.kinoafisha.info/movies/8356948/
