Rating,Name,Genres,Year/Country,URL
8.2,Похитители велосипедов,драма,"1948, Италия",https://www.kinoafisha.info/movies/3399716/
8.2,Однажды в Америке,драма,"1983, США / Италия",https://www.kinoafisha.info/movies/1079524/
8.1,Лучшее предложение,"мелодрама, драма","2013, Италия",https://www.kinoafisha.info/movies/8148232/
8.0,Сладкая жизнь,"драма, комедия","1959, Италия / Франция",https://www.kinoafisha.info/movies/944489/
7.7,Идеальные незнакомцы,"драма, комедия","2016, Италия",https://www.kinoafisha.info/movies/8328292/
7.7,Малена,"военный, драма, мелодрама","2000, Италия / США",https://www.kinoafisha.info/movies/1079414/
7.7,Сибирский цирюльник,"исторический, драма, мелодрама","1998, Россия / Франция / Италия / Чехия",https://www.kinoafisha.info/movies/5927378/
7.7,Скромное обаяние буржуазии,"комедия, драма, фэнтези","1972, Франция / Италия / Испания",https://www.kinoafisha.info/movies/8377958/
7.7,Банды Нью-Йорка,"драма, исторический","2002, США / Германия / Италия / Великобритания / Нидерланды",https://www.kinoafisha.info/movies/5292/
7.7,Маменькины сынки,драма,"1953, Италия / Франция",https://www.kinoafisha.info/movies/5481817/
7.7,Восемь с половиной,драма,"1963, Италия / Франция",https://www.kinoafisha.info/movies/4491338/
7.7,Белая лента,"драма, военный","2009, Австрия / Франция / Германия / Италия",https://www.kinoafisha.info/movies/7753846/
7.6,Граф Монте-Кристо,"драма, мелодрама, приключения","1954, Франция / Италия",https://www.kinoafisha.info/movies/7783679/
7.4,Молодость,драма,"2015, Италия / Франция / Швейцария / Великобритания",https://www.kinoafisha.info/movies/8175808/
7.3,Химера,драма,"2022, Италия",https://www.kinoafisha.info/movies/8366720/
7.3,Мечтатели,"эротика, драма","2003, Франция / Великобритания / Италия",https://www.kinoafisha.info/movies/5518/
7.3,Грех,"драма, биография, исторический","2018, Россия / Италия",https://www.kinoafisha.info/movies/8330122/
7.2,Великая красота,"комедия, драма","2013, Италия / Франция",https://www.kinoafisha.info/movies/8154634/
7.2,Меланхолия,"фантастика, драма","2010, Германия / Швеция / Дания / Франция / Италия",https://www.kinoafisha.info/movies/8042095/
7.2,Зорро,"комедия, семейный, вестерн, приключения","1975, Франция / Италия",https://www.kinoafisha.info/movies/5575885/
7.1,Французский канкан,"мюзикл, комедия, мелодрама","1954, Франция / Италия",https://www.kinoafisha.info/movies/8106284/
7.0,Первый день моей жизни,"драма, фэнтези, комедия","2023, Италия",https://www.kinoafisha.info/movies/8354949/
7.0,Гнездо жаворонка,драма,"2007, Италия / Испания / Великобритания / Франция / Болгария",https://www.kinoafisha.info/movies/4607348/
7.0,Рафаэль: Принц искусства,биография,"2017, Италия",https://www.kinoafisha.info/movies/8362121/
6.9,Антихрист,"ужасы, драма","2009, Дания / Германия / Франция / Швеция / Италия / Польша",https://www.kinoafisha.info/movies/7662225/
6.9,Прости за любовь,мелодрама,"2008, Италия",https://www.kinoafisha.info/movies/7135799/
6.8,Дайте мужа Анне Дзакео,драма,"1955, Италия",https://www.kinoafisha.info/movies/7883823/
6.7,Римские приключения,комедия,"2012, США / Италия / Испания",https://www.kinoafisha.info/movies/8125552/
6.7,Возвращение Одиссея,исторический,"2024, Франция / Греция / Италия / Великобритания / США",https://www.kinoafisha.info/movies/8376924/
6.7,Астерикс и Обеликс против Цезаря,"исторический, приключения, комедия, семейный, сказка","1999, Франция / Германия / Италия",https://www.kinoafisha.info/movies/5698876/
6.6,Костлявая смерть,"драма, мистика","1962, Италия",https://www.kinoafisha.info/movies/5425102/
6.6,"Любовь - все, что тебе нужно","комедия, мелодрама","2012, Германия / Дания / Швеция / Франция / Италия",https://www.kinoafisha.info/movies/8140519/
6.5,Мария,"биография, драма","2024, Германия / США / ОАЭ / Италия",https://www.kinoafisha.info/movies/8368034/
6.5,"9 причин, чтобы жить","комедия, драма","2021, Франция / Италия",https://www.kinoafisha.info/movies/8366004/
6.5,Тень Караваджо,"биография, исторический","2021, Италия / Франция",https://www.kinoafisha.info/movies/8365107/
6.4,"Прости, хочу на тебе жениться","драма, мелодрама, комедия","2010, Италия",https://www.kinoafisha.info/movies/8094780/
6.4,Большая гонка. Лянча против Ауди,"биография, драма, спорт","2024, Италия / Великобритания",https://www.kinoafisha.info/movies/8371502/
6.4,Любовь прет-а-порте,комедия,"2016, Россия / Италия",https://www.kinoafisha.info/movies/8323936/
6.1,Ламборгини: Человек-легенда,"драма, биография","2022, Италия",https://www.kinoafisha.info/movies/8354867/
5.9,Суперпташки: Улетная миссия,анимация,"2023, Италия",https://www.kinoafisha.info/movies/8372587/
5.7,Одержимая,"триллер, ужасы","2010, США / Италия",https://www.kinoafisha.info/movies/8126637/
5.6,Любовь. Свадьба. Повтор,"комедия, мелодрама","2020, Италия",https://www.kinoafisha.info/movies/8361207/
5.6,Дворец,драма,"2023, Италия / Швейцария / Франция / Польша",https://www.kinoafisha.info/movies/8367113/
5.4,После пробуждения,драма,"2021, Италия",https://www.kinoafisha.info/movies/8365105/
5.3,Астрал. Ритуал Малум,"драма, ужасы, триллер","2023, Италия",https://www.kinoafisha.info/movies/8372679/
5.2,Космополис,драма,"2012, Канада / Франция / Италия / Португалия",https://www.kinoafisha.info/movies/8119629/
4.9,Бойся тишины,ужасы,"2023, Италия",https://www.kinoafisha.info/movies/8369442/
4.3,Клаустрофобы. Начало,ужасы,"2022, Италия / Франция",https://www.kinoafisha.info/movies/8366191/
