Rating,Name,Genres,Year/Country,URL
8.7,Унесенные призраками,"аниме , семейный, анимация, приключения","2001, Япония",https://www.kinoafisha.info/movies/1250373/
8.5,Ходячий замок,"аниме , сказка, фантастика, мелодрама","2004, Япония",https://www.kinoafisha.info/movies/329966/
8.5,ВОЛЕЙБОЛ!! Битва на мусорной свалке,"анимация, комедия, драма","2024, Япония",https://www.kinoafisha.info/movies/8375798/
8.5,Твое имя,"анимация, фэнтези, мелодрама, аниме","2016, Япония",https://www.kinoafisha.info/movies/8329875/
8.4,Истребитель демонов: Поезд «Бесконечный»,"боевик, приключения, анимация","2020, Япония",https://www.kinoafisha.info/movies/8364450/
8.4,Spy x Family: Код «Белый»,"боевик, анимация, комедия","2023, Япония",https://www.kinoafisha.info/movies/8370673/
8.3,Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма","1997, Япония",https://www.kinoafisha.info/movies/4019055/
8.2,Вайолет Эвергарден. Фильм,"анимация, драма, фэнтези","2020, Япония",https://www.kinoafisha.info/movies/8363166/
8.2,"Судзумэ, закрывающая двери","аниме , драма","2022, Япония",https://www.kinoafisha.info/movies/8366024/
8.2,Мальчик и птица,"анимация, аниме","2023, Япония",https://www.kinoafisha.info/movies/8353726/
8.1,Раннее лето,драма,"1951, Япония",https://www.kinoafisha.info/movies/3997946/
8.1,Гран Туризмо,"боевик, приключения, драма","2023, США / Япония",https://www.kinoafisha.info/movies/8367799/
8.0,Небесный замок Лапута,"сказка, анимация, семейный, приключения, аниме","1986, Япония",https://www.kinoafisha.info/movies/3165908/
8.0,Мой сосед Тоторо,"аниме , сказка, семейный, анимация","1988, Япония",https://www.kinoafisha.info/movies/3994142/
7.9,Ее заветное желание,"анимация, драма, мелодрама","2020, Япония",https://www.kinoafisha.info/movies/8364795/
7.9,Истребитель демонов: Тренировка столпов,анимация,"2024, Япония",https://www.kinoafisha.info/movies/8373964/
7.9,Навсикая из долины Ветров,"фантастика, аниме , приключения, драма, анимация","1984, Япония",https://www.kinoafisha.info/movies/1814170/
7.9,Воспоминания о Марни,"аниме , драма, фэнтези","2014, Япония",https://www.kinoafisha.info/movies/8320507/
7.9,Дитя погоды,"аниме , мелодрама, анимация, фэнтези","2019, Япония",https://www.kinoafisha.info/movies/8356367/
7.8,Ведьмина служба доставки,"приключения, комедия, сказка, семейный, анимация, аниме","1989, Япония",https://www.kinoafisha.info/movies/4018598/
7.8,Укрась прощальное утро цветами обещания,"анимация, драма, приключения, аниме","2018, Япония",https://www.kinoafisha.info/movies/8353932/
7.8,Братья Супер Марио в кино,"приключения, анимация, комедия","2023, США / Япония",https://www.kinoafisha.info/movies/8366424/
7.7,Проза бродячих псов. Фильм,"анимация, аниме","2018, Япония",https://www.kinoafisha.info/movies/8354991/
7.7,Пять сантиметров в секунду,"драма, анимация, мелодрама, аниме","2007, Япония",https://www.kinoafisha.info/movies/8107096/
