Rating,Name,Genres,Year/Country,URL
8.5,Паралимпиец,"биография, спорт, драма","2022, Казахстан",https://www.kinoafisha.info/movies/8367383/
8.0,Приговор,триллер,"2024, Казахстан",https://www.kinoafisha.info/movies/8374821/
7.4,Вперед!,"драма, спорт, криминал","2022, Казахстан",https://www.kinoafisha.info/movies/8371041/
7.4,Дастур,"драма, ужасы","2023, Казахстан",https://www.kinoafisha.info/movies/8373252/
7.3,Монгол. Часть первая,"исторический, драма, биография","2007, Казахстан / Россия / Германия",https://www.kinoafisha.info/movies/1125312/
7.2,Попандос,комедия,"2024, Казахстан",https://www.kinoafisha.info/movies/8375554/
7.2,Жездуха,комедия,"2023, Казахстан",https://www.kinoafisha.info/movies/8374334/
7.1,Таптым-ау сені,комедия,"2023, Казахстан",https://www.kinoafisha.info/movies/8373119/
6.8,SHEKER. Последний шанс,криминал,"2024, Казахстан",https://www.kinoafisha.info/movies/8379810/
6.8,Степной волк,драма,"2024, Казахстан",https://www.kinoafisha.info/movies/8378352/
6.5,Акын,драма,"2021, Казахстан",https://www.kinoafisha.info/movies/8367375/
5.8,Ирония любви,комедия,"2009, Россия / Казахстан",https://www.kinoafisha.info/movies/7766728/
