Rating,Name,Genres,Year/Country,URL
8.8,SUGA | Agust D TOUR ‘D-DAY’ THE MOVIE,"музыка, документальный","2024, Южная Корея",https://www.kinoafisha.info/movies/8375207/
8.8,Чон Кук: Я Все еще,концерт,"2024, Южная Корея",https://www.kinoafisha.info/movies/8378415/
8.6,Suga: Road to D-Day,"биография, документальный, музыка","2023, Южная Корея",https://www.kinoafisha.info/movies/8371078/
8.6,Мой мир SHINee,"документальный, музыка","2023, Южная Корея",https://www.kinoafisha.info/movies/8373986/
8.4,BTS: Love Yourself Tour in Seoul,"документальный, мюзикл","2018, Южная Корея",https://www.kinoafisha.info/movies/8355477/
8.4,Blackpink мировой тур: Рожденные розовым,концерт,"2024, Южная Корея",https://www.kinoafisha.info/movies/8377632/
8.3,Астроскоп. Смотрим на звезды,концерт,"2023, Южная Корея",https://www.kinoafisha.info/movies/8373086/
8.1,Паразиты,"драма, триллер","2019, Южная Корея",https://www.kinoafisha.info/movies/8355519/
8.0,BTS: Bring The Soul. The movie,"документальный, мюзикл","2019, Южная Корея",https://www.kinoafisha.info/movies/8356322/
8.0,Олдбой,"драма, мистика, триллер","2003, Южная Корея",https://www.kinoafisha.info/movies/3729696/
7.8,"Весна, лето, осень, зима... и снова весна",драма,"2003, Южная Корея / Германия",https://www.kinoafisha.info/movies/5503/
7.8,Поезд в Пусан,"ужасы, боевик, триллер","2016, Южная Корея",https://www.kinoafisha.info/movies/8327355/
7.6,Криминальный Город: Разборки В Пусане,"боевик, криминал","2023, Южная Корея",https://www.kinoafisha.info/movies/8368447/
7.5,Криминальный город 2,криминал,"2022, Южная Корея",https://www.kinoafisha.info/movies/8366976/
7.5,Проклятие. Зов могилы,"ужасы, детектив, триллер","2024, Южная Корея",https://www.kinoafisha.info/movies/8375401/
7.5,Прошлые жизни,"драма, мелодрама","2023, Южная Корея / США",https://www.kinoafisha.info/movies/8370037/
7.4,Почему Бодхидхарма ушел на Восток,драма,"1989, Южная Корея",https://www.kinoafisha.info/movies/8354132/
7.4,Криминальный город. Возмездие,"боевик, криминал, триллер","2024, Южная Корея",https://www.kinoafisha.info/movies/8376065/
7.3,The Box,"драма, музыка, мюзикл","2021, Южная Корея",https://www.kinoafisha.info/movies/8364416/
7.3,Чрезвычайная ситуация,"боевик, драма, триллер","2021, Южная Корея",https://www.kinoafisha.info/movies/8367826/
7.2,Решение уйти,"криминал, драма, мистика","2022, Южная Корея",https://www.kinoafisha.info/movies/8367030/
7.1,Неспящие в Сеуле,"драма, мелодрама","2024, Южная Корея",https://www.kinoafisha.info/movies/8374009/
7.1,Не слышу зла,"криминал, триллер","2021, Южная Корея",https://www.kinoafisha.info/movies/8366935/
7.1,"Гангстер, коп и дьявол","боевик, триллер, криминал","2019, Южная Корея",https://www.kinoafisha.info/movies/8357158/
7.0,Револьвер,"криминал, драма","2024, Южная Корея",https://www.kinoafisha.info/movies/8376062/
7.0,Сквозь снег,"боевик, драма, фантастика","2013, Южная Корея / США / Франция",https://www.kinoafisha.info/movies/8144901/
6.9,Луна,"приключения, драма, фантастика","2023, Южная Корея",https://www.kinoafisha.info/movies/8371901/
6.8,Выжившие. Бетонная утопия,"боевик, приключения, драма","2023, Южная Корея",https://www.kinoafisha.info/movies/8373583/
6.6,Корабль в Пусан,"боевик, криминал, фантастика","2022, Южная Корея",https://www.kinoafisha.info/movies/8367838/
6.4,Мгновение навсегда,"драма, спорт","2008, Южная Корея",https://www.kinoafisha.info/movies/7827927/
6.3,Астрал. Ночной кошмар,ужасы,"2024, Индонезия / Южная Корея",https://www.kinoafisha.info/movies/8376056/
6.0,Призрачный дом,"ужасы, мистика, триллер","2021, Южная Корея",https://www.kinoafisha.info/movies/8366928/
6.0,Реальная белка 2,"анимация, комедия, приключения","2017, США / Канада / Южная Корея",https://www.kinoafisha.info/movies/8329077/
5.2,Вкус страха,"ужасы, детектив","2023, Южная Корея",https://www.kinoafisha.info/movies/8372946/
5.1,Астрал. Кошмар в «Спринг Гарден»,"ужасы, триллер","2024, Южная Корея",https://www.kinoafisha.info/movies/8379817/
4.5,Война динозавров,"драма, боевик, фэнтези","2007, Южная Корея / США",https://www.kinoafisha.info/movies/1469573/
4.3,Зомби: Из Пусана в Гангнам,"ужасы, боевик","2023, Южная Корея",https://www.kinoafisha.info/movies/8369017/
