Rating,Name,Genres,Year/Country,URL
8.0,Лабиринт Фавна,"драма, сказка, ужасы, триллер","2006, Мексика / Испания / США",https://www.kinoafisha.info/movies/987337/
7.6,Вавилон,"триллер, драма","2006, США / Мексика",https://www.kinoafisha.info/movies/1098677/
7.5,Приют,"мистика, триллер, ужасы, драма","2007, Мексика / Испания",https://www.kinoafisha.info/movies/1735100/
7.5,Бьютифул,драма,"2010, Испания / Мексика",https://www.kinoafisha.info/movies/8090368/
7.4,Синий Жук,"боевик, приключения, фантастика","2023, США / Мексика",https://www.kinoafisha.info/movies/8366809/
7.4,Робот по имени Чаппи,"боевик, триллер","2015, США / Мексика",https://www.kinoafisha.info/movies/8169962/
7.3,Фрида,"драма, биография","2002, США / Канада / Мексика",https://www.kinoafisha.info/movies/5255/
6.5,Однажды в Мексике: Отчаянный 2,"боевик, криминал, триллер","2003, США / Мексика",https://www.kinoafisha.info/movies/8361762/
6.5,Ведьма: Реинкарнация,ужасы,"2022, Мексика",https://www.kinoafisha.info/movies/8368758/
6.1,Память,"драма, мистика","2021, Колумбия / Таиланд / Франция / Германия / Мексика / Катар / Китай / Швейцария",https://www.kinoafisha.info/movies/8364844/
5.9,Последнее пришествие дьявола,ужасы,"2021, Мексика / Венесуэла",https://www.kinoafisha.info/movies/8366194/
5.8,Заклятье. Шестое чувство,ужасы,"2022, Мексика",https://www.kinoafisha.info/movies/8374248/
5.4,"Потерпевшие с ""Лигурии"". Пираты","приключения, семейный","1987, Мексика",https://www.kinoafisha.info/movies/7795772/
5.2,Академия монстров,анимация,"2020, Великобритания / Мексика / Канада",https://www.kinoafisha.info/movies/8360867/
4.7,Кукла. Последнее проклятье,ужасы,"2021, Мексика",https://www.kinoafisha.info/movies/8367167/
