Rating,Name,Genres,Year/Country,URL
8.8,Властелин Колец: Братство Кольца,"приключения, боевик, фэнтези","2001, Новая Зеландия / США",https://www.kinoafisha.info/movies/3337323/
8.7,Властелин Колец: Две крепости,"приключения, фэнтези, драма","2002, США / Новая Зеландия / Германия",https://www.kinoafisha.info/movies/5227/
8.6,Властелин Колец: Возвращение Короля,фэнтези,"2003, США / Новая Зеландия / Германия",https://www.kinoafisha.info/movies/5475/
8.0,Хоббит: Пустошь Смауга,"драма, фэнтези, приключения","2013, США / Новая Зеландия",https://www.kinoafisha.info/movies/8144241/
7.5,Приключения Тинтина: Тайна единорога,"семейный, анимация, приключения, мистика","2011, США / Новая Зеландия / Бельгия",https://www.kinoafisha.info/movies/5467128/
7.5,Люди Икс: Начало. Росомаха,"фантастика, боевик","2009, США / Новая Зеландия / Австралия",https://www.kinoafisha.info/movies/4808778/
7.1,Джойка,драма,"2023, США / Новая Зеландия",https://www.kinoafisha.info/movies/8365990/
7.0,Милые кости,"триллер, драма, фэнтези","2009, США / Великобритания / Новая Зеландия",https://www.kinoafisha.info/movies/4714323/
6.8,30 дней ночи,"триллер, ужасы","2007, Новая Зеландия / США",https://www.kinoafisha.info/movies/1445506/
6.7,Хроники хищных городов,фантастика,"2018, США / Новая Зеландия",https://www.kinoafisha.info/movies/8328925/
5.6,Медведь Йоги,"анимация, приключения, семейный, комедия","2011, США / Новая Зеландия",https://www.kinoafisha.info/movies/8110116/
4.3,Уиджи. Потустороннее измерение,ужасы,"2024, Новая Зеландия / Аргентина",https://www.kinoafisha.info/movies/8372950/
3.7,Заклятье. Книга крови,ужасы,"2022, Новая Зеландия / Аргентина",https://www.kinoafisha.info/movies/8368016/
