Rating,Name,Genres,Year/Country,URL
8.1,Свалкармония,"семейный, документальный, драма","2015, США / Парагвай / Норвегия / Бразилия",https://www.kinoafisha.info/movies/8323450/
7.7,Худший человек на свете,"драма, комедия, мелодрама","2021, Норвегия / Франция / Швеция / Дания",https://www.kinoafisha.info/movies/8365442/
7.6,Догвилль,"триллер, драма","2003, Дания / Швеция / Норвегия / Финляндия / Великобритания / Франция / Германия / Нидерланды",https://www.kinoafisha.info/movies/5373/
7.6,Меч короля,"биография, драма, исторический","2023, Дания / Норвегия / Швеция",https://www.kinoafisha.info/movies/8371504/
7.2,"Утёйа, 22 июля","драма, триллер","2018, Норвегия",https://www.kinoafisha.info/movies/8355035/
6.9,Буря в моем сердце,драма,"2010, Норвегия",https://www.kinoafisha.info/movies/8092329/
6.8,Во власти женщины,"мелодрама, комедия, драма","2007, Норвегия",https://www.kinoafisha.info/movies/3788124/
6.4,Кон-Тики,"боевик, биография, драма, приключения, исторический","2012, Великобритания / Норвегия / Дания",https://www.kinoafisha.info/movies/8148995/
6.3,Приключения Тедди,семейный,"2022, Норвегия",https://www.kinoafisha.info/movies/8367953/
6.1,Трио в перьях 2,анимация,"2023, Бельгия / Германия / Норвегия",https://www.kinoafisha.info/movies/8370222/
5.9,Гномы. Новогодний беспредел,ужасы,"2023, Норвегия",https://www.kinoafisha.info/movies/8371657/
5.8,"Операция ""Мертвый снег""","боевик, комедия, ужасы, приключения","2009, Норвегия",https://www.kinoafisha.info/movies/7681654/
5.0,Астрал: Потомство,"ужасы, триллер","2022, Норвегия",https://www.kinoafisha.info/movies/8368454/
