Rating,Name,Genres,Year/Country,URL
8.6,Огненный лис,"семейный, приключения, документальный","2024, Россия",https://www.kinoafisha.info/movies/8374251/
8.3,Брат,"боевик, драма","1997, Россия",https://www.kinoafisha.info/movies/8098609/
8.2,Свет,драма,"2023, Россия",https://www.kinoafisha.info/movies/8368142/
8.2,Долгая дорога домой,"триллер, драма, мистика","2017, Россия",https://www.kinoafisha.info/movies/8356951/
8.1,Тур с Иванушками,комедия,"2024, Россия",https://www.kinoafisha.info/movies/8371300/
8.1,Брат 2,"боевик, криминал","2000, США / Россия",https://www.kinoafisha.info/movies/8125705/
8.1,"Где ты, Адам?",документальный,"2019, Россия",https://www.kinoafisha.info/movies/8360968/
8.0,Дурак,драма,"2014, Россия",https://www.kinoafisha.info/movies/8165353/
8.0,Кентавр,"драма, триллер","2023, Россия",https://www.kinoafisha.info/movies/8369275/
7.9,Сказки Гофмана,"драма, комедия","2022, Россия",https://www.kinoafisha.info/movies/8371946/
7.9,Майор Гром: Игра,"боевик, приключения","2024, Россия",https://www.kinoafisha.info/movies/8369274/
7.9,Семь черных бумаг,военный,"2024, Россия",https://www.kinoafisha.info/movies/8375405/
7.8,Легенда №17,"биография, спорт","2012, Россия",https://www.kinoafisha.info/movies/8141660/
7.8,Командир,"биография, драма, боевик","2024, Россия",https://www.kinoafisha.info/movies/8371100/
7.8,"Руслан и Людмила. Больше, чем сказка",анимация,"2023, Россия",https://www.kinoafisha.info/movies/8371620/
7.8,Брестская крепость,"драма, военный","2010, Россия / Беларусь",https://www.kinoafisha.info/movies/7949294/
7.8,О чем говорят мужчины,комедия,"2010, Россия",https://www.kinoafisha.info/movies/7795867/
7.7,Алеша Попович и Тугарин Змей,"семейный, сказка, анимация","2004, Россия",https://www.kinoafisha.info/movies/107757/
7.7,Сибирский цирюльник,"исторический, драма, мелодрама","1998, Россия / Франция / Италия / Чехия",https://www.kinoafisha.info/movies/5927378/
7.7,Хоккейные папы,"комедия, семейный, спорт","2023, Россия",https://www.kinoafisha.info/movies/8371790/
7.7,Возвращение,драма,"2003, Россия",https://www.kinoafisha.info/movies/5442/
7.7,Салют-7,"драма, исторический","2017, Россия",https://www.kinoafisha.info/movies/8322262/
7.6,Мастер и Маргарита,"драма, фэнтези","2024, Россия",https://www.kinoafisha.info/movies/8365280/
7.6,Праведник,"военный, драма, исторический","2023, Россия",https://www.kinoafisha.info/movies/8368901/
