Rating,Name,Genres,Year/Country,URL
8.2,Переводчик,"боевик, триллер, криминал","2023, Великобритания / Испания",https://www.kinoafisha.info/movies/8365644/
8.0,Невидимый гость,"криминал, триллер, детектив","2017, Испания",https://www.kinoafisha.info/movies/8354569/
8.0,Лабиринт Фавна,"драма, сказка, ужасы, триллер","2006, Мексика / Испания / США",https://www.kinoafisha.info/movies/987337/
7.8,Океаны,"драма, документальный","2009, Франция / Швейцария / Испания / Монако",https://www.kinoafisha.info/movies/7597806/
7.7,Дикие истории,"драма, комедия, триллер","2014, Аргентина / Испания",https://www.kinoafisha.info/movies/8168237/
7.7,Парфюмер: история одного убийцы,"триллер, драма","2006, Германия / Франция / Испания / США",https://www.kinoafisha.info/movies/829730/
7.6,Царство небесное,"мелодрама, военный, драма","2005, Испания / США",https://www.kinoafisha.info/movies/243120/
7.6,Другие,"ужасы, фантастика, мистика, триллер, драма","2001, Испания / Франция / США",https://www.kinoafisha.info/movies/3625676/
7.6,"Кожа, в которой я живу",драма,"2011, Испания",https://www.kinoafisha.info/movies/8107749/
7.5,Погребенный заживо,"криминал, триллер","2010, Испания",https://www.kinoafisha.info/movies/7791518/
7.5,Бьютифул,драма,"2010, Испания / Мексика",https://www.kinoafisha.info/movies/8090368/
7.5,Приют,"мистика, триллер, ужасы, драма","2007, Мексика / Испания",https://www.kinoafisha.info/movies/1735100/
7.5,Бункер,триллер,"2011, Испания / Колумбия",https://www.kinoafisha.info/movies/8140929/
7.5,Три метра над уровнем неба,драма,"2010, Испания",https://www.kinoafisha.info/movies/8121127/
7.4,Голос монстра,"фантастика, фэнтези","2016, США / Испания",https://www.kinoafisha.info/movies/8326020/
7.4,Три метра над уровнем неба. Я тебя хочу,"мелодрама, драма","2012, Испания",https://www.kinoafisha.info/movies/8135207/
7.4,Девятые врата,"мистика, ужасы, триллер","1999, Испания / Франция / США",https://www.kinoafisha.info/movies/3341247/
7.3,Разомкнутые объятия,"драма, триллер","2009, Испания",https://www.kinoafisha.info/movies/7667705/
7.3,О чем говорят незнакомцы,"комедия, драма","2023, Испания",https://www.kinoafisha.info/movies/8371512/
7.2,Пол: Секретный материальчик,"фантастика, комедия","2011, Франция / Великобритания / США / Испания",https://www.kinoafisha.info/movies/8094673/
7.1,Вики Кристина Барселона,"мелодрама, драма, комедия","2008, США / Испания",https://www.kinoafisha.info/movies/5068937/
7.0,Удача,"приключения, анимация, комедия","2022, Испания / США",https://www.kinoafisha.info/movies/8366503/
7.0,Гнездо жаворонка,драма,"2007, Италия / Испания / Великобритания / Франция / Болгария",https://www.kinoafisha.info/movies/4607348/
6.8,Ворон,триллер,"2012, США / Испания / Венгрия",https://www.kinoafisha.info/movies/8106772/
6.8,Параллельные матери,драма,"2021, Испания",https://www.kinoafisha.info/movies/8364721/
6.7,Римские приключения,комедия,"2012, США / Италия / Испания",https://www.kinoafisha.info/movies/8125552/
6.6,Главная роль,"комедия, драма","2021, Испания / Аргентина",https://www.kinoafisha.info/movies/8365206/
6.6,Волшебный парк Джун,"анимация, комедия, приключения, семейный","2018, США / Испания",https://www.kinoafisha.info/movies/8329468/
6.5,Эскобар,"драма, криминал, биография","2017, Испания / Болгария",https://www.kinoafisha.info/movies/8330491/
6.5,Дневники нимфоманки,драма,"2008, Испания",https://www.kinoafisha.info/movies/7911780/
6.4,Планета №51,"приключения, семейный, анимация, комедия, фантастика","2009, Испания / Великобритания",https://www.kinoafisha.info/movies/7623970/
6.4,Беспокойная Анна,"мелодрама, комедия, драма","2007, Испания",https://www.kinoafisha.info/movies/3431150/
6.4,Тэд-путешественник и Тайна царя Мидаса,"семейный, анимация, приключения","2017, Испания",https://www.kinoafisha.info/movies/8330485/
6.4,Астерикс на Олимпийских Играх,"семейный, приключения, комедия, фэнтези","2008, Франция / Испания / Германия",https://www.kinoafisha.info/movies/2042842/
6.1,Атлантида,"фэнтези, триллер","2017, Испания / Франция",https://www.kinoafisha.info/movies/8329300/
6.1,Хранитель тайн,триллер,"2022, Испания / Аргентина / Германия",https://www.kinoafisha.info/movies/8367624/
5.9,Орбита 9,"фантастика, драма, мелодрама","2016, Испания",https://www.kinoafisha.info/movies/8328823/
5.8,Бабушка,ужасы,"2021, Испания / Франция",https://www.kinoafisha.info/movies/8365386/
5.8,Заклятье. Первое пробуждение,ужасы,"2022, Испания",https://www.kinoafisha.info/movies/8368754/
5.4,13 изгнаний дьявола,"ужасы, триллер","2022, Испания",https://www.kinoafisha.info/movies/8368506/
5.3,Бугимен. Начало легенды,"приключения, комедия, ужасы","2023, Испания / Уругвай",https://www.kinoafisha.info/movies/8372203/
5.3,Подводная эра,"анимация, приключения","2017, Испания",https://www.kinoafisha.info/movies/8326958/
5.2,Склонность,"триллер, криминал","2018, Испания / США",https://www.kinoafisha.info/movies/8354275/
5.1,11 11 11,"триллер, ужасы, драма","2011, США / Испания",https://www.kinoafisha.info/movies/8112619/
