Rating,Name,Genres,Year/Country,URL
7.7,Мои мамы,драма,"2005, Финляндия / Швеция",https://www.kinoafisha.info/movies/1080172/
7.7,Худший человек на свете,"драма, комедия, мелодрама","2021, Норвегия / Франция / Швеция / Дания",https://www.kinoafisha.info/movies/8365442/
7.6,Догвилль,"триллер, драма","2003, Дания / Швеция / Норвегия / Финляндия / Великобритания / Франция / Германия / Нидерланды",https://www.kinoafisha.info/movies/5373/
7.6,Вторая жизнь Уве,"драма, комедия","2015, Швеция",https://www.kinoafisha.info/movies/8325767/
7.6,Седьмая печать,"драма, фэнтези","1956, Швеция",https://www.kinoafisha.info/movies/7735799/
7.2,Око дьявола,"драма, комедия","1960, Швеция",https://www.kinoafisha.info/movies/7835389/
7.2,Меланхолия,"фантастика, драма","2010, Германия / Швеция / Дания / Франция / Италия",https://www.kinoafisha.info/movies/8042095/
6.9,Антихрист,"ужасы, драма","2009, Дания / Германия / Франция / Швеция / Италия / Польша",https://www.kinoafisha.info/movies/7662225/
6.9,Треугольник печали,драма,"2022, Швеция / США / Франция",https://www.kinoafisha.info/movies/8362136/
6.7,Горячие новости,боевик,"2009, Россия / Швеция",https://www.kinoafisha.info/movies/7573294/
6.6,"Любовь - все, что тебе нужно","комедия, мелодрама","2012, Германия / Дания / Швеция / Франция / Италия",https://www.kinoafisha.info/movies/8140519/
6.4,Скрежет,ужасы,"2022, Финляндия / Швеция",https://www.kinoafisha.info/movies/8366532/
6.0,Укрытие,"фэнтези, триллер","2011, Ирландия / Швеция / Франция",https://www.kinoafisha.info/movies/8362505/
5.5,Не говоря о всех этих женщинах,комедия,"1964, Швеция",https://www.kinoafisha.info/movies/8362440/
