Rating,Name,Genres,Year/Country,URL
9.1,Побег из Шоушенка,"драма, триллер","1994, США",https://www.kinoafisha.info/movies/7731571/
8.8,Зеленая миля,драма,"1999, США",https://www.kinoafisha.info/movies/4982409/
8.8,Дюна: Часть вторая,"фантастика, боевик, приключения, драма","2024, США / Канада",https://www.kinoafisha.info/movies/8365616/
8.8,Человек-Паук: Паутина Вселенных,"боевик, приключения, анимация","2022, Канада / США",https://www.kinoafisha.info/movies/8365124/
8.8,Властелин Колец: Братство Кольца,"приключения, боевик, фэнтези","2001, Новая Зеландия / США",https://www.kinoafisha.info/movies/3337323/
8.8,Крестный отец,"драма, триллер","1972, США",https://www.kinoafisha.info/movies/3974172/
8.8,Начало,"боевик, фантастика, триллер","2010, США / Великобритания",https://www.kinoafisha.info/movies/7794008/
8.7,Темный рыцарь,"драма, мистика, триллер, боевик","2008, США",https://www.kinoafisha.info/movies/3229744/
8.7,Форрест Гамп,"комедия, мелодрама, драма","1994, США",https://www.kinoafisha.info/movies/4162346/
8.7,Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",https://www.kinoafisha.info/movies/4620118/
8.7,Властелин Колец: Две крепости,"приключения, фэнтези, драма","2002, США / Новая Зеландия / Германия",https://www.kinoafisha.info/movies/5227/
8.7,Криминальное чтиво,драма,"1994, США",https://www.kinoafisha.info/movies/4366576/
8.7,Терминатор 2: судный день,"боевик, триллер, фантастика, приключения","1991, США / Франция",https://www.kinoafisha.info/movies/4089627/
8.7,Бэтмен: начало,"криминал, триллер, приключения, сказка, боевик","2005, США",https://www.kinoafisha.info/movies/281979/
8.7,Оппенгеймер,"биография, драма, исторический","2023, США",https://www.kinoafisha.info/movies/8365507/
8.6,Властелин Колец: Возвращение Короля,фэнтези,"2003, США / Новая Зеландия / Германия",https://www.kinoafisha.info/movies/5475/
8.6,Матрица,"боевик, фантастика, триллер","1999, Австралия / США",https://www.kinoafisha.info/movies/3788758/
8.6,Список Шиндлера,"исторический, военный, драма, биография","1993, США",https://www.kinoafisha.info/movies/3725038/
8.6,Лига справедливости Зака Снайдера,"боевик, приключения, фэнтези","2021, США",https://www.kinoafisha.info/movies/8363174/
8.6,Бойцовский клуб,"триллер, боевик, драма","1999, США / Германия",https://www.kinoafisha.info/movies/3963633/
8.6,Человек-паук: Нет пути домой,"фантастика, боевик, приключения","2021, США",https://www.kinoafisha.info/movies/8356586/
