Rating,Name,Genres,Year/Country,URL
8.8,Дюна: Часть вторая,"фантастика, боевик, приключения, драма","2024, США / Канада",https://www.kinoafisha.info/movies/8365616/
8.8,Человек-Паук: Паутина Вселенных,"боевик, приключения, анимация","2022, Канада / США",https://www.kinoafisha.info/movies/8365124/
8.8,Властелин Колец: Братство Кольца,"приключения, боевик, фэнтези","2001, Новая Зеландия / США",https://www.kinoafisha.info/movies/3337323/
8.8,Начало,"боевик, фантастика, триллер","2010, США / Великобритания",https://www.kinoafisha.info/movies/7794008/
8.7,Темный рыцарь,"драма, мистика, триллер, боевик","2008, США",https://www.kinoafisha.info/movies/3229744/
8.7,Терминатор 2: судный день,"боевик, триллер, фантастика, приключения","1991, США / Франция",https://www.kinoafisha.info/movies/4089627/
8.7,Бэтмен: начало,"криминал, триллер, приключения, сказка, боевик","2005, США",https://www.kinoafisha.info/movies/281979/
8.6,Матрица,"боевик, фантастика, триллер","1999, Австралия / США",https://www.kinoafisha.info/movies/3788758/
8.6,Лига справедливости Зака Снайдера,"боевик, приключения, фэнтези","2021, США",https://www.kinoafisha.info/movies/8363174/
8.6,Бойцовский клуб,"триллер, боевик, драма","1999, США / Германия",https://www.kinoafisha.info/movies/3963633/
8.6,Человек-паук: Нет пути домой,"фантастика, боевик, приключения","2021, США",https://www.kinoafisha.info/movies/8356586/
8.6,Назад в будущее,"приключения, фантастика, комедия, боевик","1985, США",https://www.kinoafisha.info/movies/5412787/
8.6,Стражи Галактики. Часть 3,"фантастика, боевик, приключения","2023, США",https://www.kinoafisha.info/movies/8354129/
8.6,Гладиатор,"приключения, драма, боевик","2000, Великобритания / США",https://www.kinoafisha.info/movies/3577687/
8.5,Мстители: Война бесконечности,"боевик, фантастика","2018, США",https://www.kinoafisha.info/movies/8169903/
8.5,Место встречи изменить нельзя,"криминал, детектив, боевик","1979, СССР",https://www.kinoafisha.info/movies/7731595/
8.5,Мстители: Финал,"боевик, фантастика","2019, США",https://www.kinoafisha.info/movies/8319689/
8.5,Пираты Карибского моря: Проклятие черной жемчужины,"приключения, боевик","2003, США",https://www.kinoafisha.info/movies/5371/
8.5,Храброе сердце,"военный, биография, боевик, драма","1995, США",https://www.kinoafisha.info/movies/5413263/
8.4,Истребитель демонов: Поезд «Бесконечный»,"боевик, приключения, анимация","2020, Япония",https://www.kinoafisha.info/movies/8364450/
8.4,Spy x Family: Код «Белый»,"боевик, анимация, комедия","2023, Япония",https://www.kinoafisha.info/movies/8370673/
8.4,Аватар,"боевик, фантастика, триллер","2009, США",https://www.kinoafisha.info/movies/3430393/
8.4,Темный рыцарь: Возрождение легенды,"драма, триллер, боевик","2012, США / Великобритания",https://www.kinoafisha.info/movies/8094803/
8.4,Индиана Джонс: В поисках утраченного ковчега,"приключения, триллер, боевик","1981, США",https://www.kinoafisha.info/movies/3488085/
8.4,Чужие,"триллер, ужасы, боевик, фантастика","1986, США / Великобритания",https://www.kinoafisha.info/movies/5411374/
8.3,Крепкий орешек,"триллер, криминал, боевик","1988, США",https://www.kinoafisha.info/movies/5038744/
8.3,Логан,"боевик, фантастика","2017, США",https://www.kinoafisha.info/movies/8175756/
8.3,Стражи Галактики,"фантастика, боевик, приключения","2014, США",https://www.kinoafisha.info/movies/8153057/
8.3,Человек-паук,"боевик, фантастика, приключения, триллер","2002, США",https://www.kinoafisha.info/movies/5609/
8.3,Люди Икс: Дни минувшего будущего,"фантастика, боевик, фэнтези","2014, США",https://www.kinoafisha.info/movies/8139166/
8.3,Фуриоса: Хроники Безумного Макса,боевик,"2024, США",https://www.kinoafisha.info/movies/8362842/
8.3,Железный человек,"приключения, фантастика, боевик, триллер","2008, США",https://www.kinoafisha.info/movies/1186688/
8.3,Брат,"боевик, драма","1997, Россия",https://www.kinoafisha.info/movies/8098609/
8.3,Мстители,боевик,"2012, США",https://www.kinoafisha.info/movies/8092771/
8.3,Джентльмены,"боевик, криминал","2020, США",https://www.kinoafisha.info/movies/8356474/
8.3,Топ Ган: Мэверик,боевик,"2022, США",https://www.kinoafisha.info/movies/8178530/
8.2,Джон Уик 4,"боевик, триллер, криминал","2023, США",https://www.kinoafisha.info/movies/8356793/
8.2,Аватар 2: Путь воды,"приключения, боевик, фантастика","2022, США",https://www.kinoafisha.info/movies/8103877/
8.2,Зверополис,"анимация, боевик, приключения, семейный, комедия","2016, США",https://www.kinoafisha.info/movies/8170146/
8.2,Переводчик,"боевик, триллер, криминал","2023, Великобритания / Испания",https://www.kinoafisha.info/movies/8365644/
8.2,Тор: Рагнарёк,"фэнтези, драма, боевик","2017, США",https://www.kinoafisha.info/movies/8170452/
8.2,Достучаться до небес,"боевик, драма, приключения, комедия","1997, Германия / Нидерланды / Бельгия",https://www.kinoafisha.info/movies/7275899/
8.2,Спасти рядового Райана,"боевик, военный, драма","1998, США",https://www.kinoafisha.info/movies/3725163/
8.2,Первый Мститель: Противостояние,"боевик, фантастика","2016, США",https://www.kinoafisha.info/movies/8167264/
8.2,Агент Эмерсон,"боевик, приключения","2019, США",https://www.kinoafisha.info/movies/8356717/
8.2,Грань будущего,"фантастика, боевик","2014, США",https://www.kinoafisha.info/movies/8134704/
8.2,Бэтмен,"фантастика, боевик, криминал","2022, США",https://www.kinoafisha.info/movies/8355224/
8.2,Терминатор,"триллер, фантастика, боевик","1984, Великобритания / США",https://www.kinoafisha.info/movies/4035680/
8.2,Люди Икс: Первый класс,"боевик, фантастика, драма","2011, США",https://www.kinoafisha.info/movies/8092465/
8.1,Человек-паук 2,"боевик, фантастика, приключения","2004, США",https://www.kinoafisha.info/movies/5607/
8.1,Звук свободы,"боевик, биография, драма","2023, США",https://www.kinoafisha.info/movies/8371779/
8.1,Первый мститель: Другая война,"приключения, фантастика, боевик","2014, США",https://www.kinoafisha.info/movies/8140254/
8.1,Брат 2,"боевик, криминал","2000, США / Россия",https://www.kinoafisha.info/movies/8125705/
8.1,Миссия: невыполнима. Смертельная расплата. Часть 1,"боевик, криминал, триллер","2023, США",https://www.kinoafisha.info/movies/8355846/
8.1,Люди Икс 2,"боевик, драма, фантастика","2003, США",https://www.kinoafisha.info/movies/5318/
8.1,Плохие парни до конца,"боевик, приключения, комедия","2024, США",https://www.kinoafisha.info/movies/8369376/
8.1,Пятый элемент,"приключения, триллер, боевик, фантастика, мелодрама","1997, Франция",https://www.kinoafisha.info/movies/3443661/
8.1,Индиана Джонс и последний крестовый Поход,"фантастика, боевик, приключения, триллер","1989, США",https://www.kinoafisha.info/movies/4746888/
8.1,Гран Туризмо,"боевик, приключения, драма","2023, США / Япония",https://www.kinoafisha.info/movies/8367799/
8.1,Шан-Чи и легенда десяти колец,"фэнтези, боевик, комедия","2021, США",https://www.kinoafisha.info/movies/8356369/
8.1,Апокалипсис,"боевик, приключения, драма","2006, США",https://www.kinoafisha.info/movies/1020519/
8.1,Блэйд 2,"боевик, фэнтези, триллер, приключения","2002, Германия / США",https://www.kinoafisha.info/movies/8103410/
8.0,Пипец,"боевик, драма, комедия","2009, США",https://www.kinoafisha.info/movies/7624001/
8.0,Гонка,"биография, драма, боевик, спорт","2012, США",https://www.kinoafisha.info/movies/8137329/
8.0,Дэдпул,"фэнтези, фантастика, боевик","2016, США / Канада",https://www.kinoafisha.info/movies/8133896/
8.0,Люди Икс,"триллер, боевик, приключения, фантастика","2000, США",https://www.kinoafisha.info/movies/4337537/
8.0,Заложница,"триллер, боевик","2008, Франция",https://www.kinoafisha.info/movies/4004541/
8.0,Шерлок Холмс,"драма, боевик, криминал, приключения, мистика","2009, США / Великобритания",https://www.kinoafisha.info/movies/7583200/
8.0,Безумный Макс: Дорога ярости,"приключения, боевик","2015, Австралия / США",https://www.kinoafisha.info/movies/8148179/
8.0,Назад в будущее 3,"приключения, фантастика, вестерн, комедия, боевик","1990, США",https://www.kinoafisha.info/movies/5412783/
8.0,Блэйд,"ужасы, триллер, боевик","1998, США",https://www.kinoafisha.info/movies/4088614/
8.0,Бесславные ублюдки,"драма, военный, приключения, боевик","2009, Германия / США",https://www.kinoafisha.info/movies/7605543/
8.0,Стражи Галактики. Часть 2,"боевик, фантастика","2017, США",https://www.kinoafisha.info/movies/8176258/
8.0,Казино Рояль,"приключения, боевик, триллер","2006, США / Германия / Великобритания / Чехия",https://www.kinoafisha.info/movies/887009/
8.0,Человек-паук: Вдали от дома,"фантастика, боевик","2019, США",https://www.kinoafisha.info/movies/8353994/
8.0,Дюна,"фантастика, боевик, приключения","2021, США",https://www.kinoafisha.info/movies/8355204/
8.0,Охотники за привидениями,"комедия, фантастика, боевик","1984, США",https://www.kinoafisha.info/movies/3729109/
8.0,Последний самурай,"приключения, боевик, военный, драма","2003, США",https://www.kinoafisha.info/movies/5506/
7.9,Город героев,"комедия, боевик, анимация, семейный","2014, США",https://www.kinoafisha.info/movies/8157679/
7.9,Убить Билла,"драма, комедия, криминал, триллер, боевик","2003, США",https://www.kinoafisha.info/movies/5450/
7.9,Человек-муравей,"фантастика, боевик","2015, США / Великобритания",https://www.kinoafisha.info/movies/8158512/
7.9,Как приручить дракона 2,"комедия, фэнтези, анимация, боевик, приключения","2014, США",https://www.kinoafisha.info/movies/8150290/
7.9,Ультиматум Борна,"приключения, триллер, драма, боевик","2007, США",https://www.kinoafisha.info/movies/1179945/
7.9,300 спартанцев,"приключения, драма, боевик","2007, США",https://www.kinoafisha.info/movies/924813/
7.9,Пираты Карибского моря: Сундук мертвеца,"боевик, сказка, комедия, приключения","2006, США",https://www.kinoafisha.info/movies/533610/
7.9,Планета обезьян: Новое царство,"боевик, фантастика","2024, США",https://www.kinoafisha.info/movies/8366786/
7.9,Майор Гром: Игра,"боевик, приключения","2024, Россия",https://www.kinoafisha.info/movies/8369274/
7.9,Город грехов,"криминал, триллер, драма, боевик","2005, США",https://www.kinoafisha.info/movies/213754/
7.9,Скала,"боевик, приключения","1996, США",https://www.kinoafisha.info/movies/7577402/
7.9,Не время умирать,"боевик, криминал, триллер, приключения","2021, США / Великобритания",https://www.kinoafisha.info/movies/8330803/
7.9,Константин: повелитель тьмы,"триллер, боевик, сказка, драма","2005, США / Германия",https://www.kinoafisha.info/movies/185063/
7.9,Дэдпул 2,"боевик, приключения, комедия, фантастика","2018, США",https://www.kinoafisha.info/movies/8326405/
7.9,Звездные Войны: Эпизод III - Месть ситхов,"фантастика, приключения, боевик","2005, США",https://www.kinoafisha.info/movies/221460/
7.9,Тор,"боевик, приключения, драма","2011, США",https://www.kinoafisha.info/movies/7922077/
7.9,Мстители: Эра Альтрона,"боевик, приключения, фантастика","2015, США",https://www.kinoafisha.info/movies/8142040/
7.8,Люди в черном,боевик,"1997, США",https://www.kinoafisha.info/movies/5056604/
7.8,RRR: Рядом ревёт революция,"боевик, драма","2022, Индия",https://www.kinoafisha.info/movies/8366849/
