Rating,Name,Genres,Year/Country,URL
8.8,Дюна: Часть вторая,"фантастика, боевик, приключения, драма","2024, США / Канада",https://www.kinoafisha.info/movies/8365616/
8.8,Человек-Паук: Паутина Вселенных,"боевик, приключения, анимация","2022, Канада / США",https://www.kinoafisha.info/movies/8365124/
8.8,Властелин Колец: Братство Кольца,"приключения, боевик, фэнтези","2001, Новая Зеландия / США",https://www.kinoafisha.info/movies/3337323/
8.7,Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",https://www.kinoafisha.info/movies/4620118/
8.7,Унесенные призраками,"аниме , семейный, анимация, приключения","2001, Япония",https://www.kinoafisha.info/movies/1250373/
8.7,Властелин Колец: Две крепости,"приключения, фэнтези, драма","2002, США / Новая Зеландия / Германия",https://www.kinoafisha.info/movies/5227/
8.7,Терминатор 2: судный день,"боевик, триллер, фантастика, приключения","1991, США / Франция",https://www.kinoafisha.info/movies/4089627/
8.7,Бэтмен: начало,"криминал, триллер, приключения, сказка, боевик","2005, США",https://www.kinoafisha.info/movies/281979/
8.6,Лига справедливости Зака Снайдера,"боевик, приключения, фэнтези","2021, США",https://www.kinoafisha.info/movies/8363174/
8.6,Огненный лис,"семейный, приключения, документальный","2024, Россия",https://www.kinoafisha.info/movies/8374251/
8.6,Человек-паук: Нет пути домой,"фантастика, боевик, приключения","2021, США",https://www.kinoafisha.info/movies/8356586/
8.6,Назад в будущее,"приключения, фантастика, комедия, боевик","1985, США",https://www.kinoafisha.info/movies/5412787/
8.6,Стражи Галактики. Часть 3,"фантастика, боевик, приключения","2023, США",https://www.kinoafisha.info/movies/8354129/
8.6,Гладиатор,"приключения, драма, боевик","2000, Великобритания / США",https://www.kinoafisha.info/movies/3577687/
8.5,Тайна Коко,"анимация, приключения","2017, США",https://www.kinoafisha.info/movies/8329302/
8.5,Кот в сапогах 2: Последнее желание,"анимация, комедия, приключения","2022, США",https://www.kinoafisha.info/movies/8168525/
8.5,Пираты Карибского моря: Проклятие черной жемчужины,"приключения, боевик","2003, США",https://www.kinoafisha.info/movies/5371/
8.4,Бриллиантовая рука,"комедия, приключения, криминал","1968, СССР",https://www.kinoafisha.info/movies/5425175/
8.4,Истребитель демонов: Поезд «Бесконечный»,"боевик, приключения, анимация","2020, Япония",https://www.kinoafisha.info/movies/8364450/
8.4,Индиана Джонс: В поисках утраченного ковчега,"приключения, триллер, боевик","1981, США",https://www.kinoafisha.info/movies/3488085/
8.3,Изгой,"приключения, драма","2000, США",https://www.kinoafisha.info/movies/4983627/
8.3,Титаник,"мелодрама, драма, приключения","1997, США",https://www.kinoafisha.info/movies/3577360/
8.3,Душа,"анимация, семейный, приключения, комедия","2020, США",https://www.kinoafisha.info/movies/8356310/
8.3,Стражи Галактики,"фантастика, боевик, приключения","2014, США",https://www.kinoafisha.info/movies/8153057/
8.3,Человек-паук,"боевик, фантастика, приключения, триллер","2002, США",https://www.kinoafisha.info/movies/5609/
8.3,Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма","1997, Япония",https://www.kinoafisha.info/movies/4019055/
8.3,Гарри Поттер и Дары смерти. Часть вторая,"семейный, фэнтези, драма, мистика, приключения","2011, США / Великобритания",https://www.kinoafisha.info/movies/7667825/
8.3,Железный человек,"приключения, фантастика, боевик, триллер","2008, США",https://www.kinoafisha.info/movies/1186688/
8.3,Человек-паук: Через вселенные,"анимация, приключения, фантастика","2018, США",https://www.kinoafisha.info/movies/8353992/
8.2,Аватар 2: Путь воды,"приключения, боевик, фантастика","2022, США",https://www.kinoafisha.info/movies/8103877/
8.2,Зверополис,"анимация, боевик, приключения, семейный, комедия","2016, США",https://www.kinoafisha.info/movies/8170146/
8.2,Игра,"криминал, приключения, триллер","1997, США",https://www.kinoafisha.info/movies/8099498/
8.2,Достучаться до небес,"боевик, драма, приключения, комедия","1997, Германия / Нидерланды / Бельгия",https://www.kinoafisha.info/movies/7275899/
8.2,Агент Эмерсон,"боевик, приключения","2019, США",https://www.kinoafisha.info/movies/8356717/
8.2,Хоббит: Нежданное путешествие,"фэнтези, приключения","2012, США",https://www.kinoafisha.info/movies/5567540/
8.1,Аладдин,"сказка, мюзикл, семейный, анимация, комедия, приключения","1992, США",https://www.kinoafisha.info/movies/4479302/
8.1,Человек-паук 2,"боевик, фантастика, приключения","2004, США",https://www.kinoafisha.info/movies/5607/
8.1,Гарри Поттер и узник Азкабана,"приключения, семейный, фэнтези","2004, США / Великобритания",https://www.kinoafisha.info/movies/5598/
8.1,Первый мститель: Другая война,"приключения, фантастика, боевик","2014, США",https://www.kinoafisha.info/movies/8140254/
8.1,Плохие парни до конца,"боевик, приключения, комедия","2024, США",https://www.kinoafisha.info/movies/8369376/
8.1,Пятый элемент,"приключения, триллер, боевик, фантастика, мелодрама","1997, Франция",https://www.kinoafisha.info/movies/3443661/
8.1,Индиана Джонс и последний крестовый Поход,"фантастика, боевик, приключения, триллер","1989, США",https://www.kinoafisha.info/movies/4746888/
8.1,Тайна третьей планеты,"анимация, приключения, семейный, фантастика","1981, СССР",https://www.kinoafisha.info/movies/2086732/
8.1,Гран Туризмо,"боевик, приключения, драма","2023, США / Япония",https://www.kinoafisha.info/movies/8367799/
8.1,Как приручить дракона 3,"анимация, семейный, комедия, приключения","2018, США",https://www.kinoafisha.info/movies/8168520/
8.1,"Артур, ты король","семейный, приключения","2024, США",https://www.kinoafisha.info/movies/8361021/
8.1,Гарри Поттер и кубок огня,"семейный, приключения, триллер, фэнтези, сказка","2005, США / Великобритания",https://www.kinoafisha.info/movies/419476/
8.1,Апокалипсис,"боевик, приключения, драма","2006, США",https://www.kinoafisha.info/movies/1020519/
8.1,Блэйд 2,"боевик, фэнтези, триллер, приключения","2002, Германия / США",https://www.kinoafisha.info/movies/8103410/
8.1,История игрушек: Большой побег,"драма, приключения, комедия, анимация, семейный","2010, США",https://www.kinoafisha.info/movies/8090393/
8.1,Вверх,"анимация, семейный, приключения","2009, США",https://www.kinoafisha.info/movies/7724199/
8.0,Гарри Поттер и Дары смерти. Часть первая,"семейный, фэнтези, драма, мистика, приключения","2010, США / Великобритания",https://www.kinoafisha.info/movies/7667823/
8.0,Небесный замок Лапута,"сказка, анимация, семейный, приключения, аниме","1986, Япония",https://www.kinoafisha.info/movies/3165908/
8.0,Гарри Поттер и философский камень,"приключения, семейный, сказка","2001, Великобритания / США",https://www.kinoafisha.info/movies/5387519/
8.0,Доктор Стрэндж,"фэнтези, приключения","2016, США",https://www.kinoafisha.info/movies/8168491/
8.0,Люди Икс,"триллер, боевик, приключения, фантастика","2000, США",https://www.kinoafisha.info/movies/4337537/
8.0,Хоббит: Пустошь Смауга,"драма, фэнтези, приключения","2013, США / Новая Зеландия",https://www.kinoafisha.info/movies/8144241/
8.0,Ледниковый период,"комедия, приключения, анимация, семейный","2002, США",https://www.kinoafisha.info/movies/4621953/
8.0,Шерлок Холмс,"драма, боевик, криминал, приключения, мистика","2009, США / Великобритания",https://www.kinoafisha.info/movies/7583200/
8.0,Безумный Макс: Дорога ярости,"приключения, боевик","2015, Австралия / США",https://www.kinoafisha.info/movies/8148179/
8.0,Назад в будущее 3,"приключения, фантастика, вестерн, комедия, боевик","1990, США",https://www.kinoafisha.info/movies/5412783/
8.0,Элементарно,"приключения, анимация, комедия","2023, США",https://www.kinoafisha.info/movies/8367724/
8.0,Бесславные ублюдки,"драма, военный, приключения, боевик","2009, Германия / США",https://www.kinoafisha.info/movies/7605543/
8.0,Марсианин,"фантастика, приключения","2015, США",https://www.kinoafisha.info/movies/8167674/
8.0,Казино Рояль,"приключения, боевик, триллер","2006, США / Германия / Великобритания / Чехия",https://www.kinoafisha.info/movies/887009/
8.0,Дюна,"фантастика, боевик, приключения","2021, США",https://www.kinoafisha.info/movies/8355204/
8.0,Холодное сердце,"приключения, анимация, семейный","2013, США",https://www.kinoafisha.info/movies/8141185/
8.0,Крупная рыба,"приключения, сказка, комедия, драма","2003, США",https://www.kinoafisha.info/movies/5515/
8.0,Последний самурай,"приключения, боевик, военный, драма","2003, США",https://www.kinoafisha.info/movies/5506/
8.0,Старикам тут не место,"драма, триллер, приключения","2007, США",https://www.kinoafisha.info/movies/3312825/
7.9,В поисках Немо,"семейный, комедия, анимация, приключения","2003, США",https://www.kinoafisha.info/movies/5457/
7.9,Выживший,"приключения, драма","2015, США",https://www.kinoafisha.info/movies/8166610/
7.9,Как приручить дракона 2,"комедия, фэнтези, анимация, боевик, приключения","2014, США",https://www.kinoafisha.info/movies/8150290/
7.9,Ультиматум Борна,"приключения, триллер, драма, боевик","2007, США",https://www.kinoafisha.info/movies/1179945/
7.9,Кровавый алмаз,"триллер, драма, приключения","2006, США",https://www.kinoafisha.info/movies/1091377/
7.9,300 спартанцев,"приключения, драма, боевик","2007, США",https://www.kinoafisha.info/movies/924813/
7.9,Пираты Карибского моря: Сундук мертвеца,"боевик, сказка, комедия, приключения","2006, США",https://www.kinoafisha.info/movies/533610/
7.9,Навсикая из долины Ветров,"фантастика, аниме , приключения, драма, анимация","1984, Япония",https://www.kinoafisha.info/movies/1814170/
7.9,Гарри Поттер и Тайная Комната,"мистика, приключения, сказка, семейный","2002, США / Великобритания / Германия",https://www.kinoafisha.info/movies/5237/
7.9,Майор Гром: Игра,"боевик, приключения","2024, Россия",https://www.kinoafisha.info/movies/8369274/
7.9,Шрэк 2,"сказка, комедия, анимация, приключения, семейный","2004, США",https://www.kinoafisha.info/movies/5639/
7.9,Лука,"анимация, приключения, фэнтези","2021, США",https://www.kinoafisha.info/movies/8361061/
7.9,Скала,"боевик, приключения","1996, США",https://www.kinoafisha.info/movies/7577402/
7.9,Не время умирать,"боевик, криминал, триллер, приключения","2021, США / Великобритания",https://www.kinoafisha.info/movies/8330803/
7.9,Троя,"исторический, приключения","2004, США / Мальта / Великобритания",https://www.kinoafisha.info/movies/5591/
7.9,Дэдпул 2,"боевик, приключения, комедия, фантастика","2018, США",https://www.kinoafisha.info/movies/8326405/
7.9,Звездные Войны: Эпизод III - Месть ситхов,"фантастика, приключения, боевик","2005, США",https://www.kinoafisha.info/movies/221460/
7.9,Тор,"боевик, приключения, драма","2011, США",https://www.kinoafisha.info/movies/7922077/
7.9,Мстители: Эра Альтрона,"боевик, приключения, фантастика","2015, США",https://www.kinoafisha.info/movies/8142040/
7.8,Железный человек 3,"фантастика, боевик, приключения","2013, США",https://www.kinoafisha.info/movies/8133573/
7.8,Гарри Поттер и Орден Феникса,"сказка, семейный, драма, приключения","2007, Великобритания / США",https://www.kinoafisha.info/movies/1091223/
7.8,Приключения Паддингтона 2,"фэнтези, семейный, приключения","2017, Великобритания / Франция",https://www.kinoafisha.info/movies/8328269/
7.8,Ведьмина служба доставки,"приключения, комедия, сказка, семейный, анимация, аниме","1989, Япония",https://www.kinoafisha.info/movies/4018598/
