Rating,Name,Genres,Year/Country,URL
8.8,Человек-Паук: Паутина Вселенных,"боевик, приключения, анимация","2022, Канада / США",https://www.kinoafisha.info/movies/8365124/
8.7,Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",https://www.kinoafisha.info/movies/4620118/
8.7,Унесенные призраками,"аниме , семейный, анимация, приключения","2001, Япония",https://www.kinoafisha.info/movies/1250373/
8.6,"Ну, погоди!","короткометражный, анимация","1969, СССР",https://www.kinoafisha.info/movies/7943086/
8.6,Головоломка 2,анимация,"2024, США",https://www.kinoafisha.info/movies/8367726/
8.5,Тайна Коко,"анимация, приключения","2017, США",https://www.kinoafisha.info/movies/8329302/
8.5,ВОЛЕЙБОЛ!! Битва на мусорной свалке,"анимация, комедия, драма","2024, Япония",https://www.kinoafisha.info/movies/8375798/
8.5,Кот в сапогах 2: Последнее желание,"анимация, комедия, приключения","2022, США",https://www.kinoafisha.info/movies/8168525/
8.5,Твое имя,"анимация, фэнтези, мелодрама, аниме","2016, Япония",https://www.kinoafisha.info/movies/8329875/
8.5,ВАЛЛ-И,"семейный, фэнтези, анимация","2008, США",https://www.kinoafisha.info/movies/3338978/
8.4,Истребитель демонов: Поезд «Бесконечный»,"боевик, приключения, анимация","2020, Япония",https://www.kinoafisha.info/movies/8364450/
8.4,Spy x Family: Код «Белый»,"боевик, анимация, комедия","2023, Япония",https://www.kinoafisha.info/movies/8370673/
8.3,Душа,"анимация, семейный, приключения, комедия","2020, США",https://www.kinoafisha.info/movies/8356310/
8.3,Как приручить дракона,"анимация, семейный, сказка","2010, США",https://www.kinoafisha.info/movies/5636910/
8.3,Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма","1997, Япония",https://www.kinoafisha.info/movies/4019055/
8.3,Человек-паук: Через вселенные,"анимация, приключения, фантастика","2018, США",https://www.kinoafisha.info/movies/8353992/
8.3,Корпорация Монстров,"семейный, сказка, комедия, анимация","2001, США",https://www.kinoafisha.info/movies/75889/
8.2,Вайолет Эвергарден. Фильм,"анимация, драма, фэнтези","2020, Япония",https://www.kinoafisha.info/movies/8363166/
8.2,Шрэк,"анимация, семейный, комедия","2001, США",https://www.kinoafisha.info/movies/5625/
8.2,Зверополис,"анимация, боевик, приключения, семейный, комедия","2016, США",https://www.kinoafisha.info/movies/8170146/
8.2,Красавица и чудовище,"сказка, мелодрама, мюзикл, семейный, анимация","1991, США",https://www.kinoafisha.info/movies/5388337/
8.2,Рататуй,"комедия, семейный, анимация","2007, США",https://www.kinoafisha.info/movies/1102801/
8.2,Мальчик и птица,"анимация, аниме","2023, Япония",https://www.kinoafisha.info/movies/8353726/
8.1,Аладдин,"сказка, мюзикл, семейный, анимация, комедия, приключения","1992, США",https://www.kinoafisha.info/movies/4479302/
8.1,Рапунцель: Запутанная История,"семейный, мюзикл, анимация, комедия","2010, США",https://www.kinoafisha.info/movies/8106336/
8.1,Тайна третьей планеты,"анимация, приключения, семейный, фантастика","1981, СССР",https://www.kinoafisha.info/movies/2086732/
8.1,Как приручить дракона 3,"анимация, семейный, комедия, приключения","2018, США",https://www.kinoafisha.info/movies/8168520/
