Rating,Name,Genres,Year/Country,URL
8.7,Унесенные призраками,"аниме , семейный, анимация, приключения","2001, Япония",https://www.kinoafisha.info/movies/1250373/
8.5,Ходячий замок,"аниме , сказка, фантастика, мелодрама","2004, Япония",https://www.kinoafisha.info/movies/329966/
8.5,Твое имя,"анимация, фэнтези, мелодрама, аниме","2016, Япония",https://www.kinoafisha.info/movies/8329875/
8.3,Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма","1997, Япония",https://www.kinoafisha.info/movies/4019055/
8.2,"Судзумэ, закрывающая двери","аниме , драма","2022, Япония",https://www.kinoafisha.info/movies/8366024/
8.2,Мальчик и птица,"анимация, аниме","2023, Япония",https://www.kinoafisha.info/movies/8353726/
8.0,Небесный замок Лапута,"сказка, анимация, семейный, приключения, аниме","1986, Япония",https://www.kinoafisha.info/movies/3165908/
8.0,Мой сосед Тоторо,"аниме , сказка, семейный, анимация","1988, Япония",https://www.kinoafisha.info/movies/3994142/
7.9,Навсикая из долины Ветров,"фантастика, аниме , приключения, драма, анимация","1984, Япония",https://www.kinoafisha.info/movies/1814170/
7.9,Воспоминания о Марни,"аниме , драма, фэнтези","2014, Япония",https://www.kinoafisha.info/movies/8320507/
7.9,Дитя погоды,"аниме , мелодрама, анимация, фэнтези","2019, Япония",https://www.kinoafisha.info/movies/8356367/
7.8,Ведьмина служба доставки,"приключения, комедия, сказка, семейный, анимация, аниме","1989, Япония",https://www.kinoafisha.info/movies/4018598/
7.8,Укрась прощальное утро цветами обещания,"анимация, драма, приключения, аниме","2018, Япония",https://www.kinoafisha.info/movies/8353932/
7.7,Проза бродячих псов. Фильм,"анимация, аниме","2018, Япония",https://www.kinoafisha.info/movies/8354991/
7.7,Пять сантиметров в секунду,"драма, анимация, мелодрама, аниме","2007, Япония",https://www.kinoafisha.info/movies/8107096/
7.7,Рыбка Поньо на утесе,"анимация, семейный, приключения, аниме","2008, Япония",https://www.kinoafisha.info/movies/3441952/
7.7,Ветер крепчает,"драма, анимация, аниме","2013, Япония",https://www.kinoafisha.info/movies/8162426/
7.6,Вайолет Эвергарден. Вечность и призрак пера,"анимация, аниме","2019, Япония",https://www.kinoafisha.info/movies/8356532/
7.4,Наруто: Последний фильм,"анимация, фэнтези, боевик, аниме","2014, Япония",https://www.kinoafisha.info/movies/8175640/
7.4,Мирай из будущего,"анимация, фэнтези, аниме","2018, Япония",https://www.kinoafisha.info/movies/8353551/
7.4,Код Гиас: Лелуш воскресший,"аниме , анимация, боевик, фэнтези","2019, Япония",https://www.kinoafisha.info/movies/8356171/
7.2,Мэри и ведьмин цветок,"анимация, приключения, аниме","2017, Япония",https://www.kinoafisha.info/movies/8353826/
7.1,Промар,аниме,"2019, Япония",https://www.kinoafisha.info/movies/8356241/
7.1,Дети моря,"анимация, аниме","2019, Япония",https://www.kinoafisha.info/movies/8356408/
