Rating,Name,Genres,Year/Country,URL
8.7,1+1,"комедия, драма, биография","2011, Франция",https://www.kinoafisha.info/movies/8133315/
8.6,Оппенгеймер,"биография, драма, исторический","2023, США",https://www.kinoafisha.info/movies/8365507/
8.6,Suga: Road to D-Day,"биография, документальный, музыка","2023, Южная Корея",https://www.kinoafisha.info/movies/8371078/
8.6,Список Шиндлера,"исторический, военный, драма, биография","1993, США",https://www.kinoafisha.info/movies/3725038/
8.5,Храброе сердце,"военный, биография, боевик, драма","1995, США",https://www.kinoafisha.info/movies/5413263/
8.5,Паралимпиец,"биография, спорт, драма","2022, Казахстан",https://www.kinoafisha.info/movies/8367383/
8.5,FORD против FERRARI,"биография, драма, спорт","2019, США",https://www.kinoafisha.info/movies/8354457/
8.4,Игры разума,"мистика, драма, биография","2001, США",https://www.kinoafisha.info/movies/4108153/
8.3,По соображениям совести,"военный, драма, биография","2016, США",https://www.kinoafisha.info/movies/8325361/
8.2,Одна жизнь,"биография, драма, исторический","2023, Великобритания",https://www.kinoafisha.info/movies/8372178/
8.2,Богемская рапсодия,"драма, биография, мюзикл","2018, США / Великобритания",https://www.kinoafisha.info/movies/8329800/
8.0,Белая птица. Новое чудо,"биография, драма, военный","2023, США",https://www.kinoafisha.info/movies/8366698/
8.0,Звук свободы,"боевик, биография, драма","2023, США",https://www.kinoafisha.info/movies/8371779/
8.0,Гонка,"биография, драма, боевик, спорт","2012, США",https://www.kinoafisha.info/movies/8137329/
7.8,Легенда №17,"биография, спорт","2012, Россия",https://www.kinoafisha.info/movies/8141660/
7.8,Иван Грозный,биография,"1944, СССР",https://www.kinoafisha.info/movies/3997318/
7.8,Месье Азнавур,"биография, драма, музыка","2024, Франция",https://www.kinoafisha.info/movies/8376242/
7.8,Величайший шоумен,"мюзикл, биография, драма","2018, США",https://www.kinoafisha.info/movies/8175961/
7.8,"Ван Гог. С любовью, Винсент","анимация, драма, криминал, биография","2017, Великобритания / Польша",https://www.kinoafisha.info/movies/8330014/
7.7,12 лет рабства,"драма, исторический, биография","2013, США / Великобритания",https://www.kinoafisha.info/movies/8127608/
7.7,Игра в имитацию,"триллер, биография, драма","2014, США",https://www.kinoafisha.info/movies/8162244/
7.7,Город мальчиков,"биография, драма, семейный","1938, США",https://www.kinoafisha.info/movies/8370412/
7.7,На гребне волны,"драма, приключения, биография, триллер, криминал","1991, США",https://www.kinoafisha.info/movies/5664927/
7.7,Детство Горького,"драма, биография","1938, СССР",https://www.kinoafisha.info/movies/8087302/
7.7,Игры разумов,"драма, детектив, биография","2018, Ирландия",https://www.kinoafisha.info/movies/8329936/
7.7,Скафандр и бабочка,"биография, драма","2007, Франция / США",https://www.kinoafisha.info/movies/3680920/
7.6,Мотылек,"драма, криминал, биография","2017, Сербия / Черногория / Мальта / США",https://www.kinoafisha.info/movies/8353914/
7.6,Жизнь в розовом цвете,"биография, драма, мюзикл","2007, Франция / Великобритания / Чехия",https://www.kinoafisha.info/movies/1303447/
7.6,Волшебная страна,"биография, семейный, драма","2004, Великобритания / США",https://www.kinoafisha.info/movies/139898/
7.6,Александр Невский,"биография, исторический, военный","1938, СССР",https://www.kinoafisha.info/movies/1300942/
7.6,Кошачьи миры Луиса Уэйна,"биография, драма, исторический","2021, Великобритания",https://www.kinoafisha.info/movies/8363252/
7.6,Меч короля,"биография, драма, исторический","2023, Дания / Норвегия / Швеция",https://www.kinoafisha.info/movies/8371504/
7.6,Чудо на Гудзоне,"драма, биография","2016, США",https://www.kinoafisha.info/movies/8320983/
7.6,Адмирал Ушаков,"драма, биография","1953, СССР",https://www.kinoafisha.info/movies/6407722/
7.6,Жанна Дюбарри,"биография, драма, исторический","2023, Франция",https://www.kinoafisha.info/movies/8368088/
7.6,Повесть о Луи Пастере,"драма, биография","1935, США",https://www.kinoafisha.info/movies/7666719/
7.6,Вселенная Стивена Хокинга,"биография, драма","2014, Великобритания",https://www.kinoafisha.info/movies/8165599/
7.5,Кто убил BlackBerry?,"биография, комедия, драма","2023, Канада",https://www.kinoafisha.info/movies/8370023/
7.5,Контроль,"мюзикл, драма, биография","2007, США / Великобритания / Австралия / Япония",https://www.kinoafisha.info/movies/4011637/
7.5,Великая,"биография, драма","2024, США",https://www.kinoafisha.info/movies/8365587/
7.5,Фаворитка,"биография, исторический","2018, Ирландия / Великобритания / США",https://www.kinoafisha.info/movies/8355009/
7.5,Отец Сергий,"биография, драма, исторический","1918, СССР",https://www.kinoafisha.info/movies/8362542/
7.5,Джейн Остин,"биография, драма, мелодрама","2007, США / Великобритания / Ирландия",https://www.kinoafisha.info/movies/2070027/
7.5,Петр Первый,"биография, военный, драма","1937, СССР",https://www.kinoafisha.info/movies/1483635/
7.4,Большая игра,"драма, биография","2017, США",https://www.kinoafisha.info/movies/8328273/
7.4,Король Ричард,"драма, биография, спорт","2021, США",https://www.kinoafisha.info/movies/8356299/
7.4,Быть лучше: История Робби Уильямса,"биография, музыка","2024, США / Австралия",https://www.kinoafisha.info/movies/8365902/
7.4,Командир,"биография, драма, боевик","2024, Россия",https://www.kinoafisha.info/movies/8371100/
