Rating,Name,Genres,Year/Country,URL
8.1,Ежик в тумане,детский,"1975, СССР",https://www.kinoafisha.info/movies/7687159/
7.8,Суперсемейка 2,"анимация, детский","2018, США",https://www.kinoafisha.info/movies/8323488/
7.7,История игрушек 4,"комедия, фэнтези, детский, семейный","2019, США",https://www.kinoafisha.info/movies/8178514/
7.7,Чудак из 5 «Б»,"комедия, детский","1972, СССР",https://www.kinoafisha.info/movies/8327212/
7.7,Холодное сердце 2,"анимация, семейный, детский","2019, США",https://www.kinoafisha.info/movies/8329619/
7.3,Тачки 3,"детский, анимация, приключения","2017, США",https://www.kinoafisha.info/movies/8320109/
7.3,Полет навигатора,"детский, приключения, фантастика","1986, США",https://www.kinoafisha.info/movies/921277/
7.2,Кролик Питер,"анимация, семейный, детский","2018, США",https://www.kinoafisha.info/movies/8330397/
7.1,Angry Birds 2 в кино,"анимация, детский","2019, США",https://www.kinoafisha.info/movies/8329714/
7.0,Жил был кот,"анимация, детский, комедия","2016, Япония",https://www.kinoafisha.info/movies/8329571/
6.8,Смешарики. Начало,"анимация, детский","2011, Россия",https://www.kinoafisha.info/movies/8105871/
6.8,My Little Pony в кино,"анимация, детский","2017, США / Канада",https://www.kinoafisha.info/movies/8329157/
6.7,Фиксики против кработов,"анимация, детский","2019, Россия",https://www.kinoafisha.info/movies/8330445/
6.6,Тролли. Мировой тур,"анимация, детский","2020, США",https://www.kinoafisha.info/movies/8329930/
6.6,Иван Царевич и Серый Волк 3,"анимация, детский, семейный","2015, Россия",https://www.kinoafisha.info/movies/8174833/
6.6,Мия и Я: Легенда Сентопии,детский,"2022, Германия / Австрия",https://www.kinoafisha.info/movies/8365483/
6.5,Маша и Медведь в кино: скажите «Ой!»,"детский, анимация","2023, Россия",https://www.kinoafisha.info/movies/8370609/
6.5,Смешарики. Дежавю,"анимация, приключения, детский","2017, Россия",https://www.kinoafisha.info/movies/8325268/
6.4,Снежная королева: Зазеркалье,"анимация, детский, семейный, приключения, фэнтези","2019, Россия",https://www.kinoafisha.info/movies/8330446/
6.4,Звездные собаки: Белка и Стрелка,"детский, анимация, семейный","2010, Россия",https://www.kinoafisha.info/movies/5631573/
6.4,Снежная королева 3: огонь и лед,"анимация, детский","2016, Россия",https://www.kinoafisha.info/movies/8325269/
6.4,Щелкунчик и волшебная флейта,детский,"2022, Россия",https://www.kinoafisha.info/movies/8364429/
6.3,Иван Царевич и Серый Волк 4,"анимация, детский","2019, Россия",https://www.kinoafisha.info/movies/8355795/
6.3,Фиксики. Большой секрет,"анимация, детский, семейный, приключения","2017, Россия",https://www.kinoafisha.info/movies/8325276/
6.3,Пингвиненок Джаспер: Путешествие на край света,"анимация, детский","2008, Германия",https://www.kinoafisha.info/movies/8110550/
6.3,Сезон охоты 3,"детский, анимация","2010, США",https://www.kinoafisha.info/movies/8090435/
6.2,Календарь ма(й)я,"детский, приключения","2022, Россия",https://www.kinoafisha.info/movies/8367298/
6.2,Мы — монстры,"анимация, детский","2017, Германия",https://www.kinoafisha.info/movies/8329567/
6.1,Сказ о Петре и Февронии,"анимация, детский, приключения","2017, Россия",https://www.kinoafisha.info/movies/8325263/
6.0,Три богатыря и принцесса Египта,"анимация, приключения, детский","2017, Россия",https://www.kinoafisha.info/movies/8329425/
6.0,Три богатыря и Конь на троне,"анимация, детский, приключения, семейный","2021, Россия",https://www.kinoafisha.info/movies/8364459/
5.5,Два хвоста,"анимация, детский","2018, Россия",https://www.kinoafisha.info/movies/8329922/
4.2,Царевны и Таинственная гостья,"анимация, детский","2023, Россия",https://www.kinoafisha.info/movies/8369199/
