Rating,Name,Genres,Year/Country,URL
8.6,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,"приключения, криминал, мистика","1981, СССР",https://www.kinoafisha.info/movies/8363439/
8.6,Бэтмен: начало,"криминал, триллер, приключения, сказка, боевик","2005, США",https://www.kinoafisha.info/movies/281979/
8.6,Леон,"драма, триллер, криминал","1994, Франция",https://www.kinoafisha.info/movies/3443444/
8.6,Молчание ягнят,"триллер, криминал","1991, США",https://www.kinoafisha.info/movies/3906804/
8.5,Место встречи изменить нельзя,"криминал, детектив, боевик","1979, СССР",https://www.kinoafisha.info/movies/7731595/
8.5,Джентльмены удачи,"криминал, комедия","1971, СССР",https://www.kinoafisha.info/movies/5435753/
8.5,М убийца,"нуар, криминал, драма, триллер","1931, Германия",https://www.kinoafisha.info/movies/8146960/
8.5,Бриллиантовая рука,"комедия, приключения, криминал","1968, СССР",https://www.kinoafisha.info/movies/5425175/
8.4,Семь,"мистика, криминал, триллер","1995, США",https://www.kinoafisha.info/movies/3977952/
8.4,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,"криминал, драма, мистика","1980, СССР",https://www.kinoafisha.info/movies/8363334/
8.3,Отступники,"криминал, драма, триллер","2006, США",https://www.kinoafisha.info/movies/923488/
8.3,Крепкий орешек,"триллер, криминал, боевик","1988, США",https://www.kinoafisha.info/movies/5038744/
8.3,Тонкий человек,"комедия, криминал, мистика","1934, США",https://www.kinoafisha.info/movies/8362658/
8.3,Лицо со шрамом,"драма, криминал","1983, США",https://www.kinoafisha.info/movies/4158991/
8.3,Джокер,"криминал, драма","2019, США",https://www.kinoafisha.info/movies/8354928/
8.3,Джентльмены,"боевик, криминал","2020, США",https://www.kinoafisha.info/movies/8356474/
8.2,Ребекка,"мелодрама, криминал, триллер, драма","1940, США",https://www.kinoafisha.info/movies/7727516/
8.2,Игра,"криминал, приключения, триллер","1997, США",https://www.kinoafisha.info/movies/8099498/
8.2,Переводчик,"боевик, триллер, криминал","2023, Великобритания / Испания",https://www.kinoafisha.info/movies/8365644/
8.2,Схватка,"драма, криминал","1995, США",https://www.kinoafisha.info/movies/3949589/
8.2,Джон Уик 4,"боевик, триллер, криминал","2023, США",https://www.kinoafisha.info/movies/8356793/
8.2,Реквием по мечте,"драма, криминал","2000, США",https://www.kinoafisha.info/movies/330148/
8.2,Завещание доктора Мабузе,"мистика, криминал, ужасы","1933, Германия",https://www.kinoafisha.info/movies/7836996/
8.2,Бэтмен,"фантастика, боевик, криминал","2022, США",https://www.kinoafisha.info/movies/8355224/
8.2,Риф Ларго,"криминал, триллер, нуар, драма","1948, США",https://www.kinoafisha.info/movies/8147658/
8.2,Достать ножи,"детектив, драма, криминал, комедия","2019, США",https://www.kinoafisha.info/movies/8355336/
8.1,Брат 2,"боевик, криминал","2000, США / Россия",https://www.kinoafisha.info/movies/8125705/
8.1,Миссия: невыполнима 7. Смертельная расплата,"боевик, криминал, триллер","2023, США",https://www.kinoafisha.info/movies/8355846/
8.1,Американская история Х,"криминал, драма","1998, США",https://www.kinoafisha.info/movies/7884372/
8.0,Тень сомнения,"мистика, триллер, криминал","1942, США",https://www.kinoafisha.info/movies/8326933/
8.0,Волк с Уолл-стрит,"драма, криминал","2013, США",https://www.kinoafisha.info/movies/8137670/
8.0,Невидимый гость,"криминал, триллер, детектив","2017, Испания",https://www.kinoafisha.info/movies/8354569/
8.0,"Три билборда на границе Эббинга, Миссури","драма, триллер, криминал","2017, США / Великобритания",https://www.kinoafisha.info/movies/8330387/
8.0,Шерлок Холмс,"драма, боевик, криминал, приключения, мистика","2009, США / Великобритания",https://www.kinoafisha.info/movies/7583200/
8.0,Пленницы,"триллер, драма, криминал","2013, США",https://www.kinoafisha.info/movies/8149002/
8.0,По закону,"драма, криминал","1926, СССР",https://www.kinoafisha.info/movies/8353690/
8.0,Убить Билла,"драма, комедия, криминал, триллер, боевик","2003, США",https://www.kinoafisha.info/movies/5450/
8.0,Один дома,"криминал, комедия, семейный","1990, США",https://www.kinoafisha.info/movies/5412785/
8.0,Девушка с татуировкой дракона,"криминал, триллер","2011, США",https://www.kinoafisha.info/movies/8095404/
7.9,Помни,"криминал, мистика, триллер","2000, США",https://www.kinoafisha.info/movies/1209824/
7.9,Восход солнца,"мелодрама, криминал, драма","1927, США",https://www.kinoafisha.info/movies/7755825/
7.9,Убийцы цветочной луны,"триллер, драма, криминал, детектив, вестерн, исторический","2023, США",https://www.kinoafisha.info/movies/8355012/
7.9,Набережная туманов,"драма, криминал","1938, Франция",https://www.kinoafisha.info/movies/4292995/
7.9,Ангелы с грязными лицами,"триллер, драма, криминал, нуар","1938, США",https://www.kinoafisha.info/movies/8329202/
7.9,Маска,"фэнтези, криминал, комедия","1994, США",https://www.kinoafisha.info/movies/3659042/
