Rating,Name,Genres,Year/Country,URL
8.5,Место встречи изменить нельзя,"криминал, детектив, боевик","1979, СССР",https://www.kinoafisha.info/movies/7731595/
8.3,12 стульев,"комедия, детектив","1976, СССР",https://www.kinoafisha.info/movies/8328344/
8.2,Достать ножи,"детектив, драма, криминал, комедия","2019, США",https://www.kinoafisha.info/movies/8355336/
8.0,Невидимый гость,"криминал, триллер, детектив","2017, Испания",https://www.kinoafisha.info/movies/8354569/
7.9,Убийцы цветочной луны,"триллер, драма, криминал, детектив, вестерн, исторический","2023, США",https://www.kinoafisha.info/movies/8355012/
7.8,Марс Экспресс,"боевик, анимация, детектив","2023, Франция",https://www.kinoafisha.info/movies/8373374/
7.7,Игры разумов,"драма, детектив, биография","2018, Ирландия",https://www.kinoafisha.info/movies/8329936/
7.7,Проклятие. Зов могилы,"ужасы, детектив, триллер","2024, Южная Корея",https://www.kinoafisha.info/movies/8375401/
7.6,Прочь,"ужасы, детектив","2017, США",https://www.kinoafisha.info/movies/8328182/
7.6,Достать ножи 2: Стеклянная луковица,"детектив, криминал","2022, США",https://www.kinoafisha.info/movies/8356946/
7.5,Патруль,"детектив, драма, триллер, криминал","2012, США",https://www.kinoafisha.info/movies/8124764/
7.4,Джек Ричер,"триллер, детектив","2012, США",https://www.kinoafisha.info/movies/8123676/
7.3,Черный ящик,"триллер, детектив, боевик","2021, Франция",https://www.kinoafisha.info/movies/8364564/
7.3,Простая просьба,"триллер, криминал, детектив","2018, США",https://www.kinoafisha.info/movies/8354314/
7.2,Оно,"детектив, ужасы","2014, США",https://www.kinoafisha.info/movies/8174608/
7.2,Аллея кошмаров,"триллер, драма, детектив","2021, США",https://www.kinoafisha.info/movies/8356915/
7.2,Ночные игры,"комедия, детектив","2018, США",https://www.kinoafisha.info/movies/8329320/
7.2,Майор Гром: Чумной Доктор. Расширенная версия,"боевик, криминал, детектив, комедия","2021, Россия",https://www.kinoafisha.info/movies/8366192/
7.2,Смерть на Ниле,"детектив, криминал, драма","2022, США / Великобритания",https://www.kinoafisha.info/movies/8354277/
7.2,Такси,"триллер, детектив","2024, Кыргызстан",https://www.kinoafisha.info/movies/8373857/
7.2,Контрибуция,"исторический, детектив","2016, Россия",https://www.kinoafisha.info/movies/8319899/
7.2,Исчезнувшая в звездах,"криминал, драма, детектив","2022, Китай",https://www.kinoafisha.info/movies/8372134/
7.2,Я иду искать,"ужасы, триллер, детектив","2019, США",https://www.kinoafisha.info/movies/8356295/
7.1,Призраки в Венеции,"детектив, криминал, драма","2023, США",https://www.kinoafisha.info/movies/8367931/
7.1,Мое преступление,"драма, детектив","2023, Франция",https://www.kinoafisha.info/movies/8368456/
7.1,Бегущий в лабиринте,"триллер, детектив, фантастика","2014, США",https://www.kinoafisha.info/movies/8151351/
7.1,Звонок мертвецу,"ужасы, боевик, триллер, детектив","2018, Германия",https://www.kinoafisha.info/movies/8355392/
7.1,Наркокурьер,"детектив, криминал, драма","2019, США",https://www.kinoafisha.info/movies/8355282/
7.1,Счастливого дня смерти,"ужасы, триллер, детектив","2017, США",https://www.kinoafisha.info/movies/8329969/
7.0,Покемон. Детектив Пикачу,"детектив, комедия","2019, США",https://www.kinoafisha.info/movies/8353987/
7.0,Детектор,"триллер, детектив","2023, Россия",https://www.kinoafisha.info/movies/8366213/
7.0,Убийство в Восточном экспрессе,"детектив, триллер","2017, США",https://www.kinoafisha.info/movies/8322124/
7.0,Небо над Берлином 2,"детектив, мелодрама, драма","1993, Германия",https://www.kinoafisha.info/movies/8324902/
6.9,Девушка в поезде,"детектив, триллер","2016, США",https://www.kinoafisha.info/movies/8323018/
6.9,Матрица времени,"драма, детектив","2016, США",https://www.kinoafisha.info/movies/8328760/
6.9,"Прежде, чем я усну","триллер, детектив","2014, Великобритания",https://www.kinoafisha.info/movies/8165286/
6.7,Гипнотик,"боевик, детектив, триллер","2023, Великобритания / США",https://www.kinoafisha.info/movies/8370260/
6.7,Тебя никогда здесь не было,"триллер, драма, детектив","2017, США / Франция",https://www.kinoafisha.info/movies/8329771/
6.6,Лекарство от здоровья,"драма, ужасы, детектив, триллер","2016, США",https://www.kinoafisha.info/movies/8178088/
