Rating,Name,Genres,Year/Country,URL
8.8,SUGA | Agust D TOUR ‘D-DAY’ THE MOVIE,"музыка, документальный","2024, Южная Корея",https://www.kinoafisha.info/movies/8375207/
8.7,Irklais per Atlanta,документальный,"2024, Латвия / Литва / Испания / США",https://www.kinoafisha.info/movies/8373947/
8.6,Suga: Road to D-Day,"биография, документальный, музыка","2023, Южная Корея",https://www.kinoafisha.info/movies/8371078/
8.6,Мой мир SHINee,"документальный, музыка","2023, Южная Корея",https://www.kinoafisha.info/movies/8373986/
8.5,Огненный лис,"семейный, приключения, документальный","2024, Россия",https://www.kinoafisha.info/movies/8374251/
8.4,Человек с киноаппаратом,документальный,"1929, СССР",https://www.kinoafisha.info/movies/4871391/
8.4,BTS: Love Yourself Tour in Seoul,"документальный, мюзикл","2018, Южная Корея",https://www.kinoafisha.info/movies/8355477/
8.3,В самом сердце Национального,"документальный, спорт","2024, Германия",https://www.kinoafisha.info/movies/8376827/
8.1,Свалкармония,"семейный, документальный, драма","2015, США / Парагвай / Норвегия / Бразилия",https://www.kinoafisha.info/movies/8323450/
8.1,"Где ты, Адам?",документальный,"2019, Россия",https://www.kinoafisha.info/movies/8360968/
8.0,BTS: Bring The Soul. The movie,"документальный, мюзикл","2019, Южная Корея",https://www.kinoafisha.info/movies/8356322/
8.0,Шестое чувство,"документальный, мистика, триллер","1999, США",https://www.kinoafisha.info/movies/3487945/
8.0,Страсти Жанны Д'Арк,"документальный, исторический","1928, Франция",https://www.kinoafisha.info/movies/3401635/
7.9,Летняя поездка к морю,документальный,"1978, СССР",https://www.kinoafisha.info/movies/7578027/
7.8,Океаны,"драма, документальный","2009, Франция / Швейцария / Испания / Монако",https://www.kinoafisha.info/movies/7597806/
7.7,Майкл Джексон: Вот и все,"документальный, мюзикл","2009, США",https://www.kinoafisha.info/movies/7784959/
7.7,Lil Peep: Всё для всех,документальный,"2019, США",https://www.kinoafisha.info/movies/8356213/
7.6,Снимки нашей планеты и письмена войны,"документальный, военный","1988, ФРГ",https://www.kinoafisha.info/movies/8327622/
7.6,Город Кошек,документальный,"2016, США / Турция",https://www.kinoafisha.info/movies/8329143/
7.4,Самсара,документальный,"2011, США",https://www.kinoafisha.info/movies/8148764/
7.4,Все о Мэрилин,документальный,"2012, США",https://www.kinoafisha.info/movies/8137281/
7.4,Чудаки 3D,"документальный, комедия","2010, США",https://www.kinoafisha.info/movies/8095571/
7.4,Большое путешествие вглубь океанов 3D: Возвращение,документальный,"2009, Германия / Великобритания / Австрия",https://www.kinoafisha.info/movies/7945897/
7.3,В Арктику,документальный,"2023, Россия",https://www.kinoafisha.info/movies/8374110/
7.3,Женское такси,документальный,"2009, Германия",https://www.kinoafisha.info/movies/8107571/
7.2,История гражданской войны,документальный,"1921, СССР",https://www.kinoafisha.info/movies/8367890/
7.1,Перезагрузка,документальный,"2015, Франция",https://www.kinoafisha.info/movies/8328202/
6.9,Аль Джанат – исходный рай,документальный,"2024, Буркина-Фасо",https://www.kinoafisha.info/movies/8378720/
6.9,Большое путешествие вглубь океанов 3D,документальный,"2009, Великобритания",https://www.kinoafisha.info/movies/7666013/
6.9,Падение династии Романовых,документальный,"1927, СССР",https://www.kinoafisha.info/movies/8328689/
6.8,Хой с тобой,документальный,"2021, Россия",https://www.kinoafisha.info/movies/8369632/
6.7,Петр I: Последний царь и первый император,"исторический, документальный","2022, Россия",https://www.kinoafisha.info/movies/8367837/
6.7,Путешествие времени,"документальный, фантастика","2016, США / Франция / Германия",https://www.kinoafisha.info/movies/8174685/
6.7,Тайны подводного мира 3D,"документальный, короткометражный","2006, Канада / США",https://www.kinoafisha.info/movies/822450/
6.6,Kelly's Way - Diary of a Champion,документальный,"2024, Франция / Эстония",https://www.kinoafisha.info/movies/8378841/
6.5,Императрицы,"драма, исторический, документальный","2023, Россия",https://www.kinoafisha.info/movies/8370564/
6.4,Несносный дед,"комедия, документальный","2013, США",https://www.kinoafisha.info/movies/8157270/
6.1,Команда: устранить гендерный разрыв,документальный,"2015, США",https://www.kinoafisha.info/movies/8326729/
5.8,По-гарлемски адско,документальный,"2024, США",https://www.kinoafisha.info/movies/8375476/
