Rating,Name,Genres,Year/Country,URL
8.7,Бэтмен: начало,"криминал, триллер, приключения, сказка, боевик","2005, США",https://www.kinoafisha.info/movies/281979/
8.5,Ходячий замок,"аниме , сказка, фантастика, мелодрама","2004, Япония",https://www.kinoafisha.info/movies/329966/
8.4,Престиж,"сказка, триллер, фантастика, драма","2006, США / Великобритания",https://www.kinoafisha.info/movies/1068657/
8.3,Как приручить дракона,"анимация, семейный, сказка","2010, США",https://www.kinoafisha.info/movies/5636910/
8.3,Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма","1997, Япония",https://www.kinoafisha.info/movies/4019055/
8.3,Корпорация Монстров,"семейный, сказка, комедия, анимация","2001, США",https://www.kinoafisha.info/movies/75889/
8.2,Красавица и чудовище,"сказка, мелодрама, мюзикл, семейный, анимация","1991, США",https://www.kinoafisha.info/movies/5388337/
8.1,Аладдин,"сказка, мюзикл, семейный, анимация, комедия, приключения","1992, США",https://www.kinoafisha.info/movies/4479302/
8.1,Гарри Поттер и кубок огня,"семейный, приключения, триллер, фэнтези, сказка","2005, США / Великобритания",https://www.kinoafisha.info/movies/419476/
8.0,Волк и теленок,"семейный, анимация, сказка","1984, СССР",https://www.kinoafisha.info/movies/7667680/
8.0,Небесный замок Лапута,"сказка, анимация, семейный, приключения, аниме","1986, Япония",https://www.kinoafisha.info/movies/3165908/
8.0,Гарри Поттер и философский камень,"приключения, семейный, сказка","2001, Великобритания / США",https://www.kinoafisha.info/movies/5387519/
8.0,Мой сосед Тоторо,"аниме , сказка, семейный, анимация","1988, Япония",https://www.kinoafisha.info/movies/3994142/
8.0,Лабиринт Фавна,"драма, сказка, ужасы, триллер","2006, Мексика / Испания / США",https://www.kinoafisha.info/movies/987337/
8.0,Крупная рыба,"приключения, сказка, комедия, драма","2003, США",https://www.kinoafisha.info/movies/5515/
7.9,Пираты Карибского моря: Сундук мертвеца,"боевик, сказка, комедия, приключения","2006, США",https://www.kinoafisha.info/movies/533610/
7.9,Гарри Поттер и Тайная Комната,"мистика, приключения, сказка, семейный","2002, США / Великобритания / Германия",https://www.kinoafisha.info/movies/5237/
