Rating,Name,Genres,Year/Country,URL
8.7,Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",https://www.kinoafisha.info/movies/4620118/
8.7,Унесенные призраками,"аниме , семейный, анимация, приключения","2001, Япония",https://www.kinoafisha.info/movies/1250373/
8.6,Огненный лис,"семейный, приключения, документальный","2024, Россия",https://www.kinoafisha.info/movies/8374251/
8.5,Хатико: самый верный друг,"семейный, драма","2009, США",https://www.kinoafisha.info/movies/7719764/
8.5,ВАЛЛ-И,"семейный, фэнтези, анимация","2008, США",https://www.kinoafisha.info/movies/3338978/
8.3,Душа,"анимация, семейный, приключения, комедия","2020, США",https://www.kinoafisha.info/movies/8356310/
8.3,Как приручить дракона,"анимация, семейный, сказка","2010, США",https://www.kinoafisha.info/movies/5636910/
8.3,Гарри Поттер и Дары смерти. Часть вторая,"семейный, фэнтези, драма, мистика, приключения","2011, США / Великобритания",https://www.kinoafisha.info/movies/7667825/
8.3,Корпорация Монстров,"семейный, сказка, комедия, анимация","2001, США",https://www.kinoafisha.info/movies/75889/
8.2,Шрэк,"анимация, семейный, комедия","2001, США",https://www.kinoafisha.info/movies/5625/
8.2,Зверополис,"анимация, боевик, приключения, семейный, комедия","2016, США",https://www.kinoafisha.info/movies/8170146/
8.2,Красавица и чудовище,"сказка, мелодрама, мюзикл, семейный, анимация","1991, США",https://www.kinoafisha.info/movies/5388337/
8.2,Рататуй,"комедия, семейный, анимация","2007, США",https://www.kinoafisha.info/movies/1102801/
8.1,Аладдин,"сказка, мюзикл, семейный, анимация, комедия, приключения","1992, США",https://www.kinoafisha.info/movies/4479302/
8.1,Гарри Поттер и узник Азкабана,"приключения, семейный, фэнтези","2004, США / Великобритания",https://www.kinoafisha.info/movies/5598/
8.1,Рапунцель: Запутанная История,"семейный, мюзикл, анимация, комедия","2010, США",https://www.kinoafisha.info/movies/8106336/
8.1,"Добро пожаловать, или Посторонним вход воспрещен","семейный, комедия","1964, СССР",https://www.kinoafisha.info/movies/1853092/
8.1,Свалкармония,"семейный, документальный, драма","2015, США / Парагвай / Норвегия / Бразилия",https://www.kinoafisha.info/movies/8323450/
8.1,Тайна третьей планеты,"анимация, приключения, семейный, фантастика","1981, СССР",https://www.kinoafisha.info/movies/2086732/
8.1,Как приручить дракона 3,"анимация, семейный, комедия, приключения","2018, США",https://www.kinoafisha.info/movies/8168520/
8.1,"Артур, ты король","семейный, приключения","2024, США",https://www.kinoafisha.info/movies/8361021/
8.1,Гарри Поттер и кубок огня,"семейный, приключения, триллер, фэнтези, сказка","2005, США / Великобритания",https://www.kinoafisha.info/movies/419476/
8.1,История игрушек: Большой побег,"драма, приключения, комедия, анимация, семейный","2010, США",https://www.kinoafisha.info/movies/8090393/
8.1,Вверх,"анимация, семейный, приключения","2009, США",https://www.kinoafisha.info/movies/7724199/
8.0,Волк и теленок,"семейный, анимация, сказка","1984, СССР",https://www.kinoafisha.info/movies/7667680/
8.0,Гарри Поттер и Дары смерти. Часть первая,"семейный, фэнтези, драма, мистика, приключения","2010, США / Великобритания",https://www.kinoafisha.info/movies/7667823/
8.0,Мулан,"семейный, анимация","1998, США",https://www.kinoafisha.info/movies/251055/
8.0,Небесный замок Лапута,"сказка, анимация, семейный, приключения, аниме","1986, Япония",https://www.kinoafisha.info/movies/3165908/
8.0,Гарри Поттер и философский камень,"приключения, семейный, сказка","2001, Великобритания / США",https://www.kinoafisha.info/movies/5387519/
8.0,Ледниковый период,"комедия, приключения, анимация, семейный","2002, США",https://www.kinoafisha.info/movies/4621953/
8.0,Мой сосед Тоторо,"аниме , сказка, семейный, анимация","1988, Япония",https://www.kinoafisha.info/movies/3994142/
8.0,Собачья жизнь 2,семейный,"2019, США",https://www.kinoafisha.info/movies/8354806/
8.0,Один дома,"криминал, комедия, семейный","1990, США",https://www.kinoafisha.info/movies/5412785/
8.0,Кошмар перед Рождеством,"семейный, фэнтези, мюзикл, анимация","1993, США",https://www.kinoafisha.info/movies/3735148/
8.0,Холодное сердце,"приключения, анимация, семейный","2013, США",https://www.kinoafisha.info/movies/8141185/
7.9,В поисках Немо,"семейный, комедия, анимация, приключения","2003, США",https://www.kinoafisha.info/movies/5457/
7.9,Город героев,"комедия, боевик, анимация, семейный","2014, США",https://www.kinoafisha.info/movies/8157679/
7.9,Заколдованный мальчик,"семейный, анимация","1955, СССР",https://www.kinoafisha.info/movies/1855189/
7.9,Гадкий я,"семейный, анимация","2010, США",https://www.kinoafisha.info/movies/8094215/
7.9,Гарри Поттер и Тайная Комната,"мистика, приключения, сказка, семейный","2002, США / Великобритания / Германия",https://www.kinoafisha.info/movies/5237/
7.9,Шрэк 2,"сказка, комедия, анимация, приключения, семейный","2004, США",https://www.kinoafisha.info/movies/5639/
7.8,Гарри Поттер и Орден Феникса,"сказка, семейный, драма, приключения","2007, Великобритания / США",https://www.kinoafisha.info/movies/1091223/
7.8,Приключения Паддингтона 2,"фэнтези, семейный, приключения","2017, Великобритания / Франция",https://www.kinoafisha.info/movies/8328269/
7.8,Ведьмина служба доставки,"приключения, комедия, сказка, семейный, анимация, аниме","1989, Япония",https://www.kinoafisha.info/movies/4018598/
7.8,Джуманджи,"семейный, триллер, комедия, приключения, фантастика, драма","1995, США",https://www.kinoafisha.info/movies/4273977/
7.8,101 далматинец,"семейный, приключения, анимация","1961, США",https://www.kinoafisha.info/movies/7377347/
7.8,Мама,"семейный, сказка, мюзикл","1976, СССР / Франция / Румыния",https://www.kinoafisha.info/movies/7619855/
7.8,Университет монстров,"комедия, семейный, фэнтези, приключения, анимация","2013, США",https://www.kinoafisha.info/movies/8133574/
7.7,Вперёд,"анимация, семейный, приключения, комедия, фэнтези","2019, США",https://www.kinoafisha.info/movies/8355472/
7.7,Мегамозг,"комедия, семейный, анимация","2010, США",https://www.kinoafisha.info/movies/8102606/
7.7,Алеша Попович и Тугарин Змей,"семейный, сказка, анимация","2004, Россия",https://www.kinoafisha.info/movies/107757/
7.7,Рыбка Поньо на утесе,"анимация, семейный, приключения, аниме","2008, Япония",https://www.kinoafisha.info/movies/3441952/
7.7,Гарри Поттер и Принц-Полукровка,"фэнтези, семейный, приключения","2008, Великобритания / США",https://www.kinoafisha.info/movies/4108467/
7.7,Анастасия,"анимация, сказка, драма, мюзикл, семейный, приключения","1997, США",https://www.kinoafisha.info/movies/5640854/
7.7,История игрушек 4,"комедия, фэнтези, детский, семейный","2019, США",https://www.kinoafisha.info/movies/8178514/
7.7,Хоккейные папы,"комедия, семейный, спорт","2023, Россия",https://www.kinoafisha.info/movies/8371790/
7.7,Спирит: Душа прерий,"вестерн, анимация, приключения, семейный","2002, США",https://www.kinoafisha.info/movies/8107409/
7.7,Холодное сердце 2,"анимация, семейный, детский","2019, США",https://www.kinoafisha.info/movies/8329619/
7.6,Мост в Терабитию,"фэнтези, семейный, приключения","2007, США",https://www.kinoafisha.info/movies/1090242/
7.6,Волшебная страна,"биография, семейный, драма","2004, Великобритания / США",https://www.kinoafisha.info/movies/139898/
7.6,Расправь крылья,"приключения, семейный","2019, Франция",https://www.kinoafisha.info/movies/8356082/
7.6,2+1,"комедия, семейный, драма, мелодрама","2016, Франция / Великобритания",https://www.kinoafisha.info/movies/8327108/
