Rating,Name,Genres,Year/Country,URL
8.8,Властелин Колец: Братство Кольца,"приключения, боевик, фэнтези","2001, Новая Зеландия / США",https://www.kinoafisha.info/movies/3337323/
8.7,Властелин Колец: Две крепости,"приключения, фэнтези, драма","2002, США / Новая Зеландия / Германия",https://www.kinoafisha.info/movies/5227/
8.7,Властелин Колец: Возвращение Короля,фэнтези,"2003, США / Новая Зеландия / Германия",https://www.kinoafisha.info/movies/5475/
8.6,Лига справедливости Зака Снайдера,"боевик, приключения, фэнтези","2021, США",https://www.kinoafisha.info/movies/8363174/
8.5,ВАЛЛ-И,"семейный, фэнтези, анимация","2008, США",https://www.kinoafisha.info/movies/3338978/
8.5,Твое имя,"анимация, фэнтези, мелодрама, аниме","2016, Япония",https://www.kinoafisha.info/movies/8329875/
8.3,Гарри Поттер и Дары смерти. Часть вторая,"семейный, фэнтези, драма, мистика, приключения","2011, США / Великобритания",https://www.kinoafisha.info/movies/7667825/
8.3,Люди Икс: Дни минувшего будущего,"фантастика, боевик, фэнтези","2014, США",https://www.kinoafisha.info/movies/8139166/
8.3,Вайолет Эвергарден. Фильм,"анимация, драма, фэнтези, аниме","2020, Япония",https://www.kinoafisha.info/movies/8363166/
8.2,Тор: Рагнарёк,"фэнтези, драма, боевик","2017, США",https://www.kinoafisha.info/movies/8170452/
8.2,Моя геройская академия: Ты следующий,"боевик, анимация, фэнтези, аниме","2024, Япония",https://www.kinoafisha.info/movies/8377760/
8.2,Хоббит: Нежданное путешествие,"фэнтези, приключения","2012, США",https://www.kinoafisha.info/movies/5567540/
8.1,Гарри Поттер и узник Азкабана,"приключения, семейный, фэнтези","2004, США / Великобритания",https://www.kinoafisha.info/movies/5598/
8.1,Гарри Поттер и кубок огня,"семейный, приключения, триллер, фэнтези, сказка","2005, США / Великобритания",https://www.kinoafisha.info/movies/419476/
8.1,Блэйд 2,"боевик, фэнтези, триллер, приключения","2002, Германия / США",https://www.kinoafisha.info/movies/8103410/
8.1,"Носферату, симфония ужаса","ужасы, фэнтези, триллер","1922, Германия",https://www.kinoafisha.info/movies/3638322/
8.1,Шан-Чи и легенда десяти колец,"фэнтези, боевик, комедия","2021, США",https://www.kinoafisha.info/movies/8356369/
8.0,Гарри Поттер и Дары смерти. Часть первая,"семейный, фэнтези, драма, мистика, приключения","2010, США / Великобритания",https://www.kinoafisha.info/movies/7667823/
8.0,Дэдпул,"фэнтези, фантастика, боевик","2016, США / Канада",https://www.kinoafisha.info/movies/8133896/
8.0,Доктор Стрэндж,"фэнтези, приключения","2016, США",https://www.kinoafisha.info/movies/8168491/
8.0,Хоббит: Пустошь Смауга,"драма, фэнтези, приключения","2013, США / Новая Зеландия",https://www.kinoafisha.info/movies/8144241/
8.0,Кошмар перед Рождеством,"семейный, фэнтези, мюзикл, анимация","1993, США",https://www.kinoafisha.info/movies/3735148/
8.0,Господин Никто,"фантастика, фэнтези, драма, мелодрама","2009, Бельгия / Канада / Франция",https://www.kinoafisha.info/movies/7756882/
8.0,Злая: Сказка о ведьме Запада,"мюзикл, фэнтези, мелодрама","2024, США",https://www.kinoafisha.info/movies/8327464/
8.0,Как приручить дракона 2,"комедия, фэнтези, анимация, боевик, приключения","2014, США",https://www.kinoafisha.info/movies/8150290/
8.0,Аленький цветочек,"анимация, фэнтези","1952, СССР",https://www.kinoafisha.info/movies/8359568/
7.9,Портрет Дориана Грея,"драма, фэнтези, ужасы","1945, США",https://www.kinoafisha.info/movies/8370516/
7.9,Воспоминания о Марни,"аниме , драма, фэнтези","2014, Япония",https://www.kinoafisha.info/movies/8320507/
7.9,Маска,"фэнтези, криминал, комедия","1994, США",https://www.kinoafisha.info/movies/3659042/
7.9,Снежная королева,"анимация, фэнтези, драма, семейный","1957, СССР",https://www.kinoafisha.info/movies/8328935/
7.9,Лука,"анимация, приключения, фэнтези","2021, США",https://www.kinoafisha.info/movies/8361061/
7.9,Потерянный горизонт,"приключения, криминал, драма, фэнтези","1937, США",https://www.kinoafisha.info/movies/7747409/
7.9,Дитя погоды,"аниме , мелодрама, анимация, фэнтези","2019, Япония",https://www.kinoafisha.info/movies/8356367/
7.9,Привидение,"драма, фэнтези, триллер, мистика, комедия","1990, США",https://www.kinoafisha.info/movies/3677162/
7.9,Приключения Паддингтона 2,"фэнтези, семейный, приключения","2017, Великобритания / Франция",https://www.kinoafisha.info/movies/8328269/
7.8,Человек из стали,"фантастика, фэнтези, приключения, боевик","2013, США",https://www.kinoafisha.info/movies/8112304/
7.8,Хоббит: Битва Пяти Воинств,"фэнтези, приключения","2014, США",https://www.kinoafisha.info/movies/7609445/
7.8,Университет монстров,"комедия, семейный, фэнтези, приключения, анимация","2013, США",https://www.kinoafisha.info/movies/8133574/
7.8,Вперёд,"анимация, семейный, приключения, комедия, фэнтези","2019, США",https://www.kinoafisha.info/movies/8355472/
7.8,Подземелья и драконы: Честь среди воров,фэнтези,"2023, США",https://www.kinoafisha.info/movies/8354073/
7.7,Новый Человек-паук: Высокое напряжение,"боевик, фэнтези, приключения","2014, США",https://www.kinoafisha.info/movies/8146979/
7.7,Скромное обаяние буржуазии,"комедия, драма, фэнтези","1972, Франция / Италия / Испания",https://www.kinoafisha.info/movies/8377958/
7.7,Гарри Поттер и Принц-Полукровка,"фэнтези, семейный, приключения","2008, Великобритания / США",https://www.kinoafisha.info/movies/4108467/
7.7,Новый Человек-паук,"приключения, фэнтези, драма, боевик, триллер","2012, США",https://www.kinoafisha.info/movies/5640981/
7.6,Мост в Терабитию,"фэнтези, семейный, приключения","2007, США",https://www.kinoafisha.info/movies/1090242/
7.6,Пропавшая грамота,"анимация, короткометражный, фэнтези","1945, СССР",https://www.kinoafisha.info/movies/8329029/
7.6,История игрушек 4,"комедия, фэнтези, детский, семейный","2019, США",https://www.kinoafisha.info/movies/8178514/
7.6,Хранители,"фантастика, фэнтези, боевик, драма, триллер","2009, Великобритания / США",https://www.kinoafisha.info/movies/4807951/
7.6,Остров собак,"анимация, комедия, драма, фэнтези","2018, США",https://www.kinoafisha.info/movies/8329620/
7.6,Марья-искусница,"фэнтези, семейный, приключения","1959, СССР",https://www.kinoafisha.info/movies/3691816/
7.6,Фантастические твари и где они обитают,"семейный, фэнтези, приключения","2016, Великобритания / США",https://www.kinoafisha.info/movies/8168523/
7.6,Седьмая печать,"драма, фэнтези","1956, Швеция",https://www.kinoafisha.info/movies/7735799/
7.6,Люди Икс: Апокалипсис,"боевик, фэнтези, приключения, фантастика","2016, США",https://www.kinoafisha.info/movies/8165177/
7.6,Джуманджи: Зов джунглей,"приключения, семейный, фэнтези","2017, США",https://www.kinoafisha.info/movies/8319638/
7.6,Малефисента: Владычица тьмы,"фэнтези, семейный, приключения","2019, США",https://www.kinoafisha.info/movies/8326540/
7.6,Изгой-Один. Звёздные Войны: Истории,"боевик, приключения, фантастика, фэнтези","2016, США",https://www.kinoafisha.info/movies/8176074/
7.6,"Знакомьтесь, Джо Блэк","мелодрама, мистика, фэнтези, драма","1998, США",https://www.kinoafisha.info/movies/3997319/
7.6,Мастер и Маргарита,"драма, фэнтези","2024, Россия",https://www.kinoafisha.info/movies/8365280/
7.5,Флэш,"фантастика, приключения, боевик, драма, фэнтези","2023, США",https://www.kinoafisha.info/movies/8171721/
7.5,Шазам!,"фантастика, фэнтези, боевик","2019, США",https://www.kinoafisha.info/movies/8176029/
7.5,Битлджус Битлджус,"комедия, фэнтези, ужасы","2024, США",https://www.kinoafisha.info/movies/8366754/
7.5,Донни Дарко,"фантастика, фэнтези, драма","2001, США",https://www.kinoafisha.info/movies/5271/
7.5,Маленький принц,"анимация, фэнтези","2015, Франция",https://www.kinoafisha.info/movies/8158097/
7.5,Мумия,"ужасы, фэнтези","1932, США",https://www.kinoafisha.info/movies/8354212/
7.5,Серебряные коньки,"приключения, фэнтези","2020, Россия",https://www.kinoafisha.info/movies/8355489/
7.4,Пираты Карибского моря: Мертвецы не рассказывают сказки,"комедия, фэнтези, боевик, приключения","2017, США",https://www.kinoafisha.info/movies/8150238/
7.4,По щучьему велению,"фэнтези, приключения","2023, Россия",https://www.kinoafisha.info/movies/8365203/
7.4,Голос монстра,"фантастика, фэнтези","2016, США / Испания",https://www.kinoafisha.info/movies/8326020/
7.4,Наруто: Последний фильм,"анимация, фэнтези, боевик, аниме","2014, Япония",https://www.kinoafisha.info/movies/8175640/
7.4,Капитан Марвел,"приключения, фэнтези, боевик","2019, США",https://www.kinoafisha.info/movies/8178517/
7.4,Джон Картер,"приключения, фантастика, боевик, фэнтези","2012, США",https://www.kinoafisha.info/movies/8120732/
7.4,Дом странных детей мисс Перегрин,"фэнтези, приключения","2016, США",https://www.kinoafisha.info/movies/8157752/
7.4,Варкрафт,"приключения, боевик, фэнтези","2016, США",https://www.kinoafisha.info/movies/8158971/
7.4,Принц Персии: Пески времени,"приключения, мелодрама, боевик, фэнтези","2010, США",https://www.kinoafisha.info/movies/4876565/
7.4,Соник в кино,фэнтези,"2019, США",https://www.kinoafisha.info/movies/8354305/
7.4,Книга джунглей,"драма, приключения, фэнтези","2016, США",https://www.kinoafisha.info/movies/8176021/
7.4,Легенды ночных стражей,"фэнтези, анимация, приключения","2010, США / Австралия",https://www.kinoafisha.info/movies/7667809/
