Rating,Name,Genres,Year/Country,URL
8.6,Оппенгеймер,"биография, драма, исторический","2023, США",https://www.kinoafisha.info/movies/8365507/
8.6,Список Шиндлера,"исторический, военный, драма, биография","1993, США",https://www.kinoafisha.info/movies/3725038/
8.3,А зори здесь тихие,"исторический, драма, военный","1972, СССР",https://www.kinoafisha.info/movies/7714889/
8.2,Одна жизнь,"биография, драма, исторический","2023, Великобритания",https://www.kinoafisha.info/movies/8372178/
8.1,Сибириада,"драма, военный, исторический","1978, СССР",https://www.kinoafisha.info/movies/8328683/
8.1,Броненосец «Потемкин»,"драма, военный, исторический","1925, СССР",https://www.kinoafisha.info/movies/6450507/
8.0,Король говорит!,"драма, исторический","2010, Великобритания / Австралия",https://www.kinoafisha.info/movies/8099607/
8.0,Леди Гамильтон,"мелодрама, исторический, драма, военный","1941, США",https://www.kinoafisha.info/movies/6306249/
8.0,Страсти Жанны Д'Арк,"документальный, исторический","1928, Франция",https://www.kinoafisha.info/movies/3401635/
7.9,Убийцы цветочной луны,"триллер, драма, криминал, детектив, вестерн, исторический","2023, США",https://www.kinoafisha.info/movies/8355012/
7.9,Социальная сеть,"исторический, драма","2010, США",https://www.kinoafisha.info/movies/8037395/
7.9,Троя,"исторический, приключения","2004, США / Мальта / Великобритания",https://www.kinoafisha.info/movies/5591/
7.8,Чтец,"мелодрама, исторический, военный, драма, триллер","2008, США / Германия",https://www.kinoafisha.info/movies/6143568/
7.7,Герои Шипки,"драма, исторический, военный","1955, Болгария",https://www.kinoafisha.info/movies/8362665/
7.7,Деньги господина Арне,"исторический, драма","1919, Швеция",https://www.kinoafisha.info/movies/4695277/
7.7,Дюнкерк,"драма, военный, исторический","2017, США / Великобритания / Франция",https://www.kinoafisha.info/movies/8322822/
7.7,12 лет рабства,"драма, исторический, биография","2013, США / Великобритания",https://www.kinoafisha.info/movies/8127608/
7.7,Сибирский цирюльник,"исторический, драма, мелодрама","1998, Россия / Франция / Италия / Чехия",https://www.kinoafisha.info/movies/5927378/
7.7,Банды Нью-Йорка,"драма, исторический","2002, США / Германия / Италия / Великобритания / Нидерланды",https://www.kinoafisha.info/movies/5292/
7.7,Салют-7,"драма, исторический","2017, Россия",https://www.kinoafisha.info/movies/8322262/
7.6,Цветы войны,"исторический, драма","2012, Китай",https://www.kinoafisha.info/movies/8125426/
7.6,Восемнадцатый год,"драма, исторический","1958, СССР",https://www.kinoafisha.info/movies/8371163/
7.6,Праведник,"военный, драма, исторический","2023, Россия",https://www.kinoafisha.info/movies/8368901/
7.6,Александр Невский,"биография, исторический, военный","1938, СССР",https://www.kinoafisha.info/movies/1300942/
7.6,Кошачьи миры Луиса Уэйна,"биография, драма, исторический","2021, Великобритания",https://www.kinoafisha.info/movies/8363252/
7.6,Новый Вавилон,"драма, исторический","1929, СССР",https://www.kinoafisha.info/movies/7259552/
7.6,Старое и новое (Генеральная линия),исторический,"1929, СССР",https://www.kinoafisha.info/movies/7609693/
7.6,Меч короля,"биография, драма, исторический","2023, Дания / Норвегия / Швеция",https://www.kinoafisha.info/movies/8371504/
7.6,Время первых,"драма, исторический","2017, Россия",https://www.kinoafisha.info/movies/8174662/
7.6,Жанна Дюбарри,"биография, драма, исторический","2023, Франция",https://www.kinoafisha.info/movies/8368088/
7.6,Чапаев,"исторический, военный, драма","1934, СССР",https://www.kinoafisha.info/movies/4693955/
7.5,Нетерпимость,"исторический, драма","1916, США",https://www.kinoafisha.info/movies/3761104/
7.5,Блокада: Ленинградский метроном. Операция «Искра»,"боевик, драма, исторический","1977, СССР",https://www.kinoafisha.info/movies/8370031/
7.5,Великий Гэтсби,"драма, исторический","2013, США",https://www.kinoafisha.info/movies/8106332/
7.5,Фаворитка,"биография, исторический","2018, Ирландия / Великобритания / США",https://www.kinoafisha.info/movies/8355009/
7.5,Потомок Чингисхана,"военный, драма, исторический","1928, СССР",https://www.kinoafisha.info/movies/7624412/
