Rating,Name,Genres,Year/Country,URL
8.4,Чужой,"ужасы, фантастика, триллер","1979, США / Великобритания",https://www.kinoafisha.info/movies/4722633/
8.4,Чужие,"триллер, ужасы, боевик, фантастика","1986, США / Великобритания",https://www.kinoafisha.info/movies/5411374/
8.0,Блэйд,"ужасы, триллер, боевик","1998, США",https://www.kinoafisha.info/movies/4088614/
8.0,Лабиринт Фавна,"драма, сказка, ужасы, триллер","2006, Мексика / Испания / США",https://www.kinoafisha.info/movies/987337/
7.9,Я - легенда,"драма, фантастика, ужасы","2007, США",https://www.kinoafisha.info/movies/2070269/
7.8,Заклятие,"триллер, ужасы","2013, США",https://www.kinoafisha.info/movies/8137286/
7.8,Поезд в Пусан,"ужасы, боевик, триллер","2016, Южная Корея",https://www.kinoafisha.info/movies/8327355/
7.8,Добро пожаловать в Зомбилэнд,"комедия, ужасы","2009, США",https://www.kinoafisha.info/movies/7745135/
7.8,От заката до рассвета,"боевик, триллер, ужасы","1995, США",https://www.kinoafisha.info/movies/5411584/
7.8,Сонная лощина,"триллер, ужасы, фантастика","1999, США",https://www.kinoafisha.info/movies/1068693/
7.8,Хищник,"боевик, ужасы, триллер, фантастика","1987, США",https://www.kinoafisha.info/movies/4077026/
7.7,Доктор Сон,"мистика, ужасы","2019, США",https://www.kinoafisha.info/movies/8354825/
7.7,Вспомнить все,"приключения, ужасы, боевик, триллер, фантастика","1990, США",https://www.kinoafisha.info/movies/4089322/
7.7,Хеллбой 2: Золотая армия,"драма, боевик, фантастика, приключения, ужасы","2008, США",https://www.kinoafisha.info/movies/3350059/
7.7,Пила 10,"криминал, драма, ужасы","2023, США",https://www.kinoafisha.info/movies/8368041/
7.7,Мумия,"триллер, комедия, боевик, сказка, ужасы, приключения","1999, США",https://www.kinoafisha.info/movies/5372442/
7.7,Проклятие. Зов могилы,"ужасы, детектив, триллер","2024, Южная Корея",https://www.kinoafisha.info/movies/8375401/
7.6,"Два, три, демон, приди!","ужасы, триллер","2023, Австралия",https://www.kinoafisha.info/movies/8370794/
7.6,Американский психопат,"ужасы, триллер, драма","2000, США / Канада",https://www.kinoafisha.info/movies/3808860/
7.6,Другие,"ужасы, фантастика, мистика, триллер, драма","2001, Испания / Франция / США",https://www.kinoafisha.info/movies/3625676/
7.6,Дракула,"ужасы, мелодрама, триллер, фантастика, драма","1992, США",https://www.kinoafisha.info/movies/5413129/
7.6,"Суини Тодд, демон-парикмахер с Флит-стрит","мюзикл, ужасы, триллер","2007, США",https://www.kinoafisha.info/movies/3319184/
7.6,Прочь,"ужасы, детектив","2017, США",https://www.kinoafisha.info/movies/8328182/
7.6,Заклятие 2,ужасы,"2016, США",https://www.kinoafisha.info/movies/8163731/
7.5,Коралина в стране кошмаров,"ужасы, сказка, семейный, анимация","2009, США",https://www.kinoafisha.info/movies/4221234/
7.5,Оно,"ужасы, триллер","2017, США",https://www.kinoafisha.info/movies/8326742/
7.5,Приют,"мистика, триллер, ужасы, драма","2007, Мексика / Испания",https://www.kinoafisha.info/movies/1735100/
7.5,Тихое место 2,ужасы,"2021, США",https://www.kinoafisha.info/movies/8355187/
7.5,Астрал,"ужасы, триллер","2011, США",https://www.kinoafisha.info/movies/8085870/
7.4,Мгла,ужасы,"2007, США",https://www.kinoafisha.info/movies/2070260/
7.4,Тихое место,"ужасы, мистика","2018, США",https://www.kinoafisha.info/movies/8329419/
7.4,Другой мир,"сказка, боевик, ужасы","2003, США / Германия / Венгрия / Великобритания",https://www.kinoafisha.info/movies/5419/
7.4,Блэйд: Троица,"приключения, фантастика, боевик, ужасы, триллер","2004, США",https://www.kinoafisha.info/movies/146944/
7.4,28 недель спустя,"фантастика, триллер, ужасы","2007, Великобритания",https://www.kinoafisha.info/movies/1300828/
7.4,1408,"триллер, ужасы","2007, США",https://www.kinoafisha.info/movies/1300867/
7.4,Хижина в лесу,"ужасы, триллер","2012, США",https://www.kinoafisha.info/movies/7805059/
7.4,Девятые врата,"мистика, ужасы, триллер","1999, Испания / Франция / США",https://www.kinoafisha.info/movies/3341247/
7.4,Грайндхаус,"ужасы, боевик, фантастика, комедия","2007, США / Канада",https://www.kinoafisha.info/movies/1211587/
7.3,Пункт назначения,"фантастика, ужасы, триллер","2000, США",https://www.kinoafisha.info/movies/3712222/
7.3,Тепло наших тел,"мелодрама, драма, ужасы","2013, США",https://www.kinoafisha.info/movies/8127639/
7.3,Пять ночей с Фредди,ужасы,"2023, США",https://www.kinoafisha.info/movies/8367896/
7.3,Крик 6,"ужасы, триллер","2023, США",https://www.kinoafisha.info/movies/8366572/
7.3,Тайное окно,"ужасы, триллер, драма","2004, США",https://www.kinoafisha.info/movies/5545/
7.3,Обитель зла,"ужасы, боевик, триллер, фантастика","2002, Германия / Франция / Великобритания",https://www.kinoafisha.info/movies/5388561/
7.3,Черный телефон,ужасы,"2022, США",https://www.kinoafisha.info/movies/8365473/
7.3,Клаустрофобы,ужасы,"2019, США",https://www.kinoafisha.info/movies/8355319/
