Rating,Name,Genres,Year/Country,URL
8.6,Список Шиндлера,"исторический, военный, драма, биография","1993, США",https://www.kinoafisha.info/movies/3725038/
8.5,Храброе сердце,"военный, биография, боевик, драма","1995, США",https://www.kinoafisha.info/movies/5413263/
8.3,А зори здесь тихие,"исторический, драма, военный","1972, СССР",https://www.kinoafisha.info/movies/7714889/
8.3,По соображениям совести,"военный, драма, биография","2016, США",https://www.kinoafisha.info/movies/8325361/
8.2,Спасти рядового Райана,"боевик, военный, драма","1998, США",https://www.kinoafisha.info/movies/3725163/
8.0,Белая птица. Новое чудо,"биография, драма, военный","2023, США",https://www.kinoafisha.info/movies/8366698/
8.0,Бесславные ублюдки,"драма, военный, приключения, боевик","2009, Германия / США",https://www.kinoafisha.info/movies/7605543/
8.0,Последний самурай,"приключения, боевик, военный, драма","2003, США",https://www.kinoafisha.info/movies/5506/
7.9,1917,"военный, драма","2019, Великобритания / США",https://www.kinoafisha.info/movies/8355993/
7.9,Семь черных бумаг,военный,"2024, Россия",https://www.kinoafisha.info/movies/8375405/
7.8,Чтец,"мелодрама, исторический, военный, драма, триллер","2008, США / Германия",https://www.kinoafisha.info/movies/6143568/
7.8,Брестская крепость,"драма, военный","2010, Россия / Беларусь",https://www.kinoafisha.info/movies/7949294/
7.8,Малена,"военный, драма, мелодрама","2000, Италия / США",https://www.kinoafisha.info/movies/1079414/
7.7,Дюнкерк,"драма, военный, исторический","2017, США / Великобритания / Франция",https://www.kinoafisha.info/movies/8322822/
7.7,Летят журавли,"мелодрама, военный, драма","1957, СССР",https://www.kinoafisha.info/movies/1444562/
7.7,Легенды осени,"драма, военный, вестерн","1994, США",https://www.kinoafisha.info/movies/3977932/
7.6,Снимки нашей планеты и письмена войны,"документальный, военный","1988, ФРГ",https://www.kinoafisha.info/movies/8327622/
7.6,Праведник,"военный, драма, исторический","2023, Россия",https://www.kinoafisha.info/movies/8368901/
7.6,Царство небесное,"мелодрама, военный, драма","2005, Испания / США",https://www.kinoafisha.info/movies/243120/
7.6,Патриот,"драма, военный, боевик","2000, Германия / США",https://www.kinoafisha.info/movies/5377153/
7.5,9 рота,"драма, военный","2005, Россия / Финляндия / Украина",https://www.kinoafisha.info/movies/351688/
7.5,Т-34,"военный, боевик, приключения","2018, Россия",https://www.kinoafisha.info/movies/8324941/
7.5,Сестренка,"военный, драма","2019, Россия",https://www.kinoafisha.info/movies/8330313/
7.4,Турецкий гамбит,"криминал, исторический, приключения, военный","2005, Россия",https://www.kinoafisha.info/movies/163123/
7.4,Команда А,"боевик, триллер, военный","2010, США",https://www.kinoafisha.info/movies/5637676/
7.4,28 панфиловцев,"военный, драма","2016, Россия",https://www.kinoafisha.info/movies/8154984/
7.4,9,"анимация, военный, фантастика, приключения","2009, США",https://www.kinoafisha.info/movies/7606750/
7.4,Ярость,"военный, боевик, драма","2014, Великобритания",https://www.kinoafisha.info/movies/8153271/
7.3,Боевой конь,военный,"2011, США",https://www.kinoafisha.info/movies/8099988/
7.3,Форма воды,"военный, мистика","2017, США",https://www.kinoafisha.info/movies/8327453/
7.3,Жена смотрителя зоопарка,"драма, биография, военный","2016, США",https://www.kinoafisha.info/movies/8320055/
7.3,А зори здесь тихие...,"военный, драма, исторический","2015, Россия",https://www.kinoafisha.info/movies/8168461/
7.2,Балканский рубеж,"боевик, драма, военный","2019, Россия / Сербия",https://www.kinoafisha.info/movies/8327057/
7.2,Не брать живым,"драма, военный","2009, США / Великобритания",https://www.kinoafisha.info/movies/7620534/
7.2,Битва за Севастополь,"военный, мелодрама, боевик","2015, Россия / Украина",https://www.kinoafisha.info/movies/8168745/
7.1,Лучшие в аду,военный,"2022, Россия",https://www.kinoafisha.info/movies/8367938/
7.1,Подольские курсанты,"военный, исторический, драма","2020, Россия",https://www.kinoafisha.info/movies/8353969/
7.1,Министерство неджентльменских дел,"драма, военный","2024, США",https://www.kinoafisha.info/movies/8368068/
7.1,Небо,"военный, драма","2020, Россия",https://www.kinoafisha.info/movies/8365151/
7.1,Калашников,"военный, исторический","2020, Россия",https://www.kinoafisha.info/movies/8356815/
7.0,Ржев,"военный, драма","2019, Россия",https://www.kinoafisha.info/movies/8356720/
7.0,Летчик,"военный, биография, драма, исторический","2021, Россия",https://www.kinoafisha.info/movies/8354693/
6.9,Австралия,"драма, вестерн, военный, приключения","2008, США / Австралия",https://www.kinoafisha.info/movies/4998881/
6.9,Собибор,"военный, драма","2018, Россия",https://www.kinoafisha.info/movies/8327720/
6.9,Дорогой Джон,"военный, драма, мелодрама","2009, США",https://www.kinoafisha.info/movies/7681670/
6.9,Тихая застава,"драма, военный","2010, Россия",https://www.kinoafisha.info/movies/8105123/
6.9,Мы из будущего,"фантастика, исторический, приключения, военный","2008, Россия",https://www.kinoafisha.info/movies/1416548/
6.8,Блиндаж,"фантастика, военный","2024, Россия",https://www.kinoafisha.info/movies/8371244/
6.8,Операция «Мясной фарш»,"драма, военный","2022, США / Великобритания",https://www.kinoafisha.info/movies/8365278/
6.8,Восемь сотен,"военный, драма","2020, Китай",https://www.kinoafisha.info/movies/8362849/
6.7,Батальонъ,"военный, мелодрама, исторический, драма","2014, Россия",https://www.kinoafisha.info/movies/8168746/
6.6,Девятаев,"военный, биография","2021, Россия",https://www.kinoafisha.info/movies/8357040/
6.5,Слуга государев,"боевик, военный, исторический","2007, Россия",https://www.kinoafisha.info/movies/944460/
6.4,Двойная петля,"боевик, драма, военный","2022, США",https://www.kinoafisha.info/movies/8365708/
6.4,Несокрушимый,"военный, драма","2018, Россия",https://www.kinoafisha.info/movies/8324784/
6.3,Голда. Судный день,"биография, драма, военный","2023, Великобритания / США",https://www.kinoafisha.info/movies/8365776/
6.3,Три дня до весны,"драма, военный, детектив","2017, Россия",https://www.kinoafisha.info/movies/8329421/
6.3,Помилование,"драма, военный","2023, Россия",https://www.kinoafisha.info/movies/8370687/
6.3,Август. Восьмого,"драма, военный","2012, Россия",https://www.kinoafisha.info/movies/8113740/
6.3,Король Артур,"драма, боевик, военный, приключения","2004, США / Великобритания / Ирландия",https://www.kinoafisha.info/movies/5640/
6.2,Александр,"драма, приключения, военный","2004, США / Германия / Франция",https://www.kinoafisha.info/movies/79800/
6.2,Нюрнберг,"исторический, драма, военный, триллер, приключения","2022, Россия / Германия / Чехия / Великобритания",https://www.kinoafisha.info/movies/8365991/
6.2,Первый Оскар,"драма, исторический, военный","2022, Россия",https://www.kinoafisha.info/movies/8365802/
6.1,Дорога к Иерусалиму,"военный, драма","2003, Германия / Болгария",https://www.kinoafisha.info/movies/7678100/
6.1,Белый тигр,военный,"2012, Россия",https://www.kinoafisha.info/movies/8131265/
5.9,Чужой против хищника,"боевик, ужасы, приключения, фантастика, триллер, военный","2004, США / Канада / Германия / Греция / Великобритания",https://www.kinoafisha.info/movies/5677/
5.9,Братство,"военный, драма","2019, Россия",https://www.kinoafisha.info/movies/8330428/
5.6,За Палыча!,"комедия, военный","2023, Россия",https://www.kinoafisha.info/movies/8371309/
5.5,Воздух,"драма, военный","2023, Россия",https://www.kinoafisha.info/movies/8354685/
5.5,Повелитель стихий,"приключения, фантастика, семейный, военный","2010, США",https://www.kinoafisha.info/movies/5998342/
5.5,Шпион,"военный, криминал, приключения","2012, Россия",https://www.kinoafisha.info/movies/8100340/
5.3,Герой,"военный, драма","2016, Россия",https://www.kinoafisha.info/movies/8321570/
5.2,Сталинград,"драма, военный","2013, Россия",https://www.kinoafisha.info/movies/8036078/
5.1,Танки,"биография, военный, исторический","2018, Россия",https://www.kinoafisha.info/movies/8330177/
4.8,Утомленные солнцем 2: Цитадель,"драма, исторический, военный","2010, Россия / Германия / Франция",https://www.kinoafisha.info/movies/7949371/
2.5,На Париж,"военный, драма","2018, Россия",https://www.kinoafisha.info/movies/8330333/
