Rating,Name,Genres,Year/Country,URL
8.8,SUGA | Agust D TOUR ‘D-DAY’ THE MOVIE,"музыка, документальный","2024, Южная Корея",https://www.kinoafisha.info/movies/8375207/
8.6,Suga: Road to D-Day,"биография, документальный, музыка","2023, Южная Корея",https://www.kinoafisha.info/movies/8371078/
8.6,Мой мир SHINee,"документальный, музыка","2023, Южная Корея",https://www.kinoafisha.info/movies/8373986/
8.6,BTS: Yet to Come in Cinemas,музыка,"2023,",https://www.kinoafisha.info/movies/8368940/
8.3,Тейлор Свифт: The Eras Tour,музыка,"2023, США",https://www.kinoafisha.info/movies/8372416/
8.3,La Bohème,"драма, музыка, мелодрама","2002,",https://www.kinoafisha.info/movies/8375838/
8.0,Ромео и Джульетта,"драма, музыка, мелодрама","1955, СССР",https://www.kinoafisha.info/movies/8371167/
7.8,Месье Азнавур,"биография, драма, музыка","2024, Франция",https://www.kinoafisha.info/movies/8376242/
7.6,Ненормальный,"драма, музыка","2024, Россия",https://www.kinoafisha.info/movies/8371419/
7.4,Быть лучше: История Робби Уильямса,"биография, музыка","2024, США / Австралия",https://www.kinoafisha.info/movies/8365902/
7.3,Девушка с обложки,"комедия, музыка, мюзикл","1944, США",https://www.kinoafisha.info/movies/8368154/
7.3,The Box,"драма, музыка, мюзикл","2021, Южная Корея",https://www.kinoafisha.info/movies/8364416/
7.3,Руки вверх!,"биография, комедия, музыка","2024, Россия",https://www.kinoafisha.info/movies/8373519/
6.9,Первый встречный,"комедия, музыка, мелодрама","2022, США",https://www.kinoafisha.info/movies/8364453/
6.7,Рождение легенд,"биография, драма, музыка","2023, США",https://www.kinoafisha.info/movies/8370680/
