Rating,Name,Genres,Year/Country,URL
8.7,Темный рыцарь,"драма, мистика, триллер, боевик","2008, США",https://www.kinoafisha.info/movies/3229744/
8.6,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,"приключения, криминал, мистика","1981, СССР",https://www.kinoafisha.info/movies/8363439/
8.4,Семь,"мистика, криминал, триллер","1995, США",https://www.kinoafisha.info/movies/3977952/
8.4,Игры разума,"мистика, драма, биография","2001, США",https://www.kinoafisha.info/movies/4108153/
8.4,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,"криминал, драма, мистика","1980, СССР",https://www.kinoafisha.info/movies/8363334/
8.3,Остров проклятых,"драма, мистика, триллер","2009, США",https://www.kinoafisha.info/movies/5280353/
8.3,Долгая дорога домой,"триллер, драма, мистика","2017, Россия",https://www.kinoafisha.info/movies/8356951/
8.3,Гарри Поттер и Дары смерти. Часть вторая,"семейный, фэнтези, драма, мистика, приключения","2011, США / Великобритания",https://www.kinoafisha.info/movies/7667825/
8.3,Тонкий человек,"комедия, криминал, мистика","1934, США",https://www.kinoafisha.info/movies/8362658/
8.2,Завещание доктора Мабузе,"мистика, криминал, ужасы","1933, Германия",https://www.kinoafisha.info/movies/7836996/
8.1,Загадочная история Бенджамина Баттона,"мелодрама, драма, мистика, фантастика","2008, США",https://www.kinoafisha.info/movies/3603047/
8.1,Мальтийский сокол,"мистика, детский, нуар","1941, США",https://www.kinoafisha.info/movies/7609728/
8.0,Газовый свет,"мистика, триллер, драма","1944, США",https://www.kinoafisha.info/movies/5388409/
8.0,Гарри Поттер и Дары смерти. Часть первая,"семейный, фэнтези, драма, мистика, приключения","2010, США / Великобритания",https://www.kinoafisha.info/movies/7667823/
8.0,Тень сомнения,"мистика, триллер, криминал","1942, США",https://www.kinoafisha.info/movies/8326933/
8.0,Олдбой,"драма, мистика, триллер","2003, Южная Корея",https://www.kinoafisha.info/movies/3729696/
8.0,Франкенштейн,"мистика, ужасы","1931, США",https://www.kinoafisha.info/movies/3389994/
8.0,Шерлок Холмс,"драма, боевик, криминал, приключения, мистика","2009, США / Великобритания",https://www.kinoafisha.info/movies/7583200/
8.0,Гарри Поттер и Тайная Комната,"мистика, приключения, сказка, семейный","2002, США / Великобритания / Германия",https://www.kinoafisha.info/movies/5237/
8.0,Шестое чувство,"документальный, мистика, триллер","1999, США",https://www.kinoafisha.info/movies/3487945/
7.9,Помни,"криминал, мистика, триллер","2000, США",https://www.kinoafisha.info/movies/1209824/
7.9,Привидение,"драма, фэнтези, триллер, мистика, комедия","1990, США",https://www.kinoafisha.info/movies/3677162/
7.7,Китайский квартал,"триллер, мистика","1974, США",https://www.kinoafisha.info/movies/7761521/
7.7,Доктор Сон,"мистика, ужасы","2019, США",https://www.kinoafisha.info/movies/8354825/
7.7,Малхолланд Драйв,"драма, триллер, мистика","2001, Франция / США",https://www.kinoafisha.info/movies/3889508/
7.7,Порок на экспорт,"драма, триллер, мистика","2007, Великобритания / Канада / США",https://www.kinoafisha.info/movies/1469610/
