Rating,Name,Genres,Year/Country,URL
8.5,М убийца,"нуар, криминал, драма, триллер","1931, Германия",https://www.kinoafisha.info/movies/8146960/
8.2,Риф Ларго,"криминал, триллер, нуар, драма","1948, США",https://www.kinoafisha.info/movies/8147658/
8.1,Дурная слава,"мелодрама, триллер, нуар","1946, США",https://www.kinoafisha.info/movies/8117628/
8.1,Мальтийский сокол,"мистика, детский, нуар","1941, США",https://www.kinoafisha.info/movies/7609728/
8.0,Ревущие двадцатые или судьба солдата в Америке,"триллер, нуар, драма","1939, США",https://www.kinoafisha.info/movies/7559523/
7.9,Ангелы с грязными лицами,"триллер, драма, криминал, нуар","1938, США",https://www.kinoafisha.info/movies/8329202/
7.8,Чужестранец,"драма, нуар, триллер, криминал","1946, США",https://www.kinoafisha.info/movies/7054297/
7.8,Чемпион,"мелодрама, спорт, нуар, драма","1950, США",https://www.kinoafisha.info/movies/8146111/
7.7,Поцелуй смерти,"криминал, драма, нуар","1947, США",https://www.kinoafisha.info/movies/8370414/
7.7,Кид Гэлэхэд,"криминал, драма, нуар","1937, США",https://www.kinoafisha.info/movies/8370459/
7.7,Почтальон всегда звонит дважды,"криминал, нуар, триллер, драма","1946, США",https://www.kinoafisha.info/movies/8107589/
7.6,Удар,"криминал, драма, нуар","1949, США",https://www.kinoafisha.info/movies/8365081/
7.0,Другая женщина,"драма, нуар, мистика","1950, США",https://www.kinoafisha.info/movies/8364983/
