Rating,Name,Genres,Year/Country,URL
8.7,Форрест Гамп,"комедия, мелодрама, драма","1994, США",https://www.kinoafisha.info/movies/4162346/
8.5,Ходячий замок,"аниме , сказка, фантастика, мелодрама","2004, Япония",https://www.kinoafisha.info/movies/329966/
8.5,Твое имя,"анимация, фэнтези, мелодрама, аниме","2016, Япония",https://www.kinoafisha.info/movies/8329875/
8.3,Титаник,"мелодрама, драма, приключения","1997, США",https://www.kinoafisha.info/movies/3577360/
8.3,Наконец в безопасности,"мелодрама, комедия, семейный","1923, США",https://www.kinoafisha.info/movies/4299900/
8.3,Унесенные ветром,"военный, мелодрама","1939, США",https://www.kinoafisha.info/movies/7056925/
8.3,Вечное сияние чистого разума,"драма, комедия, мелодрама","2004, США",https://www.kinoafisha.info/movies/5565/
8.3,Любовь и голуби,"комедия, мелодрама","1984, СССР",https://www.kinoafisha.info/movies/5920923/
8.3,La Bohème,"драма, музыка, мелодрама","2002,",https://www.kinoafisha.info/movies/8375838/
8.3,День сурка,"комедия, мелодрама, фантастика","1993, США",https://www.kinoafisha.info/movies/5412773/
8.2,Касабланка,"драма, мелодрама","1942, США",https://www.kinoafisha.info/movies/902621/
8.2,Весна на Заречной улице,мелодрама,"1956, СССР",https://www.kinoafisha.info/movies/8121837/
8.2,Служебный роман,"мелодрама, комедия","1977, СССР",https://www.kinoafisha.info/movies/5617111/
8.2,Ребекка,"мелодрама, криминал, триллер, драма","1940, США",https://www.kinoafisha.info/movies/7727516/
8.2,Баллада о солдате,"драма, военный, мелодрама","1959, СССР",https://www.kinoafisha.info/movies/1484003/
8.2,Мой слуга Годфри,"комедия, драма, мелодрама","1936, США",https://www.kinoafisha.info/movies/8362333/
8.2,Обыкновенное чудо,"мюзикл, комедия, мелодрама, сказка","1978, СССР",https://www.kinoafisha.info/movies/8167280/
8.2,Красавица и чудовище,"сказка, мелодрама, мюзикл, семейный, анимация","1991, США",https://www.kinoafisha.info/movies/5388337/
8.2,Постучись в мою Тверь,"комедия, драма, мелодрама","2024, Россия",https://www.kinoafisha.info/movies/8373513/
8.2,"До свидания, мистер Чипс","драма, мелодрама","1939, Великобритания",https://www.kinoafisha.info/movies/8362403/
8.1,Дурная слава,"мелодрама, триллер, нуар","1946, США",https://www.kinoafisha.info/movies/8117628/
8.1,Загадочная история Бенджамина Баттона,"мелодрама, драма, мистика, фантастика","2008, США",https://www.kinoafisha.info/movies/3603047/
8.1,Дневник памяти,"драма, мелодрама","2004, США",https://www.kinoafisha.info/movies/5676/
8.1,С собой не унесешь,"мелодрама, комедия","1938, США",https://www.kinoafisha.info/movies/7765686/
8.1,Свадьба,"комедия, мелодрама","1944, СССР",https://www.kinoafisha.info/movies/8327291/
8.1,Филадельфийская история,"комедия, мелодрама","1940, США",https://www.kinoafisha.info/movies/6200731/
8.1,Магазинчик за углом,"комедия, драма, мелодрама","1940, США",https://www.kinoafisha.info/movies/8322141/
8.1,Пятый элемент,"приключения, триллер, боевик, фантастика, мелодрама","1997, Франция",https://www.kinoafisha.info/movies/3443661/
8.1,Миллионер из трущоб,"мелодрама, драма, комедия","2008, Великобритания",https://www.kinoafisha.info/movies/5780683/
8.1,Рокки,"спорт, мелодрама, драма","1976, США",https://www.kinoafisha.info/movies/5388500/
8.1,Я шагаю по Москве,"мелодрама, комедия","1963, СССР",https://www.kinoafisha.info/movies/2106407/
