Rating,Name,Genres,Year/Country,URL
8.6,"Ну, погоди!","короткометражный, анимация","1969, СССР",https://www.kinoafisha.info/movies/7943086/
8.5,Трое из Простоквашино,"семейный, анимация, короткометражный","1978, СССР",https://www.kinoafisha.info/movies/7590582/
7.9,В яранге горит огонь,"короткометражный, анимация","1956, СССР",https://www.kinoafisha.info/movies/8359503/
7.9,Гадкий утёнок,"короткометражный, анимация","1955, СССР",https://www.kinoafisha.info/movies/8359513/
7.9,Сказка о рыбаке и рыбке,"анимация, короткометражный, семейный","1950, СССР",https://www.kinoafisha.info/movies/8328800/
7.9,День получки,"короткометражный, комедия","1922, США",https://www.kinoafisha.info/movies/4287278/
7.9,Остров ошибок,"анимация, короткометражный, семейный","1955, СССР",https://www.kinoafisha.info/movies/8328028/
7.9,Храбрый олененок,"короткометражный, анимация","1957, СССР",https://www.kinoafisha.info/movies/8359517/
7.8,Петя и Красная Шапочка,"короткометражный, анимация","1958, СССР",https://www.kinoafisha.info/movies/8359501/
7.8,Ореховый прутик,"короткометражный, анимация","1955, СССР",https://www.kinoafisha.info/movies/8359506/
7.8,Сказка о мертвой царевне и семи богатырях,"детский, короткометражный, анимация","1951, СССР",https://www.kinoafisha.info/movies/8064323/
7.8,Царевна-лягушка,"короткометражный, анимация","1954, СССР",https://www.kinoafisha.info/movies/8130801/
7.8,Гуси-лебеди,"анимация, короткометражный","1949, СССР",https://www.kinoafisha.info/movies/8328730/
7.7,Стрела улетает в сказку,"анимация, детский, короткометражный","1954, СССР",https://www.kinoafisha.info/movies/8329244/
7.7,Исполнение желаний,"короткометражный, анимация","1957, СССР",https://www.kinoafisha.info/movies/8359533/
7.7,Волшебный магазин,"анимация, короткометражный","1953, СССР",https://www.kinoafisha.info/movies/8330766/
7.7,Храбрый заяц,"короткометражный, анимация","1955, СССР",https://www.kinoafisha.info/movies/8359518/
7.6,Пропавшая грамота,"анимация, короткометражный, фэнтези","1945, СССР",https://www.kinoafisha.info/movies/8329029/
7.6,Шахматная горячка,"короткометражный, комедия","1925, СССР",https://www.kinoafisha.info/movies/8038644/
7.5,Чемпион,"комедия, короткометражный, спорт","1915, США",https://www.kinoafisha.info/movies/8123821/
7.5,Ссудная лавка,"комедия, короткометражный","1916, США",https://www.kinoafisha.info/movies/8377510/
7.4,Таёжная сказка,"анимация, короткометражный","1951, СССР",https://www.kinoafisha.info/movies/8360394/
7.4,Лесной концерт,"анимация, короткометражный","1953, СССР",https://www.kinoafisha.info/movies/8327792/
7.4,За кулисами экрана,"комедия, короткометражный","1916, США",https://www.kinoafisha.info/movies/7684025/
7.4,Лев и заяц,"анимация, короткометражный","1949, СССР",https://www.kinoafisha.info/movies/8361847/
7.2,День развлечений,"короткометражный, комедия","1919, США",https://www.kinoafisha.info/movies/4286954/
7.2,Лиса-строитель,"анимация, короткометражный","1950, СССР",https://www.kinoafisha.info/movies/8360380/
7.1,Зай и Чик,"анимация, короткометражный","1952, СССР",https://www.kinoafisha.info/movies/8360397/
7.1,Валидуб,"анимация, короткометражный","1952, СССР",https://www.kinoafisha.info/movies/8360396/
7.1,Женщина,"комедия, короткометражный","1915, США",https://www.kinoafisha.info/movies/8377508/
7.1,Барышня и хулиган,"драма, короткометражный","1918, СССР",https://www.kinoafisha.info/movies/8372522/
7.0,Волшебный клад,"анимация, короткометражный","1950, СССР",https://www.kinoafisha.info/movies/8360384/
7.0,Вечер в мюзик-холле,"комедия, короткометражный","1915, США",https://www.kinoafisha.info/movies/8377507/
7.0,Полиция,"комедия, короткометражный","1916, США",https://www.kinoafisha.info/movies/8377511/
6.9,Чудо-мельница,"анимация, семейный, короткометражный","1950, СССР",https://www.kinoafisha.info/movies/8360385/
6.7,Тайны подводного мира 3D,"документальный, короткометражный","2006, Канада / США",https://www.kinoafisha.info/movies/822450/
6.6,Бегство в автомобиле,"комедия, короткометражный","1915, США",https://www.kinoafisha.info/movies/8377506/
