Rating,Name,Genres,Year/Country,URL
8.5,Паралимпиец,"биография, спорт, драма","2022, Казахстан",https://www.kinoafisha.info/movies/8367383/
8.5,FORD против FERRARI,"биография, драма, спорт","2019, США",https://www.kinoafisha.info/movies/8354457/
8.3,В самом сердце Национального,"документальный, спорт","2024, Германия",https://www.kinoafisha.info/movies/8376827/
8.1,Рокки,"спорт, мелодрама, драма","1976, США",https://www.kinoafisha.info/movies/5388500/
8.0,Гонка,"биография, драма, боевик, спорт","2012, США",https://www.kinoafisha.info/movies/8137329/
7.9,Синяя тюрьма: Блю Лок — Эпизод Наги,"анимация, драма, спорт, аниме","2024, Япония",https://www.kinoafisha.info/movies/8376824/
7.8,Легенда №17,"биография, спорт","2012, Россия",https://www.kinoafisha.info/movies/8141660/
7.8,Чемпион,"мелодрама, спорт, нуар, драма","1950, США",https://www.kinoafisha.info/movies/8146111/
7.7,Рестлер,"боевик, спорт, драма","2009, США",https://www.kinoafisha.info/movies/6625342/
7.7,Национальный бархат,"драма, семейный, спорт","1944, США",https://www.kinoafisha.info/movies/7759194/
7.6,Невидимая сторона,"спорт, драма","2009, США",https://www.kinoafisha.info/movies/7783570/
7.6,Стальная хватка,"драма, спорт","2023, США",https://www.kinoafisha.info/movies/8368040/
7.6,Хоккейные папы,"комедия, семейный, спорт","2023, Россия",https://www.kinoafisha.info/movies/8371790/
7.5,Чемпион,"комедия, короткометражный, спорт","1915, США",https://www.kinoafisha.info/movies/8123821/
7.5,Движение вверх,"спорт, драма","2017, Россия",https://www.kinoafisha.info/movies/8323017/
7.5,Лед 3,"мелодрама, драма, спорт","2024, Россия",https://www.kinoafisha.info/movies/8367967/
7.5,Крид 2,"спорт, драма, боевик","2018, США",https://www.kinoafisha.info/movies/8353728/
7.5,Вратарь,"мюзикл, спорт, комедия","1936, СССР",https://www.kinoafisha.info/movies/7691925/
7.4,Король Ричард,"драма, биография, спорт","2021, США",https://www.kinoafisha.info/movies/8356299/
7.4,Вперед!,"драма, спорт, криминал","2022, Казахстан",https://www.kinoafisha.info/movies/8371041/
7.4,Дневник баскетболиста,"биография, спорт, драма","1995, США",https://www.kinoafisha.info/movies/7831089/
7.3,Рокки Бальбоа,"боевик, спорт, драма","2006, США",https://www.kinoafisha.info/movies/1053589/
7.3,Левша,"спорт, драма","2015, США",https://www.kinoafisha.info/movies/8171043/
7.3,Крид 3,"драма, спорт","2023, США",https://www.kinoafisha.info/movies/8367981/
7.3,Федя. Народный футболист,"спорт, драма, биография","2024, Россия",https://www.kinoafisha.info/movies/8371789/
7.2,Счастливчик Гилмор,"спорт, комедия","1996, США",https://www.kinoafisha.info/movies/5206356/
7.2,Эдди «Орел»,"драма, спорт","2016, Великобритания / США / Германия",https://www.kinoafisha.info/movies/8178090/
7.1,Покорители волн,"спорт, драма","2012, США",https://www.kinoafisha.info/movies/8130026/
7.1,Каратэ-пацан,"драма, семейный, спорт, боевик","2010, США",https://www.kinoafisha.info/movies/7908412/
7.1,Тоня против всех,"биография, комедия, спорт","2017, США",https://www.kinoafisha.info/movies/8328957/
7.0,Тренер,"спорт, драма","2018, Россия",https://www.kinoafisha.info/movies/8326912/
7.0,Один вдох,"спорт, драма","2020, Россия",https://www.kinoafisha.info/movies/8330413/
6.9,Лев Яшин. Вратарь моей мечты,"биография, спорт, драма","2019, Россия",https://www.kinoafisha.info/movies/8327274/
6.8,Белый снег,"драма, спорт, биография","2021, Россия",https://www.kinoafisha.info/movies/8356929/
6.7,Выкрутасы,"мелодрама, комедия, спорт","2010, Россия",https://www.kinoafisha.info/movies/7920556/
6.7,Бой с тенью 2: Реванш,"спорт, боевик","2007, Россия",https://www.kinoafisha.info/movies/1000887/
6.7,Мистер нокаут,спорт,"2022, Россия",https://www.kinoafisha.info/movies/8354931/
6.6,Одиннадцать молчаливых мужчин,"драма, спорт","2022, Россия",https://www.kinoafisha.info/movies/8362201/
6.5,Эластико,"криминал, спорт, мелодрама","2016, Россия",https://www.kinoafisha.info/movies/8327003/
6.4,Мгновение навсегда,"драма, спорт","2008, Южная Корея",https://www.kinoafisha.info/movies/7827927/
6.4,Спиди-гонщик,"семейный, спорт, боевик","2008, США",https://www.kinoafisha.info/movies/3355503/
6.4,Молот,"драма, спорт","2016, Россия",https://www.kinoafisha.info/movies/8326974/
6.4,Большая гонка. Лянча против Ауди,"биография, драма, спорт","2024, Италия / Великобритания",https://www.kinoafisha.info/movies/8371502/
6.0,Дикая лига,"спорт, исторический, драма","2019, Россия",https://www.kinoafisha.info/movies/8330125/
5.8,В спорте только девушки,"комедия, спорт","2013, Россия",https://www.kinoafisha.info/movies/8151371/
5.6,Чемпионы,"спорт, драма","2014, Россия",https://www.kinoafisha.info/movies/8156003/
5.6,Стрельцов,"биография, спорт, драма","2020, Россия",https://www.kinoafisha.info/movies/8330260/
4.6,Небесная команда,"драма, спорт","2020, Россия / Беларусь",https://www.kinoafisha.info/movies/8364419/
3.4,Воин,"спорт, драма","2015, Россия",https://www.kinoafisha.info/movies/8176445/
