Rating,Name,Genres,Year/Country,URL
9.1,Побег из Шоушенка,"драма, триллер","1994, США",https://www.kinoafisha.info/movies/7731571/
8.8,Крестный отец,"драма, триллер","1972, США",https://www.kinoafisha.info/movies/3974172/
8.8,Начало,"боевик, фантастика, триллер","2010, США / Великобритания",https://www.kinoafisha.info/movies/7794008/
8.7,Темный рыцарь,"драма, мистика, триллер, боевик","2008, США",https://www.kinoafisha.info/movies/3229744/
8.7,Терминатор 2: судный день,"боевик, триллер, фантастика, приключения","1991, США / Франция",https://www.kinoafisha.info/movies/4089627/
8.7,Бэтмен: начало,"криминал, триллер, приключения, сказка, боевик","2005, США",https://www.kinoafisha.info/movies/281979/
8.6,Матрица,"боевик, фантастика, триллер","1999, Австралия / США",https://www.kinoafisha.info/movies/3788758/
8.6,Бойцовский клуб,"триллер, боевик, драма","1999, США / Германия",https://www.kinoafisha.info/movies/3963633/
8.6,Леон,"драма, триллер, криминал","1994, Франция",https://www.kinoafisha.info/movies/3443444/
8.6,Крестный отец 2,"триллер, драма","1974, США",https://www.kinoafisha.info/movies/4158964/
8.5,Молчание ягнят,"триллер, криминал","1991, США",https://www.kinoafisha.info/movies/3906804/
8.4,Семь,"мистика, криминал, триллер","1995, США",https://www.kinoafisha.info/movies/3977952/
8.4,Чужой,"ужасы, фантастика, триллер","1979, США / Великобритания",https://www.kinoafisha.info/movies/4722633/
8.4,Аватар,"боевик, фантастика, триллер","2009, США",https://www.kinoafisha.info/movies/3430393/
8.4,Темный рыцарь: Возрождение легенды,"драма, триллер, боевик","2012, США / Великобритания",https://www.kinoafisha.info/movies/8094803/
8.4,Индиана Джонс: В поисках утраченного ковчега,"приключения, триллер, боевик","1981, США",https://www.kinoafisha.info/movies/3488085/
8.4,Престиж,"сказка, триллер, фантастика, драма","2006, США / Великобритания",https://www.kinoafisha.info/movies/1068657/
8.4,Чужие,"триллер, ужасы, боевик, фантастика","1986, США / Великобритания",https://www.kinoafisha.info/movies/5411374/
8.3,Остров проклятых,"драма, мистика, триллер","2009, США",https://www.kinoafisha.info/movies/5280353/
8.3,Отступники,"криминал, драма, триллер","2006, США",https://www.kinoafisha.info/movies/923488/
8.3,Крепкий орешек,"триллер, криминал, боевик","1988, США",https://www.kinoafisha.info/movies/5038744/
8.3,Человек-паук,"боевик, фантастика, приключения, триллер","2002, США",https://www.kinoafisha.info/movies/5609/
8.3,Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма","1997, Япония",https://www.kinoafisha.info/movies/4019055/
8.3,Железный человек,"приключения, фантастика, боевик, триллер","2008, США",https://www.kinoafisha.info/movies/1186688/
8.2,Джон Уик 4,"боевик, триллер, криминал","2023, США",https://www.kinoafisha.info/movies/8356793/
8.2,Переводчик,"боевик, триллер, криминал","2023, Великобритания / Испания",https://www.kinoafisha.info/movies/8365644/
8.2,Игра,"криминал, приключения, триллер","1997, США",https://www.kinoafisha.info/movies/8099498/
8.2,Долгая дорога домой,"триллер, драма, мистика","2017, Россия",https://www.kinoafisha.info/movies/8356951/
8.2,Исчезнувшая,"триллер, драма","2014, США",https://www.kinoafisha.info/movies/8162259/
8.2,Терминатор,"триллер, фантастика, боевик","1984, Великобритания / США",https://www.kinoafisha.info/movies/4035680/
8.1,Миссия: невыполнима. Смертельная расплата. Часть 1,"боевик, криминал, триллер","2023, США",https://www.kinoafisha.info/movies/8355846/
8.1,Пятый элемент,"приключения, триллер, боевик, фантастика, мелодрама","1997, Франция",https://www.kinoafisha.info/movies/3443661/
8.1,Индиана Джонс и последний крестовый Поход,"фантастика, боевик, приключения, триллер","1989, США",https://www.kinoafisha.info/movies/4746888/
8.1,Черный лебедь,"драма, триллер","2010, США",https://www.kinoafisha.info/movies/7678205/
8.1,Паразиты,"драма, триллер","2019, Южная Корея",https://www.kinoafisha.info/movies/8355519/
8.1,Гарри Поттер и кубок огня,"семейный, приключения, триллер, фэнтези, сказка","2005, США / Великобритания",https://www.kinoafisha.info/movies/419476/
8.1,Блэйд 2,"боевик, фэнтези, триллер, приключения","2002, Германия / США",https://www.kinoafisha.info/movies/8103410/
8.0,Ревущие двадцатые или судьба солдата в Америке,"триллер, нуар, драма","1939, США",https://www.kinoafisha.info/movies/7559523/
8.0,Олдбой,"драма, мистика, триллер","2003, Южная Корея",https://www.kinoafisha.info/movies/3729696/
