Rating,Name,Genres,Year/Country,URL
8.4,Джанго освобожденный,вестерн,"2012, США",https://www.kinoafisha.info/movies/8121248/
8.3,Сокровища Сьерра Мадре,"драма, боевик, приключения, вестерн","1948, США",https://www.kinoafisha.info/movies/8092576/
8.0,Назад в будущее 3,"приключения, фантастика, вестерн, комедия, боевик","1990, США",https://www.kinoafisha.info/movies/5412783/
7.9,Убийцы цветочной луны,"триллер, драма, криминал, детектив, вестерн, исторический","2023, США",https://www.kinoafisha.info/movies/8355012/
7.8,Омерзительная восьмерка,"комедия, вестерн, триллер","2015, США",https://www.kinoafisha.info/movies/8167215/
7.8,Пилигрим,"комедия, вестерн","1923, США",https://www.kinoafisha.info/movies/8372473/
7.7,Она носила желтую ленту,"драма, вестерн","1949, США",https://www.kinoafisha.info/movies/8370410/
7.7,Легенды осени,"драма, военный, вестерн","1994, США",https://www.kinoafisha.info/movies/3977932/
7.7,Спирит: Душа прерий,"вестерн, анимация, приключения, семейный","2002, США",https://www.kinoafisha.info/movies/8107409/
7.6,Поезд на Юму,вестерн,"2007, США",https://www.kinoafisha.info/movies/2055836/
7.6,Мертвец,"криминал, вестерн, драма, приключения","1995, США / Германия / Япония",https://www.kinoafisha.info/movies/330052/
7.6,Железная хватка,"драма, вестерн","2010, США",https://www.kinoafisha.info/movies/8097521/
7.4,Горизонты: Часть 1,"драма, вестерн","2024, США",https://www.kinoafisha.info/movies/8372601/
7.4,Знак Зорро,"вестерн, мелодрама, приключения","1920, США",https://www.kinoafisha.info/movies/7813023/
7.3,Быстрый и мертвый,вестерн,"1995, США / Япония",https://www.kinoafisha.info/movies/5166733/
7.2,Великолепная семерка,"боевик, вестерн","2016, США",https://www.kinoafisha.info/movies/8175853/
7.2,Зорро,"комедия, семейный, вестерн, приключения","1975, Франция / Италия",https://www.kinoafisha.info/movies/5575885/
7.1,Книга Илая,"вестерн, приключения, драма, боевик","2010, США",https://www.kinoafisha.info/movies/7662872/
7.0,Харлей Дэвидсон и ковбой Мальборо,"триллер, боевик, драма, вестерн","1991, США",https://www.kinoafisha.info/movies/3586987/
6.9,Австралия,"драма, вестерн, военный, приключения","2008, США / Австралия",https://www.kinoafisha.info/movies/4998881/
6.9,Одинокий рейнджер,"триллер, боевик, вестерн","2013, США",https://www.kinoafisha.info/movies/8042081/
6.7,Отзвуки прошлого,"боевик, вестерн","2022, США",https://www.kinoafisha.info/movies/8366515/
6.6,Роковое искушение,"драма, вестерн","2017, США",https://www.kinoafisha.info/movies/8328701/
6.5,Ковбои против пришельцев,"фэнтези, фантастика, боевик, вестерн","2011, США",https://www.kinoafisha.info/movies/8087858/
6.3,Темная башня,"фэнтези, фантастика, вестерн, ужасы","2017, США",https://www.kinoafisha.info/movies/8112234/
5.8,Дуэль,"вестерн, драма","2016, США",https://www.kinoafisha.info/movies/8326561/
5.3,Лесси в разрисованных холмах,"драма, семейный, вестерн","1951, США",https://www.kinoafisha.info/movies/8365043/
5.3,Золото Умальты,"приключения, драма, вестерн","2024, Россия",https://www.kinoafisha.info/movies/8373428/
